"q57","What product(s) and/or strain(s) do you want that are not currently available in your local dispensaries?","n =  333"
"Hash (70's style)","1","0.3"
"Hash oils","1","0.3"
"hashish","1","0.3"
"Hawaian Fresian Duck","1","0.3"
"Hawaiian or Sensamellian","1","0.3"
"Hemlock","1","0.3"
"Hemp derived products ","1","0.3"
"High cbd ","1","0.3"
"high terpene profiles","1","0.3"
"High thc Edibles ","1","0.3"
"High THC strains over 30% and heavily colored strains like purples and reds","1","0.3"
"Higher CBD strains","1","0.3"
"Higher dose capsules","1","0.3"
"hybrid capsules","1","0.3"
"I am not going regularly anymore","1","0.3"
"i d k","1","0.3"
"i do not know","1","0.3"
"I don't knoe","1","0.3"
"I don't know yet","1","0.3"
"I don’t go out in public much don’t know","1","0.3"
"I enjoy the selection of the dispensaries within my area. ","1","0.3"
"I have access to the types I want","1","0.3"
"idk","1","0.3"
"indica","1","0.3"
"Indica ","1","0.3"
"Indica cream","1","0.3"
"Inhaler","1","0.3"
"It to be legal - period","1","0.3"
"J1","1","0.3"
"Jack Herrer, Skywalker, purple train wreck","1","0.3"
"Jungle Boys","1","0.3"
"Just keep them coming","1","0.3"
"King Louis, more indica, more CBN, CBG, and terpene profiles","1","0.3"
"Krypto","1","0.3"
"Kush","1","0.3"
"Local closer to my home. Medical dispensary","1","0.3"
"Local Dispensaries lol","1","0.3"
"Lotions","1","0.3"
"lower cost","1","0.3"
"Maui waui","1","0.3"
"MJs Wellness","1","0.3"
"More choices","1","0.3"
"More concentrate selection","1","0.3"
"more INDICA with lower THC,i need sleep","1","0.3"
"More pain relieving yet clear headed strains","1","0.3"
"more varety of flower,pre-rolls vapor","1","0.3"
"Most","1","0.3"
"Most ","1","0.3"
"Mr. Nice guy","1","0.3"
"Never been to a dispensary","1","0.3"
"next new strain","1","0.3"
"Nine","1","0.3"
"no","1","0.3"
"No Over-Taxation on MEDICINE....grrrr...","1","0.3"
"None are available in Louisiana","1","0.3"
"Northern lights","1","0.3"
"Not applicable","1","0.3"
"not sure","1","0.3"
"Not that familiar with other strains ","1","0.3"
"Nothing comes to mind","1","0.3"
"Nothing is availible","1","0.3"
"nothing specific","1","0.3"
"Pineapple Express, Skywalker OG","1","0.3"
"Powdered drink mix packets for water","1","0.3"
"purple Dutchberry by artizen","1","0.3"
"Reasonably priced medicine","1","0.3"
"reasonably priced products","1","0.3"
"Release cartridge by Fairwinds (designed for PTSD/anxiety)","1","0.3"
"Rockstar, THC 32%, CBD 13%","1","0.3"
"Runts","1","0.3"
"safe and reasonable price","1","0.3"
"Sayivas","1","0.3"
"Seeds and  clones ","1","0.3"
"Several ","1","0.3"
"Sfv Kush, Mendo Breathe and Durban Poison for daytime","1","0.3"
"Skunk and blue jayway","1","0.3"
"Skywalker ","1","0.3"
"Smokable flower","1","0.3"
"Sour diesel, white widow, amnesia haze","1","0.3"
"stativa","1","0.3"
"Still learning on a App, called weed maps ","1","0.3"
"Strains are very limited where I live","1","0.3"
"strains, including high CBD, more available strains","1","0.3"
"Tahoe OG Kush   Suppositories   Patches","1","0.3"
"terpene  rich strains","1","0.3"
"test","1","0.3"
"The dispensary has wonderful products but they are sometimes limited or out of stock.","1","0.3"
"The White","1","0.3"
"There are no dispensaries I can afford, Your fault, so it's as much as I can afford when it's a deal","1","0.3"
"Tinctures","1","0.3"
"Traditional hash & bubble hash","1","0.3"
"Unk","1","0.3"
"unknown","1","0.3"
"Unknown ","1","0.3"
"unkown","1","0.3"
"Unsure","1","0.3"
"Vape cartridge","1","0.3"
"varies","1","0.3"
"Variety of edibles ","1","0.3"
"Vietnamese Gold","1","0.3"
"Wax","1","0.3"
"Wax or cartridges","1","0.3"
"Wax, Shatter, Rosen, lower costs ","1","0.3"
"Way stronger edibles, please, for the love of God","1","0.3"
"We want Homegrows and PESTICIDE FREE PRODUCT, almost nothing in the stores is truly pesticide free","1","0.3"
"West coast strains","1","0.3"
"where good","1","0.3"
"White Rhino, Girl Scout Cookies, Pineapple Express","1","0.3"
"white widow","1","0.3"
"white widow flower","1","0.3"
