"q48","What are your general thoughts regarding the legalization of cannabis?","n =  277"
"Support it. And definitely reschedule it.  But I can also understand why there’s a concern of driving under the influence. ","1","0.36"
"Thank God. It always made me feel better, and now I can get consistant quality, and not have to go underground, and support drug dealers.","1","0.36"
"The expense of tax on recreational products is a deterrent ","1","0.36"
"The growth in the industry is incredible and the benefits of cannabis seem endless. The revenue generated with the sale of cannabis can help the government and local schools, police and fire services and open more opiate rehabs. ","1","0.36"
"There is no point in the illegality of something that one can grow anywhere. Cannabis should be legal by federal law, with state control of production and distribution. ","1","0.36"
"There is nothing wrong with it","1","0.36"
"They are wasting time not doing it..","1","0.36"
"They need to legalize totally. Make it simple, you have to be 21 in order to grow, buy, manufacture,any cannabis. Simple. Treat like alcohol. They need to subsidize the cost for the medical patients who can't afford. Just like ""legit"" drugs.","1","0.36"
"This extraordinary plant should have always been and should always be legal and available, particularly as an alternative to opioids for pain.","1","0.36"
"Too little, too late.  Cannabis prohibition should never have happened.  The damage to the public health has been incalculable.  Removing these vital nutrients from the public diet has led to increased incidence of cancer, diabetes, obesity, neurological and emotional problems, etc., as well as the abuse of cannabis by a misinformed populace.  Legalization will reverse one of the greatest crimes against humanity ever perpetrated (as further testing/studies will prove).","1","0.36"
"too many people and not enough product","1","0.36"
"Until concentrates are introduced (Canada) I will not be participating in the legal market. I rely on concentrates to treat my PTSD and cannot smoke flower due to asthma. Vaping concentrates is much easier on my lungs and the effects on my mood are instantaneous, with flower I would need to smoke more than one hit to feel anywhere near the same as a single 0.05g~ dab of a concentrate.","1","0.36"
"Used correctly it is a medicine just like any other","1","0.36"
"Very excited.  The benefits outweigh the risks and it is no worse than alcohol when used recreationally","1","0.36"
"Very good","1","0.36"
"Very important Alchol is worse for you yet it's legal when weed has health benefits ","1","0.36"
"Very important. Everyone should have access","1","0.36"
"Voted for it","1","0.36"
"We voted for it in November of 2016.  Its been almost two years.  GET WITH IT MASSACHUSETTS!!! MAKE IT HAPPEN!","1","0.36"
"What's taking so long?","1","0.36"
"what are we waiting for ","1","0.36"
"will be some risk of overdoing edibles.  hate smoking ","1","0.36"
"Will be very beneficial to many individuals. ","1","0.36"
"Yay!","1","0.36"
"yes","1","0.36"
"Yes","1","0.36"
"yes ","1","0.36"
"yes!","1","0.36"
