"q67","Which VA do you go to?","n =  303"
"Dorn VA - Columbia, SC","1","0.33"
"Dorn VA in Columbia, SC","1","0.33"
"Downtown Los Angeles ","1","0.33"
"Dublin, Ga.","1","0.33"
"Edith Nourse Hospital, Bedford, MA","1","0.33"
"El Paso","1","0.33"
"El Paso, TX","1","0.33"
"Eureka ca","1","0.33"
"Fayetteville,Ar","1","0.33"
"Fitchburg ","1","0.33"
"Florence,MA","1","0.33"
"Fort Myers Florida","1","0.33"
"Ft. Harrison, MT","1","0.33"
"Ha ha","1","0.33"
"Hammond, La.","1","0.33"
"Harry S Truman VAMC Columbia, MO","1","0.33"
"Havent been in 5 years due to them not doing their jobs. refuse to go back","1","0.33"
"Hilo Hawaii ","1","0.33"
"hospital","1","0.33"
"Houston ","1","0.33"
"HOUSTON ","1","0.33"
"Hyannis CBOC","1","0.33"
"I do not go to the VA","1","0.33"
"I don't","1","0.33"
"I don't ","1","0.33"
"I don't and wont","1","0.33"
"I don’t go to the va anymore","1","0.33"
"I dont","1","0.33"
"I have private insurance. ","1","0.33"
"Indianapolis ","1","0.33"
"Jacksonville FL ","1","0.33"
"Jamaica Plain ","1","0.33"
"Jamaica Plain Boston MA","1","0.33"
"Jamaica plains","1","0.33"
"Jamaica Plains","1","0.33"
"Jamaica plian","1","0.33"
"James A Haley ","1","0.33"
"James Haley","1","0.33"
"Jefferson Barracks, MO","1","0.33"
"Jonathan Wainwright VAMC Walla Walla, WA","1","0.33"
"Jp","1","0.33"
"Kalispell","1","0.33"
"Kerrville, TX","1","0.33"
"Lakeland ","1","0.33"
"Las Vegas","1","0.33"
"Lawton, Ok","1","0.33"
"Leeds ","1","0.33"
"Leeds VA Northampton, Ma","1","0.33"
"Leeds, MA","1","0.33"
"Leeds, Springfield OPC","1","0.33"
"LITTLE ROCK","1","0.33"
"Little Rock  AR ","1","0.33"
"Livermore,Palo alto,modesto","1","0.33"
"Loma 6","1","0.33"
"Loma Linda","1","0.33"
"Long Beach ","1","0.33"
"Louis Stokes","1","0.33"
"MA","1","0.33"
"Maine","1","0.33"
"Malcolm Randall Gainesville Florida ","1","0.33"
"Marion","1","0.33"
"Martinez, CA","1","0.33"
"martinsburg","1","0.33"
"Martinsburg, West Virginia","1","0.33"
"Massachusetts VA hospital and clinics ","1","0.33"
"MCGUIRE VA MEDICAL CENTER","1","0.33"
"Minneapolis ","1","0.33"
"Mountain Home","1","0.33"
"MT","1","0.33"
"mt. vernon wa.","1","0.33"
"N/a","1","0.33"
"Naples Fl","1","0.33"
"Nashville and Mather ","1","0.33"
"Nellis AFB","1","0.33"
"Nevada","1","0.33"
"Never been","1","0.33"
"New Bedford and Providence ","1","0.33"
"New Philadelphia, Ohio","1","0.33"
"Nine","1","0.33"
"No","1","0.33"
"NONE","1","0.33"
"None ","1","0.33"
"None now previously Springfield outpatient","1","0.33"
"None, never explored option","1","0.33"
"north carolina","1","0.33"
"Northampton va medical center ","1","0.33"
"Oahu","1","0.33"
"OKC","1","0.33"
"Oklahoma City ","1","0.33"
"Orlando regional","1","0.33"
"Orlando, FL","1","0.33"
"Palo alto","1","0.33"
"Pensacola","1","0.33"
"Pensacola FL ","1","0.33"
"Philadelphia ","1","0.33"
"Phoenix","1","0.33"
"Phoenix Va Medical Center","1","0.33"
"Phoenix, AZ","1","0.33"
"Pittsburgh ","1","0.33"
"Pittsburgh PA","1","0.33"
"Portland VAMC","1","0.33"
"Prefer not to answer","1","0.33"
"Prefer not to say","1","0.33"
"Prescott VA Hospital ","1","0.33"
"Prescott, AZ","1","0.33"
"private dr","1","0.33"
"Providence ","1","0.33"
"Providence Ri","1","0.33"
"Providence RI ","1","0.33"
"Pueblo Colorado","1","0.33"
"Pueblo, CO","1","0.33"
"quincy","1","0.33"
"Rather not answer.","1","0.33"
"Raymond g murphey","1","0.33"
"Redding California","1","0.33"
"Rock Hill","1","0.33"
"Rumford","1","0.33"
"Saco","1","0.33"
"Saginaw","1","0.33"
"Saginaw Michigan","1","0.33"
"Salt lake city","1","0.33"
"san diego ","1","0.33"
"Savannah ","1","0.33"
"SE VA in Gilbert,AZ","1","0.33"
"Seattle ","1","0.33"
"Show Low Arizona Clinic","1","0.33"
"Spokane, WA","1","0.33"
"Springfield","1","0.33"
"Springfield - Bond St","1","0.33"
"Springfield IL","1","0.33"
"Springfield Massachusetts","1","0.33"
"Springfield, Massachusetts","1","0.33"
"Stratton VAMC Albany,  NY","1","0.33"
"Syracuse ","1","0.33"
"Tavares Florida","1","0.33"
"Temple Tx","1","0.33"
"test test test test","1","0.33"
"togas","1","0.33"
"Togus VS in Maine","1","0.33"
"Togus/(Caribou is closer)","1","0.33"
"Togus/Bangor","1","0.33"
"Travis Air Force Base, CA","1","0.33"
"Tripler Hawaii","1","0.33"
"Tulare,CA","1","0.33"
"VA  BostonJamaica Plain","1","0.33"
"VA Bond st Springfield, MA","1","0.33"
"VA Central Western Massachusetts Healthcare System","1","0.33"
"VA Clinic, North Quincy, MA","1","0.33"
"VA Outpatient Clinic, 25 Bond St, Springfield, MA 01104","1","0.33"
"Vegas","1","0.33"
"Viera OPC, Viera FL","1","0.33"
"Vierra, Fl","1","0.33"
"Waco TX","1","0.33"
"Watertown ","1","0.33"
"West Los Angeles","1","0.33"
"West Palm","1","0.33"
"west roxbury","1","0.33"
"West Roxbury ","1","0.33"
"West Roxbury Boston ma","1","0.33"
"West Roxbury VAMC  Massachusetts","1","0.33"
"West Roxbury, Ma","1","0.33"
"West Virginia ","1","0.33"
"White City, OR (SORCC)","1","0.33"
"White river junction ","1","0.33"
"Wilkes-Barre Pennsylvania ","1","0.33"
"Wilkes Barre , Pa.","1","0.33"
"Wilmington va","1","0.33"
"worcester","1","0.33"
"Worcester ","1","0.33"
"Worcester MA","1","0.33"
"Worcester Ma. outpatient ","1","0.33"
"Worcester VA Clinic","1","0.33"
"Worcester, MA","1","0.33"
"Yeah, right","1","0.33"
"yuba city","1","0.33"
