"q48","What are your general thoughts regarding the legalization of cannabis?","n =  438"
"completely supportive. it's about time. ","1","0.23"
"Cool","1","0.23"
"Crazy that it took so many years. I love having legal access.","1","0.23"
"Decriminalization not legalisation","1","0.23"
"Definitely legalize it, since it helps alleviate pain.9","1","0.23"
"do it","1","0.23"
"Do it","1","0.23"
"Don’t think it should be legalized other than for medical","1","0.23"
"👍","1","0.23"
"End Prohibition, Expunge all Prior Victims of Nixon's Unconstitutional War on Drugs, and Let My People Grow!","1","0.23"
"Everyone should have a right to use Cannabis. Even if people are doing recreational, they are still getting the health benefits. And nobody should have to pull up their roots to go to a different state if its for medicinal reasons. ","1","0.23"
"Everyone should have the right to treat their conditions ","1","0.23"
"Excellent idea...can't believe it has taken so long.  I'm 53  And this should have been done by the time I was 18.","1","0.23"
"Excellent, and about time!","1","0.23"
"Extremely supportive of the safer option to pain management.","1","0.23"
"Finally it’s fantastic ","1","0.23"
"Finally!","1","0.23"
"For it","1","0.23"
"For me I'm a cannabis PT so I'm taking less medications and my lab work shows that my Kidney & Liver functions are in normal ranges after several years of going to Nephrologist and trying and changing meds to get my functions back under control. Give me cannabis take away the pills and the Nephrologist..my results are normal, I'm feeling healthier. Imagine that.. I feel also crime may be down, dealers maybe off the street less synthetic drugs , less deaths less ER visits less buses being used for senseless deaths or near deaths. I work in and Emergency Deptment we see what these other drugs do. Use to help get us out of the deficit,more and more people are smoking than drinking.  People smoke to much they get sleepy not fight, get mouthy create a seen.  Sell & tax it use the monies for the deficit, help the homeless, the sick, use for research Impeach Trump. ","1","0.23"
"Free the Weed!!!","1","0.23"
"Good","1","0.23"
"Good 'ol USA Thank U for Democracy","1","0.23"
"Good but regulations are troubling in Maine.","1","0.23"
"Good for the culture","1","0.23"
"Good for those who really need it.","1","0.23"
"Good idea, long overdue","1","0.23"
"Good move","1","0.23"
"good plan","1","0.23"
"great day in the state of Massachusetts","1","0.23"
"Great for medical use. ","1","0.23"
"Great for recreational smokers not so much for patients ","1","0.23"
"Great idea.  Still expensive ","1","0.23"
"Great that it is legalized for medical use, but will be sold at street level, because of the cost.","1","0.23"
"Great.  It should be on equal legal footing with alcohol","1","0.23"
"Greatest thing since the freedom of the slaves","1","0.23"
"Grow your own","1","0.23"
"happening way too slowly. stop restricting access","1","0.23"
"Happy","1","0.23"
"happy ","1","0.23"
"Happy about it. Wish I had been on board sooner. ","1","0.23"
"Have mixed emotions at this time","1","0.23"
"Hope that President Trump will intervene and get medicinal cannabis done nationwide","1","0.23"
"Hopefully it will bring prices down and be more easily available.","1","0.23"
"I'm CONFUSED.  here in ME, I thought it was good, but Integrat8 said it was bad.  I do need to be able to get a range of medical strains.  But, it would be nice to be able to cross state lines.","1","0.23"
"I'm distressed that is has taken so long to legalize because I have been on prescriptions for decades and am concerned about what they have done to my health.","1","0.23"
"I agree with the process","1","0.23"
"I am all for it","1","0.23"
"I am all for national legalization ","1","0.23"
"I am for it since nothing better helps my medical issues","1","0.23"
"I am in favor due to it helped the quality level in my life regarding pain, inflammation along with exercise too.","1","0.23"
"I am not in favor of recreational use of cannabis. I do believe in the medicinal use as patients under care of special Dr. Or clinic","1","0.23"
"I am okay with medical legalization, and neutral on recreational as I see it on the same plane as alcohol","1","0.23"
"I am pleased that cannabis is finally getting recognized as a benefit in alleviating pain.","1","0.23"
"I am pro careful and methodical legalization.","1","0.23"
"I am prolegalization and for %100 decriminalization. ","1","0.23"
"I am very happy that it has finally become legal. My hope is that all persons selling it take the time to be educated. Even doctors tell me they don't know much about it- but do say they approve of it as a medicine.","1","0.23"
"I believe it is a good idea ","1","0.23"
"I believe it is necessary for the healing of our humanity.  It's coming. ","1","0.23"
"I believe it should be declassified as a schedule 1 as it has MANY medicinal uses as well as should be legal to adults 21 and over in all states!!!","1","0.23"
"I believe it should be legal","1","0.23"
"I believe it should be legalized. It helps alot of people that suffer from pain, anxiety,ptsd, parkinsons. Its unreal how it helps","1","0.23"
"I believe it should happen.","1","0.23"
"I believe that cannabis should be legalized. To me, it is no different than alcohol. ","1","0.23"
"I can't wait!","1","0.23"
"I don't like the Rec side of it in CA. ","1","0.23"
"I don't understand why cannabis is not legal and alcohol is. I feel the only reasons cannabis is not legal are because of the stigma associated with it, the general ignorance of lawmakers and I don't believe big pharma wants it to be legal.","1","0.23"
"I fear for caregivers, as we are the ones making sure those without income are getting their meds and recommendations . We should be allowed more patients .","1","0.23"
"I feel as if it should be legal now.  Its benefits FAR outweigh the negatives (If there are even any negatives?)","1","0.23"
"I feel it's long overdue but I worry about over regulation and big corporations taking over and lowering quality and accessibility in order to profit. ","1","0.23"
"I feel it should be federally legal across the country","1","0.23"
"I feel it should be federally legal and feel it is criminally wrong for a plant such as cannabis with its wide range of healing properties to be illegal. ","1","0.23"
"I feel it’s long over due","1","0.23"
"I feel that it's more than about time!","1","0.23"
"I feel we have been deceived and manipulated and abused by our government.","1","0.23"
"I fully support responsible use of cannabis for both medical and recreational purposes.","1","0.23"
"I have been saying to legalize, tax and regulate the industry for over two decades...I am just glad it is finally headed in the right direction","1","0.23"
"I have mixed thoughts.  I am concerned about recreational use among the young increasing.  I am also concerned about the impact it may have on medical use due to the quality and availability of specific strains decreasing as the government controls the sale of all cannabis.  In Canada many growers jumping on the opportunity are becoming ‘mass producers’, as we’ve seen with other crops - this always has a negative impact on quality.  When anything becomes big business the consumer suffers - and I can see this affecting medical patients most of all.","1","0.23"
"I hope it drives down prices for medicinal users","1","0.23"
"I live in CT where not legal I buy underground","1","0.23"
"I love it","1","0.23"
"I love it, long time coming!","1","0.23"
"I love it. I live in Florida and very limited at what you can get.  but it has helped my life so much with my pain. I'm able to do so much more.     ","1","0.23"
"I never thought i'd see the day.","1","0.23"
"I strongly believe that it should be federally legalized!","1","0.23"
"I support both the legalization and the proper, fair taxation of it.","1","0.23"
"I support it 100%","1","0.23"
"I support it and always have","1","0.23"
"I support medical use but generally opposed to recreational use ","1","0.23"
"I think all drugs should be legal, all people should be legal and all love should be legal ","1","0.23"
"I think cannabis could be very beneficial.  However, because it is currently illegal, very little research can happen.","1","0.23"
"I think cannabis has a lot of benefits to prescription drugs and feel they should legalize it in every state   ","1","0.23"
"I think it's a civil right","1","0.23"
"I think it's the most important next step that needs to happen for a multitude of conditions and struggles. It's also vital that it be de-scheduled so accurate research can happen and everything we know is not based on anecdotal information.","1","0.23"
"I think it is a good idea especially for pain management, anxiety,  etc. Much better to use something organic and not pharmaceutical. ","1","0.23"
"I think it is a good idea, and it should replace tobacco.","1","0.23"
"I think it is fantastic and absolutely necessary to the health and well being of society...","1","0.23"
"I think it is long overdue, I believe that the effects of lobbying was responsible for and continues to impact legalization of cannabis, and that law enforcement would like to continue to make it illegal for the amount of money generated by its illegal use. ","1","0.23"
"I think it is long overdue.  It has proven to have medicinal properties.  I believe the only reason cannabis has been illegal for so long is because of the control big pharma has over this country.","1","0.23"
"I think it should be ","1","0.23"
"I think it should be legal everywhere ","1","0.23"
"I think it should be legal in all states for medical use. As for recreational use, it should be monitored to prevent driving or operating machinery, etc.under the influence of cannabis.","1","0.23"
"I think it should be legal in all states.  ","1","0.23"
"I think it should be legalized and treated like tobacco.","1","0.23"
"I think it should be legalized so the products can be regulated. Recreational users pretending to be medical patients have shifted the products available towards only high THC products and those aren't always the best products for medical patients. I rarely see products with known cannabinoids and terpenes that have been shown to reduce inflammation and nerve pain. I don't mind if they also use cannabis, but I would like to have more medicinal strains available and more consistency in the products. The wait times and process are also ridiculously long because of the additional people. If we are going to say it is a medicine it needs to be treated as one, but we can also acknowledge that some strains are more for recreational use and others are for medicinal use.   ","1","0.23"
"I think it should be recreationally legal on a federal level and taxed to help the country’s debt. It needs to be cheaper and accessible for ALL especially in an opioid epidemic ","1","0.23"
"I think it was a long time coming. The stigma surrounding cannabis is ridiculous, and the medical benefits have been recognized across the world long before the arbitrary laws were put in place. ","1","0.23"
"I think it was should be regulated like alcohol","1","0.23"
"I think it would be a great idea ","1","0.23"
"I think it’s a great idea ","1","0.23"
"I think it’s great","1","0.23"
"I think it’s great . It’s a naturally growing herb . ","1","0.23"
"I think it’s great, medically it can help a lot of different ailments and replace prescriptions for opioids. I’m looking forward to new breakthroughs in medicine due to cannabis.","1","0.23"
"I think it’s ridiculous that it is not Federally legalized yet.  Alcohol is worse ","1","0.23"
"I think medical cannabis legalization is very important. Recreational, not so much.","1","0.23"
"I think medical marijuana should be legal. Not sure about recreational use.","1","0.23"
"I think most adults are of sound enough mind to make an informed decision for themselves without the misguided information from big pharmaceutical companies and doctors that are totally ignorant to the effectiveness and benefits proven over time from various trustworthy sources. ","1","0.23"
"I think that it should be monitored and used medically. I am not to excited about it being recreational","1","0.23"
"I think the war on drugs has been an abysmal failure and needs to end.  That being said strong protections need to be put in place for medical cannabis patients as well as the products they use, and research needs to be increased dramatically.  Policies need to be fact and science-based, personal believes have no place in cannabis policymaking.   ","1","0.23"
"I think we need to compare all other states and find out what the changes have been and if its for the better all around, just not incl economy.  I would have to say YES - lets legalize it!","1","0.23"
"I very happy that our state has finally legalized the use of these products, very helpful for my pIn","1","0.23"
"I was a Massachusetts resident that voted against the law to allow access to medical cannabis. 2 years later I found myself exploring the benefits of cannabis for some chronic health issues. I was naive and uninformed about the medical cannabis industry. Medical cannabis has improved the quality of my life and I regret that I let “old stereotypes” of marijuana influence my decision making process. I support access to medical cannabis today. ","1","0.23"
"I was a proponent and still am ","1","0.23"
"I was against cannabis for many years. Long before any dispensary opened near me, my husband tried getting me to consider using it, but I always refused. Having become for educated through research when I first heard a dispensary was opening near me, I decided to give it a try, and it helps my quality of life enormously. Had recreational been legalized first (or rec. dispensaries came out first), I might be more hesitant to try it...but now I'm all for it","1","0.23"
"I wish it was legal in all 50 states","1","0.23"
"I would like everyone to know the pros of cannabis use","1","0.23"
"I would like it to be legalized and have a cap as to how much money it can cost. And would like big pharma to stay out of it","1","0.23"
"I’m a medical caregiver. I believe whoever wants it should be able to have it. ","1","0.23"
"I’m for it as long as it is done in the proper places. ","1","0.23"
"I’m in support of legalization ","1","0.23"
"I’m very pleased with it. I feel necessary for so many people and certainly less harmful than prescription medications I was on for chronic pain. ","1","0.23"
"ibthink just the Medical should remain legal","1","0.23"
"if we can get it legalized on a federal lever, maybe insurance companies will change their stance and cover medical marijuana just as they do Percocet, Vicodin, etc. I am out of work due to an accident on a job, now I could no longer afford private health care so I am on Mass Health. I have 2 sons and my wife is a student so we survive off my weekly workers comp check. After my surgeries, unless I want to load up on oxycodone, I have to pay out of pocket for medical marijuana, which can be costly, especially on low income.","1","0.23"
"Illegal cannabis is absurd. Making plants illegal is stupid.","1","0.23"
"Im very happy they leaglized medical & recreational  ","1","0.23"
"imperative","1","0.23"
"IMPORTANT AS IT HEALS  ","1","0.23"
"In favor","1","0.23"
"It's a good thing but the state government is taxing it too much. The black market is much cheaper. ","1","0.23"
"It's a must","1","0.23"
"It's a positive change twords medicine","1","0.23"
"It's a travesty that we have to have this conversation. It should be federally legal, regulated, standardized nomenclature and people should be able to grow/produce their own products and have access to educational tools to allow them to do that. Big corporations are already doing damage to this industry.","1","0.23"
"It's a wonderful supplement, that needs more research ","1","0.23"
"It's about *@#!*$! Time!!!!!!!!!!!!","1","0.23"
"It's about damn time","1","0.23"
"It's about time","1","0.23"
"It's about time.","1","0.23"
"it's about time...","1","0.23"
"It's been way too long!  Canada is ahead of the U.S. per usual","1","0.23"
"It's criminal that cannabis is illegal. We've discouraged any research that might produce a positive result. Many, many people have been exposed to the criminal justice system who shouldn't have been. Cannabis appears to help many problems that develop as people age, often better than prescription medicine. Sleep and pain are prime examples.    I believe cannabis should be legalized for adults over 21 for any reason whatsoever.","1","0.23"
"It's far safer than alcohol and if not smoked has definite health benefits.","1","0.23"
"It's much needed and over due","1","0.23"
"It's necessary for many reasons.","1","0.23"
"It's ridiculous it's still not legal everywhere, especially given the prevalence of alcohol","1","0.23"
"It's safer than alcohol and the stigma around it needs to be changed. ","1","0.23"
"It's silly that its still a battle.  This should be legal and way less of a big deal.","1","0.23"
"It absolutely must be legalized.","1","0.23"
"It can't happen quicker! I was an alcoholic. If I had tried cannabis I wouldn't have been. The last decade of my life would have been better! And now I'm using it to try to save my life. The irony","1","0.23"
"It comes from the earth... ","1","0.23"
"It definitely should be legal","1","0.23"
"It has been a long time coming and much needed in comparison to other OTC/street pharmaceuticals ","1","0.23"
"It holds many medicinal properties. This should have been done long ago.","1","0.23"
"It is a good thing. ","1","0.23"
"It is a plant anyone can grow. ","1","0.23"
"It is a priority for me when voting. Though I personally benefit, it’s more important for me as an equality/race issue because minorities are being unfairly targeted for use etc and that must be stopped. ","1","0.23"
"it is a wonderful medical medicine ,best I have","1","0.23"
"it is about time.","1","0.23"
"It is long overdue and alarmingly slow in it's realization, with misinformation and minimal transparency that feels very wrong considering the vast majority of the people in this state are fully in favor of recreational use","1","0.23"
"It is long, long past due. I'm so happy it is happening. We need the Feds to recognize it now!","1","0.23"
"It is safer and ""healthier"" than liquor. ","1","0.23"
"It is wonderful!","1","0.23"
"It needs to be available to those who need it most ","1","0.23"
"it needs to be legal","1","0.23"
"It needs to be legal but I am hearing that full legalization is decreasing the perceived need for medical research, so that needs to be corrected. Need more research on medical usage.","1","0.23"
"It needs to be legalized and accessible to all that need it.","1","0.23"
"It needs to be legalized at the Federal level. I have found excellent pain relief from the products I use, as have others I know who have chronic pain/fibromyalga/arthritis. It should be legal for those over 18 years old. I am 70 years old.","1","0.23"
"It needs to be legalized on a federal level","1","0.23"
"It needs to happen in more places. Cannabis criminalization is a major way that POC have been funneled into prisons. ","1","0.23"
"It should absolutely be legal.","1","0.23"
"It should be available in all the States for medical use.","1","0.23"
"It should be available to everyone. ","1","0.23"
"It should be decriminalized so we can do more research in the United States. The most important is that vets should have total access to cannabis through the VA. Transplant patient should not be kicked off of the transplant list for using cannabis. ","1","0.23"
"It should be federally legal and alcohol should be outlawed. I'd rather have people driving stoned than drunk.","1","0.23"
"It should be federally legalized","1","0.23"
"It should be Federally legalized for medical & recreational use for adults 18+.  DWI rules should apply and for medical patients drug testing is not a reason to lose a job as long as you are a good employee.","1","0.23"
"It should be legal","1","0.23"
"it should be legal & free","1","0.23"
"It should be legal across the country. ","1","0.23"
"It should be legal and covered by medical insurance.","1","0.23"
"It should be legal both medically and recreationally throughout the USA ","1","0.23"
"It should be legal everywhere, especially for medical use.","1","0.23"
"It should be legal for adults to purchase and consume both for medical and recreational purposes.","1","0.23"
"It should be legal in all 50 states just like alcohol","1","0.23"
"It should be legal in all states n countries ","1","0.23"
"It should be legal in all states. Federal govt should lift any sanctions and let each state handle cannabis as they see fit. Mandatory testing labs in each state and ease of banking both patients and cultivators. ","1","0.23"
"It should be legal in every state. ","1","0.23"
"It should be legal nationally. It would bring prices down, slow down black market, decrease heroin use, and keep non criminal drug offenders out of jail. The cons are quite low","1","0.23"
"It should be legal to all","1","0.23"
"It should be legal with more information regarding accurate information on its medical uses.","1","0.23"
"It should be legal.","1","0.23"
"It should be legal. It’s insane that it still isn’t. ","1","0.23"
"It should be legalized","1","0.23"
"It should be legalized all states","1","0.23"
"It should be legalized at the federal level, so there are more opportunities to study it.","1","0.23"
"It should be legalized everywhere. ","1","0.23"
"It should be legalized in all states.  It helps for everything. There is a strain for everything. ","1","0.23"
"It should be legalized on a federal level. ","1","0.23"
"It should be legalized on a national basis so I can use a credit card to pay. ","1","0.23"
"It should be legalized on all levels especially for children who need the oils","1","0.23"
"It should be legalized! Give us our plant back!","1","0.23"
"It should be legalized. ","1","0.23"
"It should be legalized. I can go to war or buy liquor which causes more harm than cannabis but I can't legally buy cannabis without a medical card...strange ","1","0.23"
"it should br as legal and easy to get as tabaco","1","0.23"
"it should have never been made illegal","1","0.23"
"It should never have been demonized and should now be totally legalized. Outlawing it created generations of ""criminals"" for no good reason.","1","0.23"
"It should never have been illegal...","1","0.23"
"It took to long to acomplish. Alcohol is legal and it KILLS, mary doesnt hurt anyone.","1","0.23"
"It will be life changing for the better","1","0.23"
"It would create more jobs and it will help people that need it","1","0.23"
"It’s about time.","1","0.23"
"It’s beautiful","1","0.23"
"It’s great ","1","0.23"
"It’s past due. Safer than alcohol. ","1","0.23"
"Its great. Just wish shops were open.","1","0.23"
"Its safer than alcohol and tobacco ","1","0.23"
"Just do it already and ya e this country stop dragging there feet ","1","0.23"
"Land of the free, home of the brave.... Don't tell me what I can/can't put into my body. Who are you to say what medicine I can take?","1","0.23"
"legal like alcohol in the country","1","0.23"
"Legalization should be across the board.","1","0.23"
"Legalization should ensure that patients aren't used as targets of law enforcement.  Patients tend to have a lot of cannabinoids in their system at any given time of day. ","1","0.23"
"Legalize and take off schedule 1 drug list","1","0.23"
"Legalize cannabis","1","0.23"
"Legalize Cannabis in every State in United States of America","1","0.23"
"Legalize for medical and adult recreation ","1","0.23"
"Legalize it already ","1","0.23"
"legalize it and regulate it.","1","0.23"
"LEGALIZE IT AND SAVE LIVES","1","0.23"
"Legalize it but regulate growing (protect from Monsanto/etc)","1","0.23"
"Legalize it everywhere it’s better than taking meds","1","0.23"
"Legalize it everywhere.","1","0.23"
"Legalize it federally ","1","0.23"
"Legalize it!","1","0.23"
"Legalize it.  Stop special interests!","1","0.23"
"Legalize nationally.  I think alcohol is the dangerous drug.  The war on drugs should focus on the suppliers of Heroin,Fentanyl and oral narcotics.  Stop the insurge of killer drugs.  The opioid crisis is not due to Doctors.  Oxycodone has been around for a long time as Percocet and Percodan.  Oxyir and OxyContin came into play because Morphine had become so stigmatized.  Putting heroin addicts on methadone is asinine.  Medical Marajuana advocates need accolades.  I have never seen anyone overdose on marajuana.  My husband has always said they should pipe it into the prisons to calm down the inmates !","1","0.23"
"legalize!","1","0.23"
"Legalize; it's absolutely absurd alcohol is legal and cannabis is not.","1","0.23"
"let's stop being ridiculous","1","0.23"
"Let’s do it!","1","0.23"
"Long over due  Especially for medical use","1","0.23"
"Long overdue","1","0.23"
"Long overdue. I never used it before I became sick but I see now that it is harmless and overblown. I would rather see people relax with cannabis than alcohol. ","1","0.23"
"Long overdue. Still heavily over regulated. Why do I have to have my drivers license and Id scanned when I walk in the door of the dispensary instead of when I make a purchase? Why is the state considering a breathalyzer test when they know it doesn't prove anything?","1","0.23"
"Love it  ","1","0.23"
"Love it its about time ","1","0.23"
"Make it Federally legal so I can Vape in/near my home","1","0.23"
"Many people are afraid of the stigma behind the card. The more people that have safe access, the better. ","1","0.23"
"Medical cannabis should definitely be legal in all 50 states.","1","0.23"
"Need more access and information overall.","1","0.23"
"Needed","1","0.23"
"Needs to be legalize ","1","0.23"
"Not at all happy with the roll out. I am in favor of forcing the ccc to review all host agreements and fixing illegal ones. I’m ok for it to be delayed even more to get it right. Medical must stay protected. Medical is crucial for our kids and seniors who don’t have access to care givers. Doesn’t feel legal when I can’t smoke in public and have to feel like a criminal all the time. ","1","0.23"
"not fast enough","1","0.23"
"Not for recreational marijuana","1","0.23"
"not soon enough","1","0.23"
"ok about it. It's hard to regulate because Dr.'s will give you whatever you want if you can pay$$.  ","1","0.23"
"ok with it","1","0.23"
"One should not use while driving or using machinery that could harm themselves or others. ","1","0.23"
"Only adult use unless medically needed under a physicians care for any child. ","1","0.23"
"Only for medicinal purposes.","1","0.23"
"Only to allow me to grow my own","1","0.23"
"Open Cannabis Consumer and Patient Survey 09/30/2018 Sunday 7:08pm    In 2014 we legalized consumption of cannabis in Oregon. We additionally tried to legalize a utopian bill in 2010 [I am pretty sure but it might have been 2012]. As a tree hugging Libertarian I fully endorse cannabis and hemp legalization on all levels.    Essentially I am a freedom fighter for those that believe that cannabis is a world/earth derived/plant based medicine/consumer product that should be provided by the farmers of the planet and should be legalized, not only nationally [the USof A] but by the world at large.    I apologize for acting like a US citizen [even though I am one], and the remarks that are created from that reality, but I also want you all to remember that these statements only come from being this free as a society that is this large.    Think about that, if you can.    Cannabis freedom will set the world on a new path.    Sincerely,  Nathaniel Grant Wygethrin [previously Nathaniel Wingate Grant]","1","0.23"
"Optimistic but implimentation seems to be taking longer than expected","1","0.23"
"Overdue ","1","0.23"
"Peace ","1","0.23"
"People would be a lot better off using cannabis rather than taking synthetic meds. ","1","0.23"
"Please do! Legislators need to get their heads out of their asses and see the benefits!","1","0.23"
"Please hurry.  I also give it to my son which has finally stopped his intractable seizures that no anticonvulsant over the last 3 years was able to do. Thank you!","1","0.23"
"Please legalize and stop sending people to jail. TY","1","0.23"
"positive","1","0.23"
"positive ","1","0.23"
"Positive ","1","0.23"
"Positive. ","1","0.23"
"Pro-legalization","1","0.23"
"PRO LEGALIZATION  (This is where I erase my diatribe on systemic racism, stigma, smooth jazz at the doctor's office and more old, white men trying to tell me what to do. I will also forego another soap box rant on the features and benefits of this amazing plant.)","1","0.23"
"Pro recreational use.","1","0.23"
"Pro! Amazing benefits and if remaining organic, non gmo etc it is a primary choice for me. ","1","0.23"
"Pro, more education on medical vs recreational though and therapeutic limits vs getting stoned ","1","0.23"
"Recreational legal cannabis is appropriate. Medical should remain a separate category, to allow regulations that increase access to cannabis products for disabled and low income people. Higher plant allowances for patients growing, continuous supply at dispensaries, paying no tax, discounts for those on Medicare, Medicaid, or other financial assistances are all appropriate. The certification and card system for medical should be free; subsidized by the taxes on recreational cannabis.","1","0.23"
"Regardless of its medical uses, being anti pot is being pro cartel, end of story. ","1","0.23"
"Responsibley and Deep discounts for Disabled patients living off SSDI.   The opiods are covered by insurance and only cost the co-pay. Incredible struggle to try cannabinoids medications. ","1","0.23"
"Safety of users in workplace and hazardous situations","1","0.23"
"Should be adult use legal nationally.","1","0.23"
"Should be federally legal","1","0.23"
"Should be legal ","1","0.23"
"Should be legal across all states; especially for travel with medical products","1","0.23"
"Should be legal and insurance should pay for it like any medicine.","1","0.23"
"Should be legal and NOT regulated. It should be treated like tomatoes. ","1","0.23"
"should be legal federally","1","0.23"
"Should be legal for mentally healthy adults with ample info about potential side effects, not unlike how we treat alcohol. Even better would be if MMJ was treated like rx meds.","1","0.23"
"Should be legal in every state for medical use,and should be taken off as a schedule 1 drug.so research can be done On the effects of cannabis.if states pass it for recreational use it should be honored federally.","1","0.23"
"Should be legal to grow and buy","1","0.23"
"Should be legal.","1","0.23"
"should be legalized","1","0.23"
"Should be legalized in all states for medical use.","1","0.23"
"Should be made completely legal as long as there is regulations in place for safe, clean, organic cannabis.","1","0.23"
"Should be period. Booze is much worse on ones body","1","0.23"
"Should be rescheduled into Schedule V. ","1","0.23"
"Should have been done along time ago, less pills! ","1","0.23"
"Should have been done years ago","1","0.23"
"Should have been done years ago in Massachusetts is behind the curve so far I feel","1","0.23"
"Should have been legalized across the board a long time ago. ","1","0.23"
"should have been years ago","1","0.23"
"Should have never been made ILLEGAL in the 1st place!","1","0.23"
"Should never have been banned!","1","0.23"
"Should never have been prohibited in the first place and is one of the largest rackets in this country's history ","1","0.23"
"State is taking too long to process facilities for openings ","1","0.23"
"Still nervous about federal classification of cannabis.  This could be so much easier if there was no stigma of federal law enforcement intervention","1","0.23"
"Sucks. We need the Federal Government to remove it from a schedule 1 drug. We need local municipalities to stop the extortion of small business that want to start their cannabis business. Local municipalities need to understand that the PEOPLE HAVE VOTED and want cannabis. They need to stop letting the 3 or 4 people that do not want it, to halt all efforts to move forward.","1","0.23"
"Support it ","1","0.23"
"Thank god! ","1","0.23"
"That it happens already","1","0.23"
"The civil right to possess and garden with cannabis is critical because the industry regulatory model is a disaster.  The State Legislature and Governor re-wrote the law we enacted, massively increasing taxes and fees and the regulatory burden.      Anyone should be able to grow and sell cannabis to anyone else.  Cannabis should be sold in local farm markets where I can meet with the farmer - this is my preferred way to purchase food as well.","1","0.23"
"The USA should fully legalize cannabis","1","0.23"
"There are mostly positive results of legalization. However, the cost of cannabis has risen so much that some medical users are not able to afford buying cannabis products. Also the small cannabis farmers are unable to sustain their livlihood since legalization.","1","0.23"
