"q23","In your own words, how do you think social equity and restorative justice will be affected if adult use cannabis is legalized in New Jersey.","n =  237"
"I believe those currently doing time for cannabis possession/use will be released.  The punishment for drug possession/use will become more lax, as drug use, in general, will be more tolerated.","1","0.42"
"I do not know","1","0.42"
"I don't have an opinion","1","0.42"
"I don't know that it will have much impact honestly. Our country is very broken. The system is broken. Legalizing weed isn't going to fix it overnight.","1","0.42"
"I don't think our society's issues are going to be fixed just by legalizing adult-use, I think it's only a step in that direction.  Much more needs to be done to improve social equity.","1","0.42"
"I don’t agree with going back in time. Using time & money on expunging old cases if a person broke the law back then it is on them to use their own money to pay for expungements. Money needs to be used on K-9’s that will have to be retired & new ones implemented.","1","0.42"
"I don’t believe it will be affected negatively. Probably insignificantly. ","1","0.42"
"I don’t know","1","0.42"
"I don’t know ","1","0.42"
"I dont think much will be affected. I think our country’s problem is more than just about social equity. I think its a deep racial issue that is too embedded in our legal system to really be changed solely based off of the legalization of marijuana. But, I guess its a start. ","1","0.42"
"I feel it can be improved and be beneficial to those negatively affected if New Jersey takes it seriously & is actively working to have equitable conditions. ","1","0.42"
"I feel like it will be affected for the better.  ","1","0.42"
"I feel that justice would be served if cannabis was legalized.","1","0.42"
"I generally do not subscribe to the notion that equity (equally of outcome) is something which is obtainable. We should strive for equality of opportunity as often well intentioned policies that are put in place in order to achieve equity have many negative tangential effects that can lead to less equality of outcome. That being said, I believe that legalization of marijuana will allow for more equality of opportunity in which people can live their best lives and achieve their best possible outcomes (although all outcomes may not be equal).","1","0.42"
"I have mixed feelings here. People who were convicted of crimes still broke the law. I think that larger crimes should not be expunged but minor possession convictions should be expunged. ","1","0.42"
"I hope there will be positive results in both","1","0.42"
"I know cannabis laws are not currently enforced in white suburbs.  Legalization level that aspect of the playing field for all communities.","1","0.42"
"I only support this for Adults, as we can buy liquor.  My answer is extremely long for this question","1","0.42"
"I think a lot of the time, social equity goes unnoticed, and a lot of people are discriminated against. If cannabis was legalized in New Jersey, it would bring justice for those people that have been treated unfairly.","1","0.42"
"I think both will be prioritized after legalization, but still do not agree to legalization of recreational use.","1","0.42"
"I think it addresses one part of the issue.  ","1","0.42"
"I think it could keep start to chip at the strong racial inequalities around arresting people for drugs ","1","0.42"
"I think it should be explored and non violent offenses or those that were not blatantly disregarding public welfare should be reviewed ","1","0.42"
"I think it will all take a long time to undo the mantra that ""Marijuana is a gateway drug"" that was drilled into the so many people for so many years","1","0.42"
"I think it will be a low priority","1","0.42"
"I think it will be affected in a good way. ","1","0.42"
"I think it will help but not eliminate inequity","1","0.42"
"I think it will help focus on more serious crimes and send these drug users to more rehabilitative approaches rather than jail. ","1","0.42"
"I think it will open the doors for the justice system to change from punishing people and ruining their lives to helping people","1","0.42"
"I think it will take the stigma away","1","0.42"
"i think it would a good idea to have marijuana legalized since it doesn’t cause any damage to society. It would actually bring people closer together instead of breaking people apart because of their race or ethnicity. ","1","0.42"
"I think it’ll have a postive effect on NJ","1","0.42"
"I think it’sa step towards equity but also has to be just the first step - we also need to recount records, provide reparations for those incarcerated for non-violent cannibas offenses and provide equal opportunities for those as well","1","0.42"
"I think legalization is a step in the right direction and should be followed by expunging the records of those convicted only of cannabis related crimes.","1","0.42"
"I think legalized cannabis is a good first step in reversing the awful effects created by the war on drugs. The war on drugs was just another way for cops to target minorities to keep them disproportionately jailed away from society. So if prior convictions related to non violent drug charges are expunged, then that will allow these people a better chance at finding their place in society again. We need to focus more on restorative justice than the punitive system we have in place now. Legalizing cannabis is definitely a good first step in improving social equity in NJ, but more steps need to be taken to right the wrongs of the war on drugs. ","1","0.42"
"I think our state will see a huge decrease in felonies and convictions in all races.","1","0.42"
"I think social equity and restorative justice will be affected as marijuana alters an individual’s mind and brain. This leads to them not being able to physical responsibility for what they say and the way they act. I think marijuana is a very dangerous chemical. ","1","0.42"
"I think social equity and restorative justice will not be affected negatively if we were to put some restrictions or rules on cannabis use.","1","0.42"
"I think social equity will be affected by legalization of cannibis since less will be arrested.","1","0.42"
"I think that it will positively impact those effects from it.","1","0.42"
"I think that legalizing cannabis is positive.  I don't necessarily believe that we should erase all fault for prior convictions because at the time they were performing an illegal action. Moving forward after legalization, I feel social equity is necessary","1","0.42"
"I think that people who have been traditionally underrepresented and marginalized are the ones that get convicted on marijuana charges. By making cannabis legal, you positively impact marginalized communities. ","1","0.42"
"I think that the stigma on people that use cannabis will be nullified and ultimately will take away the stereotypes associated with the people who do partake in the use of cannabis.","1","0.42"
"I think that there will be a positive impact but like all things, corruption can still take place. ","1","0.42"
"i think the whole idea of social equity and restorative justice will be changed ","1","0.42"
"I think this is just the tip of the iceberg. There are far weightier topics affecting social equity. Any positive steps forward will be beneficial ","1","0.42"
"I think this will take time but eventually I would hope that the stigma around marijuana use and violence lessens. I think this stigma arises from it being a category one drug and often associated with Black people who are also given harsher punishments because of marijuana and their race.","1","0.42"
"i think this would help african americans from gettifn arrested on small possession charges as well as give black people already convicted a better chance to getting out and having help starting a new life ","1","0.42"
"I would hope by legalizing marijuana it will definitely help with small time offenders in their release and their criminal record. ","1","0.42"
"I would hope that those who are being appropriate and mature about what they do with cannabis will be treated the same as those with alcohol, and in that sense the same treatment applied to those who Misuse alcohol  that may misuse cannabis. ","1","0.42"
"I would like to believe that restorative justice will be implemented if adult-use cannabis is legalized in New Jersey, but I am not confident that it will. I would expect that going forward, no further criminal proceedings against citizens will occur for recreational use. I cannot count on NJ to clear out past offenses given the state's prior record with everything else.","1","0.42"
"I would need to know more about the problems with this as it currently stands.","1","0.42"
"I’m not sure ","1","0.42"
"I’m not sure what will happen but hopefully it will work as planned. ","1","0.42"
"I’m not sure. ","1","0.42"
"I’m not too sure.","1","0.42"
"If adult-use cannabis is legalized in NJ millions of hours of peoples' lives will not be wasted in jails/prisons which could lead to a more productive population.","1","0.42"
"If cannabis is legalized for adult use it would provide the beginning framework for social equity as well as potential avenues for restorative justice, as well as preventing further incarceration for non-violent drug crimes. ","1","0.42"
"If cannabis is legalized in NJ, I believe the expungement of past non-violent cannabis related drug offenses will do a great service to those disenfranchised by the war on drugs. ","1","0.42"
"If equity and restorative justice measures are not prioritized, Black, Indigenous and Latnix  communities will not benefit from legalization ","1","0.42"
"If I understand correctly, arrests for drugs in NJ should be less if cannabis becomes legal. ","1","0.42"
"If it is legal to purchase, less people will illegally obtain it. ","1","0.42"
"If it is legalized I believe it will restore justice because people who are in jail because of marijuana will be able to recieve justice and sentences can be lessened.","1","0.42"
"If it is legalized. There has to be a task force set up to go back and help people who have been convicted of cannabis possession that is now legalized. You can’t continue to punish someone for a crime that is no longer illegal. This needs to include removing those convictions from there records, so they no longer have to say they have been convicted of a crime on job interviews, credit applications and have their voting rights restored. Also this needs to include getting rid of any fines or penalties these individuals still have to pay to gain their freedom. There should also be task force set up to repay fines to people who have had to pay penalties based on cannabis convictions.","1","0.42"
"If it’s made legal to many people will be running around high a lot more accidents ","1","0.42"
"If legalizing is passed they should allow people to get marijuana. People who are arrested prior to passing need to do there time ","1","0.42"
"Im hoping to end the stigma around Marijuana and maybe open public eyes to medicinal products not yet widely considered. I pray that those affected by the drug war will get some kind of equity and the government will pay back what they took from these people. ","1","0.42"
"Im not sure","1","0.42"
"In a positive way since people who have an offense for weed, their records will be expunged. ","1","0.42"
"In order for this to work it must be so","1","0.42"
"In the perfect world, if adult use cannabis is legalized anyone convicted, or awaiting conviction for low level cannabis use or for sale should be released and their records expunged.","1","0.42"
"It's a positive thing","1","0.42"
"It can only get better ","1","0.42"
"It could support it with monetary support ","1","0.42"
"It depends if they legalize cannabis, I don’t think they will change all the past rules even though they should. However it just unrealistic sadly ","1","0.42"
"It is my hope that if adult-use cannabis is legalized in New Jersey, we will also see greater social equity and restorative justice practices. Due to historic societal view and understanding of cannabis as ""the gateway drug""/the war on drugs, the legalization of adult-use cannabis will take some time to be widely accepted - especially by the older, more conservative demographic. Due to this, there is a chance that social equity and restorative justice will not be immediately improved post-legalization.","1","0.42"
"It needs to pay for the deficits caused by covid relief","1","0.42"
"It provides balance for years of injustice.","1","0.42"
"It should help restore some equity- largely dependent on its oversight","1","0.42"
"It should improve but much more work is needed.","1","0.42"
"It will be a shitshow! But that's pretty much everything in NJ anyways. Social equality should start in our schools. Whether or not cannabis becomes legal after the election doesn't change the fact to people broke existing laws before they were changed and should be held accountable. ","1","0.42"
"It will be good for it because there will be many tax dollars.","1","0.42"
"It will be seen different as a whole. Many states have legalized it already.","1","0.42"
"It will go a long way to effect social justice but only in cannabis legalization, much more work needs to be done","1","0.42"
"It will lower convictions of drug related charges ","1","0.42"
"It won’t ","1","0.42"
"It would begin the repair process for people who have had their lives negatively affected by a marijuana charge. New doors would open for people who should not have been handicapped by a criminal drug record to begin with.","1","0.42"
"It would lower the social stigma","1","0.42"
"It would take the pressure off of those of lower socio-economic status. Meaning it would eliminate any stigma.","1","0.42"
"It’s a first step","1","0.42"
"Kk","1","0.42"
"Legalization should ONLY pass alongside a restorative justice program.","1","0.42"
"Legalization will help reduce stigma associated with cannabis related criminal records. ","1","0.42"
"Legalizing it may show that the population of adults participating in marijuana use is not as marginalized as the history of arrests in terms of race and socioeconomic class. ","1","0.42"
"Less discrimination on poor communities ","1","0.42"
"Less people in jails ","1","0.42"
"Less people will be penalized for using cannabis. ","1","0.42"
"Less unfair jailing within the black community. ","1","0.42"
"Let's petty ""crimes"" for the police.","1","0.42"
"little amount of cannabis consumption for medical reason or recreation purpose is no more harmful than cigarette or alcohol. If others are legalized then why not cannabis. We also needs to be educated on usage on this without mental or psychological impairment which will affect our judgement.","1","0.42"
"Many people locked away will be released","1","0.42"
"Marijuana is good","1","0.42"
"More money","1","0.42"
"n/a","1","0.42"
"N/a","1","0.42"
"Na","1","0.42"
"Na ","1","0.42"
"Next","1","0.42"
"No comment","1","0.42"
"No comment ","1","0.42"
"no comment right now","1","0.42"
"No different than alcohol consumption and sales.","1","0.42"
"No idea","1","0.42"
"No matter what is deceided people are going to not agree.","1","0.42"
"No strong feelings ","1","0.42"
"None","1","0.42"
"not affected at all  it will continue to be the way it always has been","1","0.42"
"Not enough knowledge to answer ","1","0.42"
"Not really sure","1","0.42"
"not sure","1","0.42"
"Not sure what could make up for it. ","1","0.42"
"Not sure.","1","0.42"
"Owning cannabis will not be a easy point for police to racially profile an individual.","1","0.42"
"People are too concerned with them (social factors and legal too), gain perspective, from  a terminal patient's POV, better access and decriminalization will benefit more SICK people. There will always be people that will try to benefit illegally on ANYTHING. But the benefits will outweigh the risks/cost ultimately for those in need. ","1","0.42"
"People should not be stigmatized for marijuana use regardless of social or economic status ","1","0.42"
"People will be allowed to freely participate in cannabis use could feel there is a level playing field should they get incarcerated on behalf of cannabis. ","1","0.42"
"Politics","1","0.42"
"positively ","1","0.42"
"Positively ","1","0.42"
"Positively.","1","0.42"
"Release of non violent users should not be in jail or have a criminal record","1","0.42"
"Should free up police from chasing people for a minor offense","1","0.42"
"Social and racial inequalities will always play a part in the legal system.  Until we have a system that treats everyone equally, regardless of race, the legalization process and expungement of records for minor drug crimes seems pointless","1","0.42"
"Social equity will immediately be impacted by the reduction in racially discriminatory incarcerations. Illegally industry and many results of that industry will reduce. However, much is left to be done with regards to the historical impact that has already taken place, and the social disparities that will continue unless other programs are put into place.","1","0.42"
"stop the persecution of cannabis users","1","0.42"
"Sure","1","0.42"
"That depends on what legislation is enacted and signed into law and what regulations the Cannabis Regulatory Commission adopts.  At this point nobody can do anything other than guess about how ""social equity and restorative justice will be affected if adult-use cannabis is legalized in New Jersey"" based on the proposed constitutional amendment.","1","0.42"
"The “stigma” will be eliminated","1","0.42"
"The act of legalization for a lot of people is the act of making something morally acceptable. While not instant, the effects of legalization will help convince those on the fence (and down the line, those that are strongly in the negative) that cannabis isn't that big of a deal. This helps remove stigma towards those perceived as ""criminals"" for the crime of possessing a blunt. Cannabis for many people is a radicalizing issue, and it tends to be a good entry point into social justice. Its ahard to argue that people should be in jail for something that is legal currently","1","0.42"
"The events of the past can’t be erased but can be forgiven.  Compensation, however, may be impossible to accomplish other than a clean record.","1","0.42"
"The illegality disproportionately affected those in the African American communities, adding to systemic oppression.","1","0.42"
"The same  rules should apply as alcohol use with the same consequences if abused","1","0.42"
"The was a time when alcohol was illegal too, but since it’s legalization anyone can easily see its positive impacts on society and the economy. The same would hold true for cannabis. ","1","0.42"
"There are bigger offenses than having cannabis found on you. It should  Be decriminalized and records expunged. ","1","0.42"
"There is still a massive difference in someone participating in something that is illegal at the time to it becoming legalized. They are still committing a crime at the time of offense since it was not yet legal. ","1","0.42"
"There will be an improvement. Only time. will tell if it is a big improvement or not.","1","0.42"
"There will be less people in prison and will help small time offenders. ","1","0.42"
"These are buzzwords to make people feel good about legalization.","1","0.42"
"They will have a better chance of success. ","1","0.42"
"This can & will happen as a natural consequence with a change in law.  We don't need to make up expensive & just as judgemental programs to try an undo past mistakes with new mistakes.   ","1","0.42"
"This will eliminate arrests if someone has the legal amount of cannabis on them. Currently someone could be arrested If they have a joint on them. Alcohol is legal for adult-use and I believe that is a more powerful drug than cannabis. Hopefully people with cannabis related charges in the past will be able to have their records expunged. ","1","0.42"
"those previously having records for small amounts of cannabis will be expunged and get voting rights back and not have to check the box on job applications of felon. i want to see small crimes be cleared so there is more fairness so these people can succeed in life not held back any longer ","1","0.42"
"Those previously incriminated for marijuana possession will be freed and possession will be decriminalized as a whole preventing those who use marijuana as a recreational drug from having their lives ruined by the criminal justice system. ","1","0.42"
"Those who’ve served time in prison/jail for cannabis offenses should have their records immediately expunged. They should be granted reparations for the time they served, unable to be gainfully employed. They should be counseled for a successful transition back into the workforce. The federal laws making cannabis a crime also needs to be lifted. ","1","0.42"
"Unaware of the topic ","1","0.42"
"Unfortunately I don't feel competent that any government in any capacity will do right by the citizens of New Jersey, regardless of ""programs"" enacted for anything. ","1","0.42"
"Unfortunately, I feel like legalization is probably being done for the wrong reasons and I highly doubt the right thing will get done with respect to restorative justice.  People in power don't give away power easily.  ","1","0.42"
"unfortunately, in my opinion, the police are a racist organization. they attack and single out poc who use cannabis. if we are able to implement more social equity and restorative justice, black people and other poc will not (for example) be sentenced to life or other ridiculous sentences for carrying or possessing small amounts of cannabis. im hoping that this can reduce racial profiling and discrimination against poc, for a drug that is glorified by rich white people.","1","0.42"
"Unknown","1","0.42"
"Unknown ","1","0.42"
"Very little affect ","1","0.42"
"We have to ask what race are those convicted of the crime and the sentencing they received.  Restorative justice will allow those who could not afford an attorney or bail their rights to citizenship, which under the current administration is also under attack.","1","0.42"
"We know that marijuana-based arrests tilt strongly towards POC, which has always been truly unfair.  Legalization will help to alleviate this, and restorative justice will help to lessen crowding in prisons.","1","0.42"
"Will improve situation","1","0.42"
"Will lead to less crime and a more peaceful society","1","0.42"
"Words","1","0.42"
"would take this crime off the books","1","0.42"
"x","1","0.42"
