"q52","What questions regarding cannabis did we not ask that are important to you?","n =  261"
"Maybe if we know someone who needs it but wont because of socieatal pressure or stigma/ uninformed shame","1","0.38"
"N.a","1","0.38"
"n\a","1","0.38"
"New methods for producing better concentrated ","1","0.38"
"No idea","1","0.38"
"No questions geared towards Caregivers","1","0.38"
"none ","1","0.38"
"none  ","1","0.38"
"None come to mind","1","0.38"
"None I love to learn as much as I can","1","0.38"
"none so far ","1","0.38"
"None thanks ","1","0.38"
"None that I can think of right now.","1","0.38"
"None that I can think of.","1","0.38"
"None, but you really need to make some questions NOT required. I'm sure there are some people like me who get their products from friends of friends, and really are not knowlegeable at all. ","1","0.38"
"None.","1","0.38"
"None. My biggest concern is young kids access to cannabis","1","0.38"
"nono","1","0.38"
"Not at this time","1","0.38"
"Not one","1","0.38"
"not sure","1","0.38"
"Not sure","1","0.38"
"Not sure ","1","0.38"
"nothing","1","0.38"
"Nothing comes to mind. ","1","0.38"
"Nothing I can think of, thanks","1","0.38"
"O","1","0.38"
"Percentage of ppl who buy it","1","0.38"
"Possibly, what positive and negative affects indica sativa and hybrids have on the persons taking the survey","1","0.38"
"Price","1","0.38"
"Pricing","1","0.38"
"Questions reguarding future usage ","1","0.38"
"Questions were fine","1","0.38"
"Racial barriers to accessing care.","1","0.38"
"Regarding research","1","0.38"
"Stavia  vs Indica and how each effect you. ","1","0.38"
"Stigma","1","0.38"
"Storage...and cooking help","1","0.38"
"Terpene profile questions and more about the legitimacy of testing","1","0.38"
"Testing, to assure clean, safe product.  Knowledge of exactly what is in strain, terpine profile.","1","0.38"
"Too see if all cannabis should be tested for quality control","1","0.38"
"Using cannabis for working out","1","0.38"
"Ways to smoke flower ","1","0.38"
"What's your tolerance? How did you start? ","1","0.38"
"What are the 3-5 most helpful questions to ask a cannabis sales person when first getting started using cannabis?","1","0.38"
"What is being done to educate medical students?","1","0.38"
"What prescription medications have you been able to eliminate because of your cannabis use?","1","0.38"
"What state I'm in.  Not legal here.","1","0.38"
"When were you introduced?","1","0.38"
"When will recreational use of marijuana, happen. Talk about dragging feet","1","0.38"
"WHY CANNABIS WORKERS GET PAID SO LITTLE WHEN THEIR WORK IS SO CRUCIAL. THESE PEOPLE WHO WORK HR IN THESE COMPANIES ARE MAKING BANK WHILE PEOPLE ON BOTTOM ARE DOING ALL THE WORK FOR THEM. ALSO Y'ALL NEED TO GIVE MONEY BACK TO BLACK COMMUNITIES IN MASSACHUSETTS. THIS INDUSTRY NEEDS TO STEP UP IN THOSE REGARDS. I UNDERSTAND THAT PROFIT KEEPS PEOPLE UP AT NIGHT BUT Y'ALL SEEM TO BE OBLIVIOUS TO THE FACT THAT PEOPLE WHO WERE DOING THIS IMPORTANT WORK GIVING PEOPLE MEDICINE ARE IN PRISON WHILE Y'ALL SIMPLY HOP ON THE BANDWAGON WHEN IT IS LEGAL. PEOPLE STILL PAYING A PRETTY PENNY FOR THESE CANNABIS PRODUCTS AND Y'ALL SHOULD USE A GOOD AMOUNT OF THAT MONEY TO ADVOCATE FOR PEOPLE IN PRISON FOR DOING WHAT YOU ARE DOING NOW? HOW IS THAT NOT ON YOUR MIND? HOW IS THIS BEING OVERLOOKED? I DONT UNDERSTAND. ","1","0.38"
"Why do I use the strains I prefer?","1","0.38"
"why prices do not come down","1","0.38"
"why the government has carried on with this prohibition for so long, injuring the american people as a whole","1","0.38"
"with all the clinical research being done on this topic why are the really good effects of this plant not talked about more  and then there is the tax issue","1","0.38"
"With continual consumption, will you need to increase amount consumed to receive benefits","1","0.38"
"Would like to see mandatory cannabinoid and terpenoid profiles on products in order to improve efficacy","1","0.38"
"Would you like more variety in strain6","1","0.38"
"You covered everything very thoroughly!","1","0.38"
"You did a good job. ","1","0.38"
"You didn't ask if I've done political advocacy around cannabis consumption, legalization.","1","0.38"
"You dont ask about the smell of the weed. for me is extremly important in my choise","1","0.38"
"You got it all that I can think of","1","0.38"
"You hit everything I can think of right now ","1","0.38"
"You hit them all","1","0.38"
"you were very thorough. you asked everything.","1","0.38"
