"q41","What features are missing from your sources of information that you would like to see included?","n =  1249"
"Dispensary often doesn’t list breakdowns of ingredients on their websites so we can research at home before going to the dispensary.","1","0.08"
"Dispensary websites/menus do not always accurately reflect availability/inventory ","1","0.08"
"Distance  to dispensery","1","0.08"
"distinguishing physical features between strains and types ex indica vs sativa","1","0.08"
"do not know","1","0.08"
"Doctors', scientists', and cultivators' information regarding cannabis products, strains and how it is grown/manufactured","1","0.08"
"Don't have any","1","0.08"
"don't know","1","0.08"
"Don't know","1","0.08"
"don't know - just trying to figure it all out on my own","1","0.08"
"don't know yet, I've just started exploring ","1","0.08"
"Don't understand the question ","1","0.08"
"dont have good sources.  will try the ones you mentioned apps/websites","1","0.08"
"dont know","1","0.08"
"Dosage","1","0.08"
"Dosage and format information","1","0.08"
"Dosage help","1","0.08"
"Dosage information","1","0.08"
"Dosage, testing information, safety details, loyalty, strain and product tracking/dosage logging.","1","0.08"
"Dosages ","1","0.08"
"dosing and best ways to get the most benefit","1","0.08"
"Dosing and strains to use ","1","0.08"
"dosing for anti cancer","1","0.08"
"Dosing information","1","0.08"
"dosing information for my medical concern","1","0.08"
"dosing/ edibles/tincture/ etc/specific conditions","1","0.08"
"Double blind studies and independent polls like this one.  Thanks!","1","0.08"
"Dry and Cure info","1","0.08"
"Each site has plus and minus.  Multiple sources are required to get a complete picture","1","0.08"
"Ease of finding strains. More medical info. ","1","0.08"
"easier correlation between dispensary menu and product reviews","1","0.08"
"Easier navigation of site on mobile ","1","0.08"
"Easier to find sources to back up claims","1","0.08"
"Easily digestible (couple of sentences) the describe a products high or impact on you.","1","0.08"
"Easy access to comparisons ","1","0.08"
"Effects of how other patients feels ","1","0.08"
"Enough info so far","1","0.08"
"everything","1","0.08"
"Everything medical cannabis","1","0.08"
"Expected new opening dates and locations","1","0.08"
"Expert guidance, individual dosage advise & lab testing","1","0.08"
"Explanation of strains","1","0.08"
"Extensive discussion of the effects of each and every active ingredient; more information on the content of those ""lesser"" ingredients for each strain.","1","0.08"
"Fact based truth in the medical community ","1","0.08"
"Features on how to obtain genetics","1","0.08"
"First time I have heard about this.","1","0.08"
"Flavor","1","0.08"
"Flowering time ","1","0.08"
"For Weedmaps, accurate in stock items and price","1","0.08"
"Free herb","1","0.08"
"Free Money","1","0.08"
"Free samples!","1","0.08"
"Full Genetic Linage ","1","0.08"
"full online terpene and cannabinoid profiles for all strains available for purchase","1","0.08"
"Full terpene profile","1","0.08"
"Getting my congressmen/women to vote on reform","1","0.08"
"Government ","1","0.08"
"Grow info and curing method if these are done well the strain science should hold true, if not, quaility assurance is gone.","1","0.08"
"Growing advice","1","0.08"
"Growing help","1","0.08"
"Growing outdoors","1","0.08"
"Growth stages and more indepth strain specific growing journals for all strains ","1","0.08"
"growweedeasy.com has everything i need. ","1","0.08"
"hard to find the map of legal states","1","0.08"
"Harvesting ","1","0.08"
"have not thought about this","1","0.08"
"have not visited websites","1","0.08"
"Head Shop locator","1","0.08"
"heath benefits ","1","0.08"
"Heavy Metal/Pesticide and Terpine lab tests from certified labs","1","0.08"
"Helpful ways to afford ","1","0.08"
"highness charactoristics","1","0.08"
"History and Tradition","1","0.08"
"home processing of flower to topicals","1","0.08"
"Honesty","1","0.08"
"How and how often","1","0.08"
"How exactly to use, as well as what to do if something unplanned for happens (like a coughing fit), for us neophytes!","1","0.08"
"how it affects large groups of people","1","0.08"
"How it affects with racng thoughts","1","0.08"
"How long effects last","1","0.08"
"How long the high will last","1","0.08"
"how to enhance the healing effects of cannabis","1","0.08"
"How to figure formulation","1","0.08"
"how to grow","1","0.08"
"How to identify different strains ","1","0.08"
"how to make my use of cannabis be more effective...how to dose when my condtitions can change with the weather","1","0.08"
"How to measure THC and CBD","1","0.08"
"How to micro dose ","1","0.08"
"How to save the most money ","1","0.08"
"How to use more efficiently","1","0.08"
"hyperlinks to government laws on cannabis, views of lawmakers","1","0.08"
"I'd like more objective information, not users' reviews. ","1","0.08"
"I'd like to be able to research the local brands.","1","0.08"
"I'd like to see evidence of strain content consistency","1","0.08"
"I'd like to see the same thc and turpene readout that comes with purchased products on the apps. ","1","0.08"
"I'd love to see a fuller chemical breakdown, more than just THC and CBD, but that's not even a big deal!","1","0.08"
"I'm not sure","1","0.08"
"I'm not sure.","1","0.08"
"I'm satisfied with the amount of features present","1","0.08"
"I'm very informed ","1","0.08"
"I am a caregiver and in 98 I did 1 yr in jail n now want to get in the cannabis biz but would need help","1","0.08"
"I am happy with the sources info","1","0.08"
"I am knew at this I dont know much","1","0.08"
"I am not sure yet","1","0.08"
"I can not think of anything","1","0.08"
"I cant think of any missing features","1","0.08"
"I don't feel that Recreational shops are keen on folks who do not want to be high. Most seniors feel intimidated to enter pot shops, because it is over whelming...among other things.","1","0.08"
"I don’t know enough to know what might be missing. ","1","0.08"
"I don’t know if any","1","0.08"
"I don’t know.","1","0.08"
"I don’t use outside sources so this is irrelevant. The pot I smoke is free and convenient because someone who grows it gives it to me whenever I want","1","0.08"
"I don’t use them","1","0.08"
"i dont know","1","0.08"
"I get all the info that I ask for. If my dispensary agent does not know, he will find someone who does.","1","0.08"
"I have a great dispensary","1","0.08"
"I have been an RN for 35 years. I hated pot. Tried it in High School. I was extremely reluctant to try it.  I had tried multiple pain meds including narcotics but they make me sick. I became so severely depressed that I had to be hospitalized. Marijuana has not only helped my pain,it has greatly improved my mood,my activity tolerance,and my sleep.","1","0.08"
"I have no idea","1","0.08"
"I like peer reviewed scientific articles","1","0.08"
"I mainly check in with friends for information. No missing information","1","0.08"
"I never heard of any of the above until taking this survey!","1","0.08"
"I pretty much always find the information I am looking for...","1","0.08"
"I think this is just fine","1","0.08"
"I usually just go to the dispensary website about current products available.","1","0.08"
"I want to see more results from real unbiased scientific studies. We absolutely need more scientific research with and without the govt. And, it needs to be done ASAP.  ","1","0.08"
"I wish the dispensaries gave you a more accurate information.","1","0.08"
"I wish the online strain info had more feedback from medical users in addition to recreational users","1","0.08"
"I would just like to have sources of information and to have cannabis be totally legal in the United States. ","1","0.08"
"I would like more specific medical info as related to cannabinoids and terpene profiles.  I would also like my Licences Providers (Canada) to be more knowledgeable in this area.  I have received better advice from non-Licensed dispensaries.","1","0.08"
"I would like to know more about how cannabis interacts with over the counter medications and herbal remedies","1","0.08"
"I would like to see a thirds party to select flower to send to testing.","1","0.08"
"I wouldn't know what else to look for","1","0.08"
"I’m happy","1","0.08"
"I’m not really sure","1","0.08"
"Ideal strains for particular conditions ","1","0.08"
"idk ","1","0.08"
"If any chemicals have been used to grow product ","1","0.08"
"If edibles are available in a limited stock (i.e., the dispensary does not make their own edible products and must rely on another dispensary or distributor for products.","1","0.08"
"im not sure","1","0.08"
"In stock strains fluctuate a lot, maybe a way to track","1","0.08"
"Incoming stains? Maybe something to look forward to. ","1","0.08"
"indepent labs","1","0.08"
"info about how to grow the strain","1","0.08"
"Info about my state ","1","0.08"
"Info not always applicable to state that I live in","1","0.08"
"Info on terpenes","1","0.08"
"information about other cannabinoids ","1","0.08"
"Information on breastfeeding/pregnancy","1","0.08"
"ingredients","1","0.08"
"ingredients in everything! including papers on pre-rolls, which can have corn and gluten in them. Severe food allergies. Also, list pesticide and chemicals used on the plants. The use of non organic practices must be transparent, and there is also a concern with allergies to these chemicals.","1","0.08"
"INSA isn’t included as a source on Leafly","1","0.08"
"Insa needs to put more info on menus","1","0.08"
"Jo","1","0.08"
"Job information ","1","0.08"
"just looking","1","0.08"
"Just starting out so I don’t know what is missing.","1","0.08"
"Lab test results for various producers","1","0.08"
"Latest dispensary list","1","0.08"
"Leafly covers my needs very well","1","0.08"
"Legalities","1","0.08"
"Legality","1","0.08"
"Legality!!!","1","0.08"
"Legitimate pictures, the ones on Leafly are uploaded by anyone and could be any strain. Detailed description of effects","1","0.08"
"Length of store operation ","1","0.08"
"Less descriptive re the high, more medical info","1","0.08"
"less emphasis on strain name and more emphasis and transparency re terpene profile","1","0.08"
"Let me buy direct from them ","1","0.08"
"level of psychoactiveness","1","0.08"
"Lists of local doctors","1","0.08"
"Local Cannabis news","1","0.08"
"Local caregivers ancillary businesses social clubs community host agreements ","1","0.08"
"Local caregivers that deliver ","1","0.08"
"local city by city news","1","0.08"
"Local grower information to keep up with new strains.","1","0.08"
"Local Growers not just Dispensary","1","0.08"
"local politics","1","0.08"
"Local prices","1","0.08"
"Local pricing and availability","1","0.08"
"locally specific","1","0.08"
"Location of strain im looking for","1","0.08"
"Log journal entries","1","0.08"
"Long-term side effects if any","1","0.08"
"Lots - public info","1","0.08"
"Lower weed prices","1","0.08"
"Mainstreaming ","1","0.08"
"Massachusetts Delivery Services","1","0.08"
"medical applications of strains","1","0.08"
"medical benefits of each strain","1","0.08"
"Medical doctor references","1","0.08"
"Medical indications and contraindications","1","0.08"
"medical info and attributes, chemical breakdown of strain","1","0.08"
"Medical strain names differ from common names","1","0.08"
"Medical training in cannabis dosing and efficacy","1","0.08"
"Menu and sometimes prices","1","0.08"
"Molecular break down. ","1","0.08"
"more about dosing for bone pain/surgical pain","1","0.08"
"More about wellness","1","0.08"
"More accurate lab results and higher TAC","1","0.08"
"More accurate search for strains, lifestyle stories, etc...","1","0.08"
"More advanced education for medical professionals","1","0.08"
"More ailments listed to pair with a strain. ","1","0.08"
"More articles on small time growing for your windows","1","0.08"
"More balanced research, broader research ","1","0.08"
"More basic information on how to grow","1","0.08"
"More cannabinoid detail","1","0.08"
"More clinical studies","1","0.08"
"More clinical study links","1","0.08"
"More comprehensive reviews, locations to obtain","1","0.08"
"More concrete scientific information. ","1","0.08"
"more consistent information.  sometimes information about a strain can vary greatly depending on what website you look at.","1","0.08"
"more consumer input","1","0.08"
"More creadable DYI","1","0.08"
"more data","1","0.08"
"More descriptions of medical benefits and side effects","1","0.08"
"More detail on terpenes, genomics, science","1","0.08"
"More detailed info","1","0.08"
"More detailed info for new consumers","1","0.08"
"more detailed information on the effects of all the different strains","1","0.08"
"More detailed strain information ","1","0.08"
"more details on side effects","1","0.08"
"More direct brand patients education, facility tours and manufacturing processes, more education from testing labs","1","0.08"
"More dispensary ","1","0.08"
"more easy to read ingredients ","1","0.08"
"More explanation about the product. Web pages are very vague","1","0.08"
"more exposure on twitter","1","0.08"
"More fear nformation on benefits of cannabis","1","0.08"
"more grow tips","1","0.08"
"More growing and management information ","1","0.08"
"More impartial science","1","0.08"
"More in depth articles on deficiencies ","1","0.08"
"More info about dosing","1","0.08"
"More info about dosing and where to get info without paying a fortune.","1","0.08"
"More info on CBD","1","0.08"
"More info on concentrates","1","0.08"
"more info on edibles","1","0.08"
"More info on extraction processes ","1","0.08"
"more info on growing specific strains","1","0.08"
"More info on how different cannabinoids interact with one another.","1","0.08"
"More info on individual terpenes","1","0.08"
"More info on pros and cons to vaping oil vs flower","1","0.08"
"More info on tinctures and edible use ","1","0.08"
"more info on what strains work best for different ailments..and more info of you are sober","1","0.08"
"more info on what the strain is good for (anxiety, depression, etc)","1","0.08"
"More information about how the ECS really works and how different strain profiles will interact with it.","1","0.08"
"More information about nerve pain and what to use. So confusing. ","1","0.08"
"More information on becoming more politically involved in the legalization process.","1","0.08"
"more information on cost","1","0.08"
"More information on supporting cannabinoids and terpenes. Most seem to focus on THC content, and according to a recent study THC (like opiates) only distracts you from pain. ","1","0.08"
"More information on terpenes, and on treating MRSA infections","1","0.08"
"More information on what works best for specific medical issues/diagnosis from survey of other patients","1","0.08"
"More informed Cannabis specialists","1","0.08"
"more lab reports and analysis of cannabinoid profiles in every strain, the reliability of strains from state-to-state, some standardization of cannabinoid profiles and effects for treating various conditions","1","0.08"
"More local resources","1","0.08"
"More local reviews of product ","1","0.08"
"More local search results","1","0.08"
"More locally relevant information. Most don't update their menus often or prices. ","1","0.08"
"More medical info. Like the basic fact that CBD can interact with other drugs and meds. And how chemo patients have got to check with someone they know knows!","1","0.08"
"more medical information","1","0.08"
"More medical information","1","0.08"
"More medical information ","1","0.08"
"More medical research results info","1","0.08"
"More news articles","1","0.08"
"More of the strains I like.","1","0.08"
"More personal reviews ","1","0.08"
"More personal reviews and a legit dr help section with more factual medicinal based articles","1","0.08"
"More personal stories from patients about their experiences treating certain ailments with certain products","1","0.08"
"More pictures ","1","0.08"
"More research","1","0.08"
"More Research","1","0.08"
"More research articles","1","0.08"
"More researched data on contraindications with other prescribed drugs and proven effectiveness with specific conditions such as IBS, arthritis, etc.","1","0.08"
"More samples","1","0.08"
"More science ","1","0.08"
"More scientific breakdown on terpene content etc, more info to Guage effects of specific strains","1","0.08"
"More scientific info regarding terpenoids ","1","0.08"
"More scientific literature, reliable sources ","1","0.08"
"more scientific research studies","1","0.08"
"more scientific sources","1","0.08"
"More scientific studies and summaries of anecdotal use","1","0.08"
"More specials listed menu  updates more frequently ","1","0.08"
"more specific dosing , more specific information for various illnessess","1","0.08"
"More specific information about which products work best for inflammation and anxiety ","1","0.08"
"More specific instructions on dosage","1","0.08"
"More specifics of what products are testing at","1","0.08"
"more strain specific indications (ie, Best Anxiety strains, etc)","1","0.08"
"More strain variety and more cannabinoid information.","1","0.08"
"More strains from my area","1","0.08"
"more studies and scientific findings and information on medical use of marijuana ","1","0.08"
"More substantial evidenced-based research","1","0.08"
"more terpene and other cannabinoid testinng. I realize these vary by individual flower, but strains have trends and I'm trying to learn more about their effects","1","0.08"
"more terpene info","1","0.08"
"More up-to-date research on the enndocannabanoid system; more diesease/theraputic specific information (e.g., x, y, z strains are good at treating depression becuase of this specifc categoristic)","1","0.08"
"More updated info at times","1","0.08"
"More updated information","1","0.08"
"More updated menu's","1","0.08"
"More user reviews","1","0.08"
"More workshops on site of dispensaries. Detailed in-depth information is often missing. I find a lot of articles that are dumbed down. That’s helpful when I was new but I’d like to learn more in-depth info that seems to lack. ","1","0.08"
"n.a","1","0.08"
"N.a","1","0.08"
"N/a I don't read much on strain information","1","0.08"
"N/A, Just waiting for the government to catch up.","1","0.08"
"n\a","1","0.08"
"NA ","1","0.08"
"nada","1","0.08"
"Needs better labeling of dosage amount / mg and in mls. I began with a micro dose and used the dropper as a measure! My dose was much lower good thing I’m a retired nurse because calculations were need and the worker didn’t have any knowledge of how much for me. He stated it was a 750mg 30ml bottle and I the consumer had to figure it ou. My dose was minuscule a calibrated syringe ie for diabetics would have been helpful","1","0.08"
"New medical card not enough knowledge ","1","0.08"
"No idea","1","0.08"
"No idea ","1","0.08"
"No one","1","0.08"
"No opinion","1","0.08"
"Nome","1","0.08"
"Non","1","0.08"
"non that I can think of","1","0.08"
"NONE","1","0.08"
"None - again, this question shouldn't be required. I don't have a bud tender or whatever either. I really don't dig into it that much. ","1","0.08"
"none at the moment ","1","0.08"
"none I can see.","1","0.08"
"None I know of ","1","0.08"
"None identified","1","0.08"
"None really ","1","0.08"
"None really; Leafly reviews are pretty thorough","1","0.08"
"None that I cam currently think of.","1","0.08"
"None that I can tell","1","0.08"
"none that I can think of","1","0.08"
"None that I can think of.","1","0.08"
"None, I think Leafly is very comprehensive","1","0.08"
"None.  ","1","0.08"
"None.  I rely on the advice of BASK Fairhaven.","1","0.08"
"Not 100% sure on that one at the moment ","1","0.08"
"Not all show the percentages of THC or CBD and would like to see more percentage wheels that show more of the cannabinoids in the strain by percent","1","0.08"
"not all strains present","1","0.08"
"not an issue","1","0.08"
"Not applicable","1","0.08"
"Not applicable ","1","0.08"
"not really sure","1","0.08"
"not shure","1","0.08"
"Not Sure","1","0.08"
"Not sure, I found a few products I like and generally stick to those products.","1","0.08"
"Not sure.","1","0.08"
"not sure. ","1","0.08"
"Not sure. ","1","0.08"
"Not sure?!?!? ","1","0.08"
"nothing I can think of","1","0.08"
"nothing i can think of right now","1","0.08"
"nothing missing, focus more on medical applications","1","0.08"
"Nothing really.","1","0.08"
"Nothing, I’m able find what I’m searching for ","1","0.08"
"Nothing. I find it somehow! ","1","0.08"
"Nothing. They tell you everything you need to know","1","0.08"
"Nutrient info","1","0.08"
"Often times then not, thc % and strain background info is not always available","1","0.08"
"online ordering","1","0.08"
"online ordering, but that's long to come","1","0.08"
"Online store","1","0.08"
"Order online","1","0.08"
"Organic?","1","0.08"
"Other cannabinoids! CBG, THC-V","1","0.08"
"Other names products may be listed under ","1","0.08"
"Pain experts' recommendations","1","0.08"
"Peer review","1","0.08"
"Peer reviewed scientific articles ","1","0.08"
"Peer Reviewed studies","1","0.08"
"people pieces","1","0.08"
"Percentage ","1","0.08"
"Personal experience","1","0.08"
"pesticides and fertilizers used on crop","1","0.08"
"Pet-safe products?","1","0.08"
"photos of plants","1","0.08"
"Pictures of fully mature plants, with the look of the bud","1","0.08"
"Places to buy clones and seeds","1","0.08"
"Political commentary and activism","1","0.08"
"popular or not","1","0.08"
"Popularity ","1","0.08"
"Possibility of drug interactions","1","0.08"
"Potency","1","0.08"
"Prescription drug interactions.","1","0.08"
"Price ","1","0.08"
"Price and lineage","1","0.08"
"Price comparison","1","0.08"
"Price comparison ","1","0.08"
"Price comparison feature","1","0.08"
"Price comparison of area distributers, or Specials comparison in live time","1","0.08"
"Price comparisons","1","0.08"
"Price range","1","0.08"
"Price ranges","1","0.08"
"price reduction like Colorado ","1","0.08"
"Prices ","1","0.08"
"Prices (some have it some don’t)","1","0.08"
"Prices and daily updated menus","1","0.08"
"Prices for different areas ","1","0.08"
"Prices, updated menu, reserve ahead options","1","0.08"
"Printable Strain Labels (ala CannaSOS)","1","0.08"
"Probably a lot, to be honest.","1","0.08"
"Product prices at local dispensaries","1","0.08"
"Product quality ","1","0.08"
"product reviews","1","0.08"
"Pt education ","1","0.08"
"Purchase locations near me- none listed for my area.","1","0.08"
"Quality","1","0.08"
"Quality control information","1","0.08"
"Quick reference print out of strains and properties","1","0.08"
"QUITE SATISFIED AS i DO RESEARCH AND COMPARE NOTES","1","0.08"
"Ratios of CBD:THC","1","0.08"
"Real news on industry ","1","0.08"
"real patient reviews","1","0.08"
"real THC content","1","0.08"
"real unbiased inbfo","1","0.08"
"Recent research implications ","1","0.08"
"recipes","1","0.08"
"recipes for making candy","1","0.08"
"recommended dosages","1","0.08"
"Recreational use ","1","0.08"
"Recycling programs for small plastic containers. Not just bags. More distillate refills options for carts.","1","0.08"
"references to scientific reports","1","0.08"
"Regional information that is consistent.  What happens in CA isn't the same as CO, or MA.","1","0.08"
"related diet","1","0.08"
"Relative terpenes, other elements ","1","0.08"
"Reliable menus","1","0.08"
"Reliable sources and proven testing on products  ","1","0.08"
"Research","1","0.08"
"Research based info","1","0.08"
"research data","1","0.08"
"Research findings","1","0.08"
"Research in the US but there is minimal to find so makes sense it is not there","1","0.08"
"Research needing funding","1","0.08"
"Research studying phytochemical differences between cultivation methods, medium, environment, etc. ","1","0.08"
"Research, stats","1","0.08"
"Residual pesticides in products; long term medical consequences of daily cannabis use","1","0.08"
"Results of scientific medical research","1","0.08"
"reviews","1","0.08"
"Reviews by patients","1","0.08"
"reviews of the strains, explanations of THC levels","1","0.08"
"Safety testing information (pesticides, metals, etc.)","1","0.08"
"samples","1","0.08"
"Sativa and indica ratios","1","0.08"
"Scholarly articles/reputable cited sources","1","0.08"
"Science","1","0.08"
"Scientific evidence and readable articles on the scientific evidence","1","0.08"
"Scientific information ","1","0.08"
"scientific journals","1","0.08"
"Scientific studies like this one that support positive cannibis research. ","1","0.08"
"searchability, dosing guidelines, and strain or chemical profile recommendations","1","0.08"
"Secret shopper testing lab values on dispensary products.","1","0.08"
"Seed / Clone purchase info","1","0.08"
"Seed sources","1","0.08"
"Seed/clone availability","1","0.08"
"seed/plant  availability","1","0.08"
"Select bud by region so i don't get teased with Cali weed","1","0.08"
"Sheets of what it does and how much it is. And a check list for what you need it for and what would be best for you","1","0.08"
"Side affects,  good and bad, terpenes amts","1","0.08"
"Side effects","1","0.08"
"side effects ","1","0.08"
"Skip","1","0.08"
"smoke shop locator","1","0.08"
"So far, always able to find answers to questions from 1 source or another.","1","0.08"
"Some dispensaries not listed, not updated menus ","1","0.08"
"Some strains are missing ","1","0.08"
"some strains my dispensary have has no info in leafly","1","0.08"
"sometimes I go to Leafly & my strain is not shown, but I'll google it & one of the links will be Leafly!","1","0.08"
"Sometimes lacks details of particular strains for places.","1","0.08"
"Sometimes menu content is missing THC details ","1","0.08"
"specific dosing case histories & nurse/MD recommendations","1","0.08"
"specific health issues","1","0.08"
"specific lab that did the testing and their 3rd party certification","1","0.08"
"specific reviews of clinics' products","1","0.08"
"Specific studies (and outlines of their methods) about Terpenes.","1","0.08"
"Step by step instructions for maximizing medicinal use","1","0.08"
"Strain growth metrics ","1","0.08"
"strain info","1","0.08"
"Strain name on medical products frim dispensary","1","0.08"
"Strain names and tests","1","0.08"
"Strain parents","1","0.08"
"Strain specific ID in all/ any products","1","0.08"
"Strain type by ratio","1","0.08"
"streaming or tv accessable shows content so I am not reaching on internet but seeing content live   via tv etc","1","0.08"
