"q57","What product(s) and/or strain(s) do you want that are not currently available in your local dispensaries?","n =  266"
"terpene  rich strains","1","0.38"
"test","1","0.38"
"thai stick","1","0.38"
"There are no dispensaries I can afford, Your fault, so it's as much as I can afford when it's a deal","1","0.38"
"Tinctures","1","0.38"
"to many to list ","1","0.38"
"Unk","1","0.38"
"Unknoen","1","0.38"
"unkown","1","0.38"
"Unsure at this time","1","0.38"
"Vape cartridge","1","0.38"
"vape cartridges (massachusetts)","1","0.38"
"Vape cartridges were recently outlawed in my state, so having to seek elsewhere.","1","0.38"
"Variety of edibles ","1","0.38"
"Wax","1","0.38"
"Wax, Shatter, Rosen, lower costs ","1","0.38"
"Way stronger edibles, please, for the love of God","1","0.38"
"White Rhino, Girl Scout Cookies, Pineapple Express","1","0.38"
"white widow","1","0.38"
"white widow flower","1","0.38"
"Willie's Reserve, Cheebah Chews","1","0.38"
