"q21","What products/strains do you want that are not currentlyt available in your local dispensaries?","n =  620"
"Bubblegum skunk#1 ","1","0.16"
"Bulk vape oil, maybe in a loaded syringe. I would prefer to fill my own more quality cartridges that don't malfunction.  ","1","0.16"
"California super skunk #2","1","0.16"
"California weed","1","0.16"
"can't think of any","1","0.16"
"Can't think of any ","1","0.16"
"Can’t think of any","1","0.16"
"Cannabis gum","1","0.16"
"cannabis lube","1","0.16"
"Cannatonic, Jack Herer","1","0.16"
"capsules","1","0.16"
"Capsules","1","0.16"
"Capsules and more choices of edibles","1","0.16"
"Cartridge refills","1","0.16"
"CBD","1","0.16"
"Cbd ","1","0.16"
"CBD / THC mixed strains","1","0.16"
"CBD Flower","1","0.16"
"CBD flower varieties","1","0.16"
"CBD Salve, CBD Tinctures, CBD Bath Bombs (all low stock due to regulation)","1","0.16"
"CBD strains","1","0.16"
"Cbd tampons","1","0.16"
"cbd/thc honey","1","0.16"
"cbd/thc strains","1","0.16"
"Charlotte's web","1","0.16"
"Charlotte's Web","1","0.16"
"Charlotte's Web Plants (Or Haleigh’s Hope plants)","1","0.16"
"Chatlottes Web","1","0.16"
"Cheaper strains and cartridges ","1","0.16"
"chewable THC/CBD, Charlotte's Web, many others","1","0.16"
"Chocolates","1","0.16"
"Chocolope, more vegan/gluten free edibles","1","0.16"
"Christmas tree","1","0.16"
"Chuck og","1","0.16"
"CLEAR","1","0.16"
"Clones","1","0.16"
"clones, more beauty products, keif ","1","0.16"
"Clones, seeds","1","0.16"
"Coconut oil","1","0.16"
"Columbian Gold","1","0.16"
"Concentrates","1","0.16"
"Cookies and cream","1","0.16"
"Cooking oil","1","0.16"
"Cosmetics ","1","0.16"
"dab rigs","1","0.16"
"dab rigs / gadgets to go with products I purchase, would just like greater strain variety in the dispensaries ","1","0.16"
"Dabbing wax","1","0.16"
"Destilste","1","0.16"
"Diamonds in sauce ","1","0.16"
"Do not know.  Never been in one.","1","0.16"
"Do not trust dispensaries ","1","0.16"
"Does not apply","1","0.16"
"Don't care","1","0.16"
"Don't have local dispensaries ","1","0.16"
"Don't know of any","1","0.16"
"Don't know.","1","0.16"
"Don't shop at a dispensary ","1","0.16"
"Don’t know","1","0.16"
"Don’t shop at a dispensary ","1","0.16"
"Don’t use a dispensary ","1","0.16"
"Dont care for names","1","0.16"
"dont know","1","0.16"
"Dosi Dos","1","0.16"
"dr. grinspoon","1","0.16"
"drinks ","1","0.16"
"Drinks that aren't 30$ a dose","1","0.16"
"Drinks, diamonds","1","0.16"
"drops","1","0.16"
"dry sift rosin that isn't crazy expensive","1","0.16"
"Durban Poison, Maui Wowi, more old school strains/land races in general","1","0.16"
"Durbhan","1","0.16"
"Edible Options, high dose gummy/lozenges.","1","0.16"
"edibles","1","0.16"
"Energy bars   Chocolate bars.  Brownies.  ","1","0.16"
"everything ","1","0.16"
"Everything because recreational dispensaries aren’t open yet.","1","0.16"
"Everything I use, lol. If I didn't grow, (above numyusy energy use estimate for a week) I would have to spend $500 a week on suppositories topicals and concentrate at a dispensary.","1","0.16"
"Far higher CBD content at a lower price point","1","0.16"
"Fire OG","1","0.16"
"flo o g","1","0.16"
"Floriden ","1","0.16"
"flower and concentrates","1","0.16"
"Food","1","0.16"
"Fresh foods ","1","0.16"
"Fruity pebbles","1","0.16"
"Fruity pebbles, headband, strawberry cough ","1","0.16"
"Full meals","1","0.16"
"GDP","1","0.16"
"GG","1","0.16"
"GG#4","1","0.16"
"GG4","1","0.16"
"girl scout cookie","1","0.16"
"Girl Scout Cookies","1","0.16"
"Gluten Free Edibles","1","0.16"
"Godfather OG","1","0.16"
"Grand Daddy Kush","1","0.16"
"Grand daddy purple ","1","0.16"
"grandaddy purple, ultimate trainwreck, edibles","1","0.16"
"Granddaddy Purple","1","0.16"
"grandpa's breath","1","0.16"
"Grape Ape","1","0.16"
"Grape, strawberry","1","0.16"
"Green Crack","1","0.16"
"Green crack, fruity pebbles, deadhead, blue dreams, khalifa kush, etc. ","1","0.16"
"Green Crack, Skywalker","1","0.16"
"GSC","1","0.16"
"Happy with the selection at bask","1","0.16"
"Hard candies ","1","0.16"
"Harlequin","1","0.16"
"Harlequin ","1","0.16"
"Hash- strawberry cough flower. Vape cartridges ","1","0.16"
"Hash ","1","0.16"
"Hash plant mix","1","0.16"
"Hashish","1","0.16"
"Hashplant","1","0.16"
"Have never purchased from dispensary","1","0.16"
"Haven’t been. Can’t afford that ","1","0.16"
"Haven’t researched outside area","1","0.16"
"Having a choice is still pretty new to me!","1","0.16"
"Haze","1","0.16"
"Headband and Bruce Banner","1","0.16"
"Headband, acdc","1","0.16"
"Heavy indica’s","1","0.16"
"Help with pain and depression","1","0.16"
"Hemp Wick ","1","0.16"
"High-dose (therapeutic levels) CBD products at a much more affordable price point","1","0.16"
"high CBD","1","0.16"
"high cbd ","1","0.16"
"High CBD flower (esp. 2:1 CBD/THC strains)","1","0.16"
"High cbd strains","1","0.16"
"High Dose Edibles (non tincture), vape cartridges that dont suck ","1","0.16"
"high thca hybrids","1","0.16"
"Higher mg doseages for measured products, more indicas available on market","1","0.16"
"higher THC","1","0.16"
"Higher thc ","1","0.16"
"Higher thc content","1","0.16"
"Higher THC edibles","1","0.16"
"hybrid","1","0.16"
"I'm not sure","1","0.16"
"I can get anything through the community but I would like to see more medical research","1","0.16"
"I can get everything I need here in Vancouver.","1","0.16"
"I do not have a local dispensary ","1","0.16"
"i don't know","1","0.16"
"I don't know","1","0.16"
"I don't know.  Just know I like a hybrid with more indica","1","0.16"
"i dont know whats in the dispensary as i dont have a medical card","1","0.16"
"I grow my own ","1","0.16"
"I have been looking for whole plant lower thc tincture/ seems like mostly extracts available and/or high thc","1","0.16"
"I have not been provided an option to even choose","1","0.16"
"I like to try new things, so nothing yet ","1","0.16"
"I want more reliable vape cartridges/ safer and easier to use dab rigs","1","0.16"
"I would like to see more sativa","1","0.16"
"I’m good ","1","0.16"
"Idk","1","0.16"
"Infused beauty products ","1","0.16"
"Infused coconut oil","1","0.16"
"Infused coffee beans, Flavored cartridges, more candies, ","1","0.16"
"Infused soda","1","0.16"
"Inhalers","1","0.16"
"it's all the same, right? i need real numbers, not vaguely violent/sexist/food related names","1","0.16"
"It is really difficult to find good 1:1 THC/CBD strains, so much so that I can't actually name a single one off the top of my head.","1","0.16"
"Jack Herer, cheap RSO and rosin","1","0.16"
"Jack Herrar and family ","1","0.16"
"Jilly Bean","1","0.16"
"Jupiter joints ","1","0.16"
"Just CBD products. Not 1-1 products. ","1","0.16"
"Katsu Bubba Kush","1","0.16"
"Keefe","1","0.16"
"keif, train wreck","1","0.16"
"kief","1","0.16"
"Kief","1","0.16"
"King tut","1","0.16"
"KoolGuyzCandz FireChewz","1","0.16"
"Kush","1","0.16"
"Lambs breath ","1","0.16"
"larger cartridges","1","0.16"
"Larger variety of concentrates","1","0.16"
"Legacy strains. i.e. Kona Gold, Lamb's Breath, and other famous strains of the 60's and 70's.","1","0.16"
"Lemon Skunk","1","0.16"
"Lemon Skunk,  and Hash Oil","1","0.16"
"Like to try new strains ","1","0.16"
"Literally all of them. I live in a state that only legalized CBD. I cannot have anything with THC in it so no ""strains"" are available. There are some that are sold with the THC breed out, but they hardly qualify as a ""strain""","1","0.16"
"Live resin full melt hash (rosin brothers)","1","0.16"
"Live rosin","1","0.16"
"Local dispensaries for recreational use don't exist,  despite voter decision","1","0.16"
"Local selection is fairly limited; I usually just try whatever they have at the time. The top three that I listed above are inaccurate. I haven't tried enough strains to have favorites at this time.","1","0.16"
"Lollipops","1","0.16"
"lotion and tincture","1","0.16"
"Lotion/salve","1","0.16"
"Love Dutchies strain specific preroll packs or delivry service. ","1","0.16"
"magic beans","1","0.16"
"Many! Afghani, cannotonnic, ","1","0.16"
"Mary's Muscle Freeze","1","0.16"
"Massage oils ","1","0.16"
"Maui Wowie, Pineapple Express, Candyland","1","0.16"
"Medicated Sugar, Medicated Cooking Oil, VEGAN EDIBLES","1","0.16"
"Medusa, Master Kush","1","0.16"
"Moonrocks","1","0.16"
"Moonrocks ","1","0.16"
"More 1:1 CBD:THC strains","1","0.16"
"more capsule varieties","1","0.16"
"More cartridges, wider selection of flower.","1","0.16"
"More CBD strains and concentrates ","1","0.16"
"More concentrate variety ","1","0.16"
"MORE CONCENTRATE VARIETY ","1","0.16"
"more edibles","1","0.16"
"More edibles that are low in sugar. ","1","0.16"
"More flower choices  both indica and sativa . I would like to be able to consume in an social style establishment. ","1","0.16"
"More flower strains some times there’s only 3 choices ","1","0.16"
"More Haze","1","0.16"
"More higher potency edibles","1","0.16"
"more indica only strains","1","0.16"
"more indica shatter kinds","1","0.16"
"More infused beverage options","1","0.16"
"More lotions","1","0.16"
"more mini pre-roll varieties","1","0.16"
"More of a variety of topicals","1","0.16"
"more organic ingredients ","1","0.16"
"More purple strains ","1","0.16"
"More Rubi Pod options, more edible options.","1","0.16"
"More sativa","1","0.16"
"More sativa hybrids","1","0.16"
"More sativa options","1","0.16"
"more Sativa varieties ","1","0.16"
"More sativas","1","0.16"
"More sativas and more variety of smokable products like mini-joints. Less distillate and more full spectrum oils. ","1","0.16"
"More sativas would be nice. Cheaper prices would be good too. Overall I'm happy tho","1","0.16"
"more sleep aid","1","0.16"
"More solventless extracts (rosin, hash) ","1","0.16"
"More topical and more edibles","1","0.16"
"More topicals","1","0.16"
"more transdermal patches","1","0.16"
"More variety","1","0.16"
"More variety of edible treats","1","0.16"
"More variety of edibles","1","0.16"
"Mother Theresa, CannaTSRO1","1","0.16"
"much more potent edibles and tools/bowls/glassware to go with all the shatter and flower","1","0.16"
"My dispensary has a very broad variety, I have no complaints","1","0.16"
"N/a - do not buy from dispensaries","1","0.16"
"N/A at this time","1","0.16"
"NEED HIGH THC LEVEL FLOWER","1","0.16"
"Never been to a dispensary","1","0.16"
"never been to a dispensary.  I wish I had them here.","1","0.16"
"New to this, so sorry don't know what's available.","1","0.16"
"no idea - why is this question required?","1","0.16"
"No idea. Use CBD oil","1","0.16"
"No local dispensaries","1","0.16"
"non-mentholated topicals","1","0.16"
"None-Market in NY is extremely restrictive and doesn't allow for such choices.","1","0.16"
"None come to mind?","1","0.16"
"None I know of ","1","0.16"
"None that I know of.","1","0.16"
"None; all are available.","1","0.16"
"Northern lights ","1","0.16"
"Northern lights Sweet tooth","1","0.16"
"Northern Lights!!","1","0.16"
"Not enough variety in edibles both from mg and products in general","1","0.16"
"Not sure yet","1","0.16"
"not sure, mostly satisfied with what is at dispensaries","1","0.16"
"Not sure, willing to try new things ","1","0.16"
"nothing","1","0.16"
"NYC sour d ","1","0.16"
"O","1","0.16"
"Og kush","1","0.16"
"Oil","1","0.16"
"Old school hashish, high end craft hashish","1","0.16"
"Older pure strains, Skunk #1, Northern lights, etc.","1","0.16"
"Only purchase concentrates from dispensary, no specific strain concerns ","1","0.16"
"organic oils","1","0.16"
"Pack of pre rolled joints","1","0.16"
"PANAMA RED , ACUPOLCO GOLD","1","0.16"
"Patches, inhalers","1","0.16"
"pax vera smart vape pens and cartridges, and more glass flower pipes","1","0.16"
"Peanut butter ","1","0.16"
"personal lubricant ","1","0.16"
"Perth","1","0.16"
"Pineapple express","1","0.16"
"Pineapple Express, Gorilla Glue","1","0.16"
"Pink Lemonade","1","0.16"
"Platinum Bubba Kush","1","0.16"
"Platinum huckleberry cookies","1","0.16"
"Pre wrapped blunts","1","0.16"
"Products sourced from other states","1","0.16"
"Purple Gorilla","1","0.16"
"Purple haze","1","0.16"
"Purple haze ","1","0.16"
"Purple Lamborghini ","1","0.16"
"purple urkle","1","0.16"
"R4","1","0.16"
"Real Columbian Gold","1","0.16"
"Real hash like Moroccan hash","1","0.16"
"Real indicas with lots of linalool terpene","1","0.16"
"Reasonably priced products","1","0.16"
"Reasonably priced vape cartridges....80$-100$ is A LOT of money for 1gram... And $60 for .5grams is criminal(Neta)","1","0.16"
"Recreation ","1","0.16"
"Recreational use products ","1","0.16"
"Rick simpson oil, granddaddy puple, and stronger edibles","1","0.16"
"Rick Simpson Oil, live rosin","1","0.16"
"Roadkill skunk ","1","0.16"
"Rolling papers with thc","1","0.16"
"Rosin carts high dose edibles 9lb hammer good hash","1","0.16"
"Rubi","1","0.16"
"Salves, Lotions, Topicals, infused cooking oils, Cannigars, MoonRocks, SunRocks, Jupiter Joints, Distillate Syringe refills, Sample Packs, ","1","0.16"
"Sativa","1","0.16"
"Sativa-dominant Hybrids such as Jack Frost","1","0.16"
"Sativa edibles","1","0.16"
"Sativas","1","0.16"
"Sativas in vape cartridge","1","0.16"
"Sauce","1","0.16"
"Savory Edibles","1","0.16"
"Seeds","1","0.16"
"Seeds for growers!","1","0.16"
"Seeds, growing kits, much lower pricing overall","1","0.16"
"Sensamillia","1","0.16"
"Serious Happiness","1","0.16"
"Shatter","1","0.16"
"Shatter, wax","1","0.16"
"Sic aria ","1","0.16"
"sipostetory","1","0.16"
"Sirius Black","1","0.16"
"Sirius Black flower","1","0.16"
"Sjskak","1","0.16"
"Skittles ","1","0.16"
"Skywalker/Skywalker OG, Mango Kush","1","0.16"
"Smaller dose edibles with 1:1 CBD:THC ratios","1","0.16"
"Snoop Dogg OG, blueberry kush","1","0.16"
"something to help pack loose ground flower into my flower vape or pipe","1","0.16"
"Sour ","1","0.16"
"Sour candy","1","0.16"
"sour diesel ","1","0.16"
"Sour Diesel ","1","0.16"
"Sour Diesel & Blue Dream are both fantastic and classic strains that i'd love to see at Bask!","1","0.16"
"Sour diesel pre rolls","1","0.16"
"Sour Diesel, Train Wreck, Skywalker Kush","1","0.16"
"SOUR DIESEL/lambs bread","1","0.16"
"Space vape","1","0.16"
"Sprays","1","0.16"
"Star pupil, pineapple express","1","0.16"
"Starw cough sour diesel cherry berry lemon lime ak 47","1","0.16"
"Steven Hawkins ","1","0.16"
"Stizzy, more reasonable prices on wax, oil, shatter ","1","0.16"
"Strawberry Cough","1","0.16"
"Strawberry Snow Cone","1","0.16"
"strong cbd pills","1","0.16"
"stronger edibles","1","0.16"
"Stronger strains","1","0.16"
"Sugar free edibles","1","0.16"
"Sun rocks","1","0.16"
"Super heavy indica strain ","1","0.16"
"Supplies","1","0.16"
"suppositories","1","0.16"
"Suppositories","1","0.16"
"Suppository","1","0.16"
"Sweet Tooth","1","0.16"
"Sweet Tooth ","1","0.16"
"Sweeth Tooth, GSC - only available randomly, not consistently","1","0.16"
"tampons/condoms","1","0.16"
"Terp Sauce / Concentrates","1","0.16"
"That 70s Strain","1","0.16"
"THC Dip","1","0.16"
"THC flower","1","0.16"
"THCa/CBDa (raw cannabinoids); High CBD options/CBD:THC ratios","1","0.16"
"THCV strains","1","0.16"
"there are no local recreational use dispensaries in Boston","1","0.16"
"There use to be a high dose mini grasshopper pie at one of the dispensaries that I wish would come back.  I am not so much a fan of the gummies as I am the hard candies.  ","1","0.16"
"Those are the only strains I have access to.  Would like many more. ","1","0.16"
"Tincture based in coconut oil","1","0.16"
"Tinctures","1","0.16"
"Too many to list","1","0.16"
"Too many to mention","1","0.16"
"topicals","1","0.16"
"Topicals","1","0.16"
"Transdermal creams, Blue Dream, more high CBD strains","1","0.16"
"Transdermal patch, Star Kush, OG Kush","1","0.16"
"Transdermal patches","1","0.16"
"Treatwell tinctures","1","0.16"
"Triangle mints","1","0.16"
"Trokie","1","0.16"
"TRUE WEST COAST GENITICS","1","0.16"
"type (indica/sativa) specific edibles","1","0.16"
"Vaginal Suppositories","1","0.16"
"vaginal suppositories, high-dose edibles (200+ mg), empty cartridges and other thc-specific vaporizer supplies","1","0.16"
"Vape cartridges","1","0.16"
"Vape pens","1","0.16"
"Varied topicals","1","0.16"
"Variety of hybrid flowers and pre rolls","1","0.16"
"Vegan edibles and topicals ","1","0.16"
"Wax/rosin","1","0.16"
"We have no local dispensaries at this time","1","0.16"
"Wedding Cake","1","0.16"
"Where do I begin? More variety of prerolls packages vs singles. ","1","0.16"
"white widow","1","0.16"
"White Widow","1","0.16"
"White Widow Green Crack  Moon Rocks  White Berry Blue Dream","1","0.16"
"Wider selection of edibles, more balanced thc/cbd edibles/strain specific inctures and edibles","1","0.16"
"Wizard Tears","1","0.16"
"Yoda","1","0.16"
