"q57","What product(s) and/or strain(s) do you want that are not currently available in your local dispensaries?","n =  419"
"I am not going regularly anymore","1","0.24"
"i d k","1","0.24"
"I don't know enough to answer this.","1","0.24"
"I don't know yet","1","0.24"
"I don’t go out in public much don’t know","1","0.24"
"I enjoy the selection of the dispensaries within my area. ","1","0.24"
"I have access to the types I want","1","0.24"
"idk","1","0.24"
"indica","1","0.24"
"Isn’t legal for medical use in my state ","1","0.24"
"It to be legal - period","1","0.24"
"J1","1","0.24"
"Jack herer","1","0.24"
"Jack Herrer, Skywalker, purple train wreck","1","0.24"
"Just keep them coming","1","0.24"
"Kief","1","0.24"
"King Louis, more indica, more CBN, CBG, and terpene profiles","1","0.24"
"Kosher Kush","1","0.24"
"Krypto","1","0.24"
"Lambs breath, landrace strains","1","0.24"
"Lemon Jefferey","1","0.24"
"Lemon Skunk","1","0.24"
"like to have a 1:1 Thc:Cbd which is often not available","1","0.24"
"Local closer to my home. Medical dispensary","1","0.24"
"Look","1","0.24"
"Lotions","1","0.24"
"lower cost","1","0.24"
"Lower powered/cheaper flower so I can consume it more regularly","1","0.24"
"Lucky Charms","1","0.24"
"Many of them, so I grow my own","1","0.24"
"Maui waui","1","0.24"
"Maui woweie","1","0.24"
"MJs Wellness","1","0.24"
"More 1:1 or 2:1 thc:cbd ratio","1","0.24"
"more balanced CBD/THC products","1","0.24"
"More choices","1","0.24"
"More concentrate selection","1","0.24"
"More edible variety","1","0.24"
"more INDICA with lower THC,i need sleep","1","0.24"
"more indicas","1","0.24"
"More pain relieving yet clear headed strains","1","0.24"
"More vape choices","1","0.24"
"Most ","1","0.24"
"Mr. Nice guy","1","0.24"
"N/A I live in an illegal state. ","1","0.24"
"Never been to a dispensary","1","0.24"
"New at this","1","0.24"
"Nine","1","0.24"
"no","1","0.24"
"No concerns","1","0.24"
"No dispensary ","1","0.24"
"No idea","1","0.24"
"No Over-Taxation on MEDICINE....grrrr...","1","0.24"
"None available in my state","1","0.24"
"not sure","1","0.24"
"Not sure ","1","0.24"
"Not that familiar with other strains ","1","0.24"
"Nothing comes to mind","1","0.24"
"Nothing is availible","1","0.24"
"nothing specific","1","0.24"
"Oil Extract Concetrates","1","0.24"
"old school schwag","1","0.24"
"Pennywise","1","0.24"
"Pineapple Express","1","0.24"
"Pinnaple express","1","0.24"
"Prerolled","1","0.24"
"purple Dutchberry by artizen","1","0.24"
"Purple Haze","1","0.24"
"Quality over name","1","0.24"
"Reasonably priced medicine","1","0.24"
"reasonably priced products","1","0.24"
"Release cartridge by Fairwinds (designed for PTSD/anxiety)","1","0.24"
"RSO","1","0.24"
"Runts","1","0.24"
"safe and reasonable price","1","0.24"
"Sayivas","1","0.24"
"Seeds and  clones ","1","0.24"
"Several ","1","0.24"
"Sfv Kush, Mendo Breathe and Durban Poison for daytime","1","0.24"
"Sinmint Cookies","1","0.24"
"Skunk and blue jayway","1","0.24"
"Skywalker","1","0.24"
"Skywalker ","1","0.24"
"Sour diesel flower","1","0.24"
"Sour diesel, white widow, amnesia haze","1","0.24"
"stativa","1","0.24"
"Still learning on a App, called weed maps ","1","0.24"
"Strain specific vape carts","1","0.24"
"Strains are very limited where I live","1","0.24"
"strains, including high CBD, more available strains","1","0.24"
"Sugar free edibles","1","0.24"
"Tahoe OG Kush   Suppositories   Patches","1","0.24"
"terpene  rich strains","1","0.24"
"The dispensary has wonderful products but they are sometimes limited or out of stock.","1","0.24"
"The White","1","0.24"
"There are no dispensaries I can afford, Your fault, so it's as much as I can afford when it's a deal","1","0.24"
"unk","1","0.24"
"Unk","1","0.24"
"Unknoen","1","0.24"
"Unknown ","1","0.24"
"unkown","1","0.24"
"Unsure at this time","1","0.24"
"vape cartridges (massachusetts)","1","0.24"
"Vape cartridges were recently outlawed in my state, so having to seek elsewhere.","1","0.24"
"Vape cartriges","1","0.24"
"Vape Carts","1","0.24"
"varies","1","0.24"
"Variety of edibles ","1","0.24"
"Vietnamese Gold","1","0.24"
"Wax","1","0.24"
"Wax or cartridges","1","0.24"
"Wax, Shatter, Rosen, lower costs ","1","0.24"
"Way stronger edibles, please, for the love of God","1","0.24"
"We want Homegrows and PESTICIDE FREE PRODUCT, almost nothing in the stores is truly pesticide free","1","0.24"
"West coast strains","1","0.24"
"where good","1","0.24"
"White Rhino, Girl Scout Cookies, Pineapple Express","1","0.24"
"white widow","1","0.24"
"White Widow or Hybred of WW","1","0.24"
"Willie's Reserve, Cheebah Chews","1","0.24"
