"q41","What features are missing from your sources of information that you would like to see included?","n =  258"
"More personal reviews ","1","0.39"
"More personal reviews and a legit dr help section with more factual medicinal based articles","1","0.39"
"More pictures ","1","0.39"
"More scientific breakdown on terpene content etc, more info to Guage effects of specific strains","1","0.39"
"More specials listed menu  updates more frequently ","1","0.39"
"more studies and scientific findings and information on medical use of marijuana ","1","0.39"
"More substantial evidenced-based research","1","0.39"
"More up-to-date research on the enndocannabanoid system; more diesease/theraputic specific information (e.g., x, y, z strains are good at treating depression becuase of this specifc categoristic)","1","0.39"
"n.a","1","0.39"
"N.a","1","0.39"
"n\a","1","0.39"
"No idea","1","0.39"
"No one","1","0.39"
"None - again, this question shouldn't be required. I don't have a bud tender or whatever either. I really don't dig into it that much. ","1","0.39"
"None I can think of","1","0.39"
"not all strains present","1","0.39"
"not sure. ","1","0.39"
"Not sure. ","1","0.39"
"nothing I can think of","1","0.39"
"Nothing. I find it somehow! ","1","0.39"
"Often times then not, thc % and strain background info is not always available","1","0.39"
"Other cannabinoids! CBG, THC-V","1","0.39"
"people pieces","1","0.39"
"Personal experience","1","0.39"
"Pet-safe products?","1","0.39"
"photos of plants","1","0.39"
"Pictures of fully mature plants, with the look of the bud","1","0.39"
"Political commentary and activism","1","0.39"
"Price","1","0.39"
"Price comparison feature","1","0.39"
"Price range","1","0.39"
"Prices for different areas ","1","0.39"
"Product quality ","1","0.39"
"product reviews","1","0.39"
"Quality control information","1","0.39"
"Research findings","1","0.39"
"Research in the US but there is minimal to find so makes sense it is not there","1","0.39"
"Research needing funding","1","0.39"
"Scientific information ","1","0.39"
"Scientific studies like this one that support positive cannibis research. ","1","0.39"
"Seed / Clone purchase info","1","0.39"
"side effects ","1","0.39"
"smoke shop locator","1","0.39"
"Some strains are missing ","1","0.39"
"Sometimes lacks details of particular strains for places.","1","0.39"
"Sometimes menu content is missing THC details ","1","0.39"
"Surveys","1","0.39"
"terpene profiles","1","0.39"
"terpene profiles on leafly.  patient rates by condition ","1","0.39"
"Terpene testing","1","0.39"
"Test data on locally available products","1","0.39"
"Testament","1","0.39"
"Testing for pgr","1","0.39"
"Thc content ","1","0.39"
"thc level","1","0.39"
"THC/CBD ranges ","1","0.39"
"Trusted reviews","1","0.39"
"What to avoid","1","0.39"
"Where to buy isn’t always updated or available","1","0.39"
"Where to find the strain most liked","1","0.39"
"Who has what in stock","1","0.39"
"Will company sell seeds of strains they sell?","1","0.39"
"Workplace ","1","0.39"
