Q#29,"What percentage of disability are you rated, as indicated by the Veteran's Affairs (VA)?",,,
11166390085,3,,,
10596255014,3,,,
10575479401,3,,,
10800317244,2,,,
11222559871,1,,,
10864981709,1,,,
10848029491,1,,,
10847151018,1,,,
11137652132,1,,,
10661330404,1,,,
10658774056,1,,,
10865633390,1,,,
10843875549,1,,,
10589179962,1,,,
11249491628,0,,,
11137625236,0,,,
11136795358,0,,,
11134698105,0,,,
11134452367,0,,,
11134445906,0,,,
11065588769,0,,,
11064470565,0,,,
11061878386,0,,,
11023090140,0,,,
11006369538,0,,,
10923325388,0,,,
10889700541,0,,,
10885759801,0,,,
10883497633,0,,,
10882385979,0,,,
10880715177,0,,,
10879062209,0,,,
10876485783,0,,,
10876336346,0,,,
10875700450,0,,,
10875530570,0,,,
10875467061,0,,,
10875460020,0,,,
10864900624,0,,,
10859616580,0,,,
10847006667,0,,,
10844291789,0,,,
10843856498,0,,,
10843808762,0,,,
10843259075,0,,,
10834053271,0,,,
10833785776,0,,,
10831792008,0,,,
10831609109,0,,,
10831397885,0,,,
10802360410,0,,,
10749222846,0,,,
10709051382,0,,,
11151215837,0,,,
10569513731,0,,,
10851333216,0,,,
10668135000,0,,,
11250528880,0,,,
10893948558,0,,,
10843875549,0,,,
10832963325,0,,,
10868495105,0,,,
11231679765,0,,,
11054943670,0,,,
10922773382,0,,,
10864944007,0,,,
10844578211,0,,,
10668597062,0,,,
10575849400,0,,,
11135317065,0,,,
10863841131,0,,,
10832732691,0,,,
10569070427,0,,,
10876100377,0,,,
10831623393,0,,,
10763284450,0,,,
10762649964,0,,,
10622502829,0,,,
10580166038,0,,,
10831898832,0,,,
10844298162,0,,,
11135380294,0,,,
10856003172,0,,,
10844338129,0,,,
10894995749,0,,,
10893268968,0,,,
10847049077,0,,,
10832206360,0,,,
10831929904,0,,,
10667369837,0,,,
10658580372,0,,,
11166997346,0,,,
10832191551,0,,,
11164232720,0,,,
11148900374,0,,,
11136798812,0,,,
11134531419,0,,,
10848742483,0,,,
10847009623,0,,,
10598715725,0,,,
11239200945,0,,,
10836154511,0,,,
10667647030,0,,,
11135889511,0,,,
10832343863,0,,,
10675303210,0,,,
10579927077,0,,,
10575091533,0,,,
11249989922,0,,,
11238077963,0,,,
11220644956,0,,,
11164232720,0,,,
11131514317,0,,,
11111974827,0,,,
11076823569,0,,,
11064342543,0,,,
11057923056,0,,,
11014798443,0,,,
10875473988,0,,,
10864981709,0,,,
10860154215,0,,,
10844578211,0,,,
10843799997,0,,,
10841050682,0,,,
10835578531,0,,,
10833722328,0,,,
10832451640,0,,,
10832168862,0,,,
10832123166,0,,,
10831898832,0,,,
10831893906,0,,,
10822621750,0,,,
10675303210,0,,,
10675097210,0,,,
10668135000,0,,,
10596131278,0,,,
10584760225,0,,,
10582003543,0,,,
10575091533,0,,,
10974652472,0,,,
