"q52","What questions regarding cannabis did we not ask that are important to you?","n =  802"
"Education programs on growing and juicing. ","1","0.12"
"educational resources to continue education & support groups","1","0.12"
"effect on mood","1","0.12"
"effect on prices and illegal pot vs pharma","1","0.12"
"Effects and recommended use by ailment","1","0.12"
"Effects of job scrutiny for disabled persons that ""use"" cannabis throughout the day to numb the daily pain levels enough to function at a more ""normal "" acceptable level. ","1","0.12"
"Federal legalization, and the education of the masses.","1","0.12"
"Federal vs State law issues, including banking","1","0.12"
"Getting into the biz","1","0.12"
"Getting more information about getting a medical card ","1","0.12"
"Good job. Thanks ","1","0.12"
"Has cannabis usage lowered my physical pain?","1","0.12"
"Have anyone in the history of cannabis use ever overdose. ","1","0.12"
"Have i or anyone i know been disproportionately affected by cannabis related crimes prior to the recreational release","1","0.12"
"Have you been impacted by criminalization, & how that effects current ability to use. ","1","0.12"
"Have you mentioned cannabis to your doctor and if so what was the response.  OR  What are you thoughts on talking to your healthcare provider about using medical cannabis as a treatment option?","1","0.12"
"Help us to be aware of legislation that needs our attention for cannabis legalization.","1","0.12"
"Home test cheap enough to use","1","0.12"
"How are people with MS, Parkinson’s, etc being taught how to use","1","0.12"
"How are you concerned about negative health risks associated with cannabis?","1","0.12"
"How can it be made available to people of less means? I work inner city, and come across many poor people who would benefit but cannot due to cost.","1","0.12"
"How can we end the war on the poor and the war on drugs? How can we help those who have been abused by the justice system because of a plant?","1","0.12"
"How can we get the cost defrayed the government saves $4000 a month on my meds alone and I’m destitute ","1","0.12"
"How can we move from stigma to real science and mainstream medicine?","1","0.12"
"How can we promote more scientific research into the use and effects of cannabis?","1","0.12"
"How comfortable are you with the quality of the bud you are receiving?","1","0.12"
"How do I get my cannabis product:  If I do not get my cannabis in the dispensary, how and where do I get it.   How many online dispensaries do I get my cannabis from.  do I have it shipped from out of state.","1","0.12"
"How do the people you live with feel about your cannabis use?","1","0.12"
"How do we think the state is doing implementing leagl canabis","1","0.12"
"How do you feel about the black/grey market? Not good, the community rips itself apart from the inside due to greed, I don't know if it would be different if it was completely legal but this infighting would happen within companies not in the community for everyone to feel uncomfortable.","1","0.12"
"How Does cannabis effect your spiritually?  ","1","0.12"
"How does cannabis make you feel?","1","0.12"
"How does cannabis use increase an active lifestyle?","1","0.12"
"How does indica and sativa affect you differently? Do you know the difference in strains and why they are different? ","1","0.12"
"How does using cannabis make you feel and how does it help in your daily life?","1","0.12"
"How easy is it to get a Green Card for use of marijuana?","1","0.12"
"How far do you have to travel to obtain Cannabis from a dispensary?","1","0.12"
"How it effects daily life?  How it effects users socially, or in interpersonal relationships.   ","1","0.12"
"How long Cannabis are really still fresh?","1","0.12"
"How long have been using","1","0.12"
"How long have I been using marijuana? ","1","0.12"
"how long have I smoked cannabis","1","0.12"
"how long have i used?","1","0.12"
"How long it takes to get to a dispensary. Do you have a dispensary in your neighborhhood. ","1","0.12"
"How much do you love cannabis","1","0.12"
"How much more cannabis would you use if you could afford it?","1","0.12"
"How much should cannabis cost.","1","0.12"
"How often and how much","1","0.12"
"how often do you consume cannabis with recreational users?","1","0.12"
"How old when you first started using cannabis?","1","0.12"
"How pricing is determined. It's way to expensive.","1","0.12"
"how to dose","1","0.12"
"How to grow in home and where to get seeds and starter plants","1","0.12"
"how to improve the dosage to improve the health benefits","1","0.12"
"How to keep away from children","1","0.12"
"How to maintain supply of favorite strains.","1","0.12"
"How to make delivery more convenient.dispenseries have different strains, maybe to far to travel to","1","0.12"
"how to obtain grow license","1","0.12"
"How to talk to your kids so you aren't worried about what they say to others.","1","0.12"
"How we felt about the need for credible research to be done, so that we would have a better idea of proper dosages and administration.   (I feel this is incredibly important!)","1","0.12"
"How well canvas works for you","1","0.12"
"How will adult use legalization affect the medical market?","1","0.12"
"How will you flush out those who are taking advantage of the market with crap product","1","0.12"
"I'd like to know about what age people think it is best to start use on a regular basis","1","0.12"
"I'm good ","1","0.12"
"I'm happy with the questions","1","0.12"
"I'm not sure","1","0.12"
"I'm pretty satisfied with the questions asked so far","1","0.12"
"I am very interested in how dispensaries will handle medical and recreational. For example I have heard of separate lines and guaranteed inventory for medical card holders. So I am interested in how recreational legalization will affect my experience as a medical card holder.","1","0.12"
"I can't think of any at the moment.","1","0.12"
"I can't think of any at this time","1","0.12"
"I can't think of any. ","1","0.12"
"I can't think of one","1","0.12"
"I can’t tolerate THC, I have hallucinations, anxiety, it’s horrible. In the 70’s I tried smoking pot and I came to conclusion that it wasn’t for me.","1","0.12"
"I cant think of any","1","0.12"
"I don't know. It should not be a crime anywhere to use the only medicine that is known to help your condition, like Alzheimer's. It's terribly scary to not know where you are.","1","0.12"
"I don't know?","1","0.12"
"I don’t ask questions unless it’s about the price because you people are ridiculous with the price you charge ","1","0.12"
"I don’t have any questions .","1","0.12"
"I don’t have more?","1","0.12"
"I don’t know","1","0.12"
"I have none","1","0.12"
"I have none at this time","1","0.12"
"I have none!","1","0.12"
"I honestly have no idea.","1","0.12"
"I think the medical card should last more than a year. I have gotten off Fentanyl with the use of CBD and THC. I do have belly pain though from the Whipple Surgery","1","0.12"
"I think you've covered most things. ","1","0.12"
"I think you've got it","1","0.12"
"I think you covered it","1","0.12"
"I think you covered it all","1","0.12"
"I think you covered them all.","1","0.12"
"I want to see doctors working with dispensaries and this survey gives me great hope ","1","0.12"
"I would like more info on dosing to achieve maximum results for different conditions. ","1","0.12"
"I would like to get more specific about the prices, availability, and certain dispensories.","1","0.12"
"I would like to know how we can lower the price enough to allow me to not have to ration it. I might be able to lower my opiods if I could actually afford to buy the amount I really need.","1","0.12"
"I would love to know a thorough, non-biased view of how risky smoking flower is for things such as lung cancer. I also would love to know more about vape cartridge risk, particularly if it's okay to use within plastic cartridges, how to know if the distillate is breaking down, negative potential effects, etc. ","1","0.12"
"I would love to know how to refine dosing and strains for my particular issues. ","1","0.12"
"I’m not sure","1","0.12"
"I’m not sure. ","1","0.12"
"idk","1","0.12"
"Idk","1","0.12"
"If cannabis is a medical thing, why isn't it covered by insurance?","1","0.12"
"If I can afford to pay for the only thing that helps my pain and if I can or can't afford it","1","0.12"
"If I know what specific strains treat for medical needs ","1","0.12"
"If legal - is there an age limit?  What about teens in other states?  ","1","0.12"
"If whether or not I believe insurance companies should be responsible for assiting with paying for cannabis. They already pay for deadly drugs, drugs which have a proven track record of abuse.","1","0.12"
"If you've felt the need to stop using marijuana and couldn't","1","0.12"
"im good","1","0.12"
"Inquiring about knowledge about proper approach to edibles in terms of dosage and maximizing bioavailability for people who might have issues getting consistent effects from oral ingestion of THC and CBD.","1","0.12"
"Insurance coverage of cannabis  Medical benefits from cannabis","1","0.12"
"Interstate use amongst medical patients. State reciprocation","1","0.12"
"Is it a gateway drug or alcohol?","1","0.12"
"Is it a legal State","1","0.12"
"Is it natural","1","0.12"
"is medical cannabis tax deductible?  Dosing and entourage effect?","1","0.12"
"Is there a limit of time to use Medical Cannabis. ","1","0.12"
"Is there any way to add to the list of MA qualifying conditions? Dysmenorrhea/PMS/PMDD are not on the list, but cannabis absolutely is a great treatment! The list needs to be updated. ","1","0.12"
"Is there such thing as smoking to much  ","1","0.12"
"Is your favorite strain always in stock?","1","0.12"
"Issues concerning home growing including buying seeds, landlord restrictions, regulations, etc","1","0.12"
"it's important to be able discuss use with MD and get advice, most are either judgmental or don't know about interactions or how to avoid them with other meds","1","0.12"
"It's not which questions, it's just that some of you multiple choice didn't have a correct choice among the selections for my situation. I am a disabled semi-shut in with little use experience. ","1","0.12"
"It should be cheaper","1","0.12"
"It would be nice that more dispensaries ask if you need to sit with an advisor or someone that can spend a lot of time with you to answer questions you may have and cater your consumption to your medical problems","1","0.12"
"Lab testing for pesticides. Why did the majority of dispensaries in California they all their pesticide testing? How many dispensaries in Massachusetts would feel their pesticide testing? We are told there are no pesticides on the cannabis. Yet, my allergies flare up severely after medicating sometimes.","1","0.12"
"Law","1","0.12"
"Laws and legality","1","0.12"
"Level of experience. When they began. How their tolerance has changed over time.","1","0.12"
"long term effects on using cannabis on a regular basis","1","0.12"
"Many questions did not apply to me and I could not state that as there was no option for 1 who consumes illegally. ","1","0.12"
"Maybe if we know someone who needs it but wont because of socieatal pressure or stigma/ uninformed shame","1","0.12"
"Medical conditions that are impacted by cannabis use (bipolar disorder, other mental health conditions).","1","0.12"
"medical use by minors","1","0.12"
"More about terpenes and their benefits","1","0.12"
"More self medication, outside controlled use.","1","0.12"
"Most frequently used brands.","1","0.12"
"My doctor had already answered all the key questions. He's very good. We need more doctors in pain management.","1","0.12"
"My tolerance level. ","1","0.12"
"N.a","1","0.12"
"n/a ","1","0.12"
"N/A  ","1","0.12"
"N\A","1","0.12"
"Na ","1","0.12"
"Nada ","1","0.12"
"NC","1","0.12"
"Need to fix medical program issues and reboot this license process ","1","0.12"
"negative long term effects","1","0.12"
"New methods for producing better concentrated ","1","0.12"
"No ","1","0.12"
"No  ","1","0.12"
"No clue","1","0.12"
"No e","1","0.12"
"No idea","1","0.12"
"No question ","1","0.12"
"No questions geared towards Caregivers","1","0.12"
"noen","1","0.12"
"Nome","1","0.12"
"Non that I can think of","1","0.12"
"Non, great job!","1","0.12"
"none ","1","0.12"
"None at the moment!","1","0.12"
"None come to mind","1","0.12"
"none I can think of at this time","1","0.12"
"None I love to learn as much as I can","1","0.12"
"None identified","1","0.12"
"none so far ","1","0.12"
"None thanks ","1","0.12"
"none that I can think of","1","0.12"
"None that I can think of","1","0.12"
"None that I can think of ","1","0.12"
"none that I can think of at this time","1","0.12"
"None that I can think of right now.","1","0.12"
"None that I know of.","1","0.12"
"None!","1","0.12"
"None, but you really need to make some questions NOT required. I'm sure there are some people like me who get their products from friends of friends, and really are not knowlegeable at all. ","1","0.12"
"None, this was a pretty comprehensive survey","1","0.12"
"None. My biggest concern is young kids access to cannabis","1","0.12"
"nono","1","0.12"
"nonw","1","0.12"
"not any i can think of right now ","1","0.12"
"Not applicable","1","0.12"
"Not applicable ","1","0.12"
"Not at this time","1","0.12"
"Not one","1","0.12"
"Not really  ","1","0.12"
"not sure ","1","0.12"
"Not sure if anything is missing","1","0.12"
"Not sure if this applies to your research, but I would ask people their thoughts on what cannabis being illegal does to individuals and communities (especially the sick or disabled who may need it for medical reasons, and racial and class minorities that are disproportionately arrested and convicted) and how legalization would/does affect this. ","1","0.12"
"Not sure.","1","0.12"
"Nothing comes to mind. ","1","0.12"
"nothing i can think of","1","0.12"
"Nothing I can think of, thanks","1","0.12"
"Nothing I can think of.","1","0.12"
"O","1","0.12"
"Percentage of ppl who buy it","1","0.12"
"perhaps what other clever marketing ideas could we come up with to expose the safety and health benefits of this plant. My passion is veterans/PTSD, and Autism.  The public wants to jump on the Hemp CBD oil bandwagon they completely miss the fact we need to focus on legalizing THC medically and permanently. ","1","0.12"
"Pesticides and such. Not just organic. I came from California. There is so much info about your product. Here, a warning that it may be unsafe!","1","0.12"
"Possibly, what positive and negative affects indica sativa and hybrids have on the persons taking the survey","1","0.12"
"Potential harmful ingredients in vape cartridges","1","0.12"
"Pretty much covered everything. I am happy to see that there is research being done on the use & benefits of cannabis :) ","1","0.12"
"Pushing the discussion to have insurance coverage. Or open the two approved FDA cannabis treatments for more diagnoses. ","1","0.12"
"Quality ","1","0.12"
"Questions regarding how cannabis appears to resolve medical issues","1","0.12"
"Questions regarding knowledge of cannabinoids other than THC and CBD, perhaps. ","1","0.12"
"Questions regarding testing requirements. ","1","0.12"
"Questions reguarding future usage ","1","0.12"
"Questions were fine","1","0.12"
"Racial barriers to accessing care.","1","0.12"
"Regarding cannabis use as neither ""social"" or ""medicinal"" but rather ""nutritional"" (as God intended).  Plus many of your answer sets are not appropriate for micro-dosers.","1","0.12"
"Regarding the importance of factors when selecting cannabis products: environmental impact/sustainability of source. ","1","0.12"
"Reporting of terpene profiles.","1","0.12"
"Risk involved","1","0.12"
"Safety, storing it and children at home etc. ","1","0.12"
"Should dispensaries have to list every ingredient in every product they sell?  The answer is yes.","1","0.12"
"Should the Federal Government reclassify marijuana? Yes ","1","0.12"
"Some of my daily usage is taking edible CBD.  Perhaps some differentiating between CBD and THC use.","1","0.12"
"Stavia  vs Indica and how each effect you. ","1","0.12"
"Stigma","1","0.12"
"Still waiting for shops to open ","1","0.12"
"Storage...and cooking help","1","0.12"
"Strain frequencies ","1","0.12"
"Terpene profile questions and more about the legitimacy of testing","1","0.12"
"Terpine content","1","0.12"
"Testing, to assure clean, safe product.  Knowledge of exactly what is in strain, terpine profile.","1","0.12"
"the bases were pretty much covered","1","0.12"
"The benefits of vape vs. Smoking cannabis","1","0.12"
"The cost of treating yourself with it is a huge issue","1","0.12"
"the difference between fear of stigma from loved ones and fear of stigma from society at large","1","0.12"
"The effects of cannabis on the brain ","1","0.12"
"The importance of decarboxilation of weed prior to making oil/butter.","1","0.12"
"The importance of terpenes ","1","0.12"
"The level of thc/CBD ","1","0.12"
"There isn't any","1","0.12"
"There should have been a response in the ""work"" section that would indicate ""retirement""; I couldn't answer those questions accurately due to being retired.","1","0.12"
"These are good. ","1","0.12"
"These questions are made for those in states where cannabis is legal.  There should have been answer-choices for those of us to who do not have dispensaries or bud tenders","1","0.12"
"THINK YOU COVERED EVERYTHING","1","0.12"
"This survey asked nothing about community or belonging to a group of like minded individuals.  Would be cool to get a pulse on what folks think about forming/joining a local Cannabis Community. :)","1","0.12"
"This survey didn't ask as many questions about access to cannabis education in the areas of personal cultivation as I would have liked. I'm interested in the growing culture around home grows and how things like heirloom strains and breeding and small-batch strains and the communities around home grows are doing.","1","0.12"
"Those currently incarcerated for marijuana. ","1","0.12"
"To new","1","0.12"
"Too see if all cannabis should be tested for quality control","1","0.12"
"unknown","1","0.12"
"Unknown ","1","0.12"
"unsure","1","0.12"
"Use before medical marijuana became legal in my state.","1","0.12"
"Using cannabis for working out","1","0.12"
"Very clear questions ","1","0.12"
"Ways to smoke flower ","1","0.12"
"We haven't gone through all the questions yet","1","0.12"
"We need better discounts for the medically disabled","1","0.12"
"Well covered","1","0.12"
"What's your tolerance? How did you start? ","1","0.12"
"What are the 3-5 most helpful questions to ask a cannabis sales person when first getting started using cannabis?","1","0.12"
"What do people do when they travel or live in other countries with respect to Cannabis.","1","0.12"
"what effects does it have on cancer","1","0.12"
"what I'm trying to achieve ","1","0.12"
"What is being done to educate medical students?","1","0.12"
"what is healthiest ingestion technique","1","0.12"
"What is your favorite and least favorite part of cannabis?","1","0.12"
"What method is best to start using if you’ve never used cannabis ","1","0.12"
"What new types of medical cannabis products would people like to see? ","1","0.12"
"What options are available for those living in non legal states","1","0.12"
"What prescription medications have you been able to eliminate because of your cannabis use?","1","0.12"
"What price deals","1","0.12"
"What state I'm in.  Not legal here.","1","0.12"
"What strains for specific ailments? ","1","0.12"
"What THC/CBD ratio do you feel is more suited to treating your disease?  ","1","0.12"
"When did I first use marijuana ","1","0.12"
"When did I start smoking cannabis? also, when did I start recreationally vs medically?? ","1","0.12"
"When is the medical industry going to accept this so we can have insurance cover it and not pay retail the rest of our life?","1","0.12"
"When were you introduced?","1","0.12"
"when will it be rec legal in NY","1","0.12"
"When will Medicare and medicaid cover the cost?","1","0.12"
"When will prices go down?","1","0.12"
"When will recreational use of marijuana, happen. Talk about dragging feet","1","0.12"
"When will the prices drop for hardship","1","0.12"
"WHENS PRICE COMING DOWN ONLY PROBLEM I HAVE!!!","1","0.12"
"Where can I reliably get feminized seeds?  Will they be carried at a dispensary?","1","0.12"
"Where is best place to buy!","1","0.12"
"Where the money should go in the states that make taxes off recreational marijuana?","1","0.12"
"Whether I feel that it has harmed me in any way (it definitely hasn't!)","1","0.12"
"Why are pain patients told they must choose between MMJ and opioids? There doesn’t seem to be tons of research indicating they can’t be used together, and in fact MMJ has been the only treatment modality that has allowed me to significantly reduce the amount of opioids I take.","1","0.12"
"WHY CANNABIS WORKERS GET PAID SO LITTLE WHEN THEIR WORK IS SO CRUCIAL. THESE PEOPLE WHO WORK HR IN THESE COMPANIES ARE MAKING BANK WHILE PEOPLE ON BOTTOM ARE DOING ALL THE WORK FOR THEM. ALSO Y'ALL NEED TO GIVE MONEY BACK TO BLACK COMMUNITIES IN MASSACHUSETTS. THIS INDUSTRY NEEDS TO STEP UP IN THOSE REGARDS. I UNDERSTAND THAT PROFIT KEEPS PEOPLE UP AT NIGHT BUT Y'ALL SEEM TO BE OBLIVIOUS TO THE FACT THAT PEOPLE WHO WERE DOING THIS IMPORTANT WORK GIVING PEOPLE MEDICINE ARE IN PRISON WHILE Y'ALL SIMPLY HOP ON THE BANDWAGON WHEN IT IS LEGAL. PEOPLE STILL PAYING A PRETTY PENNY FOR THESE CANNABIS PRODUCTS AND Y'ALL SHOULD USE A GOOD AMOUNT OF THAT MONEY TO ADVOCATE FOR PEOPLE IN PRISON FOR DOING WHAT YOU ARE DOING NOW? HOW IS THAT NOT ON YOUR MIND? HOW IS THIS BEING OVERLOOKED? I DONT UNDERSTAND. ","1","0.12"
"Why do I use the strains I prefer?","1","0.12"
"Why do we not have the same laws for alcohol that we do for marijuana","1","0.12"
"Why does Massachusetts take so long in opening medical and recreational dispensaries?","1","0.12"
"Why does my drivers license get scanned as a medical user? I believe that a database is being built to give probable cause to search my vehicle in any future traffic stops. Hippa ","1","0.12"
"Why don’t more doctors promote Cannabis use for pain relief especially with the opiate crisis?","1","0.12"
"WHY IS THIS ONLY USA RELATED","1","0.12"
"Why isnt pesticide testing more open for patients. On every label it says it may not meet pesticide standards, gives me more paranoia","1","0.12"
"why prices do not come down","1","0.12"
"why the government has carried on with this prohibition for so long, injuring the american people as a whole","1","0.12"
"Will a medical card holder be considered a recreational user?","1","0.12"
"Will I purchase cannabis at a retail site when there are long-established means to purchase via other means?  ","1","0.12"
"Will medical cannabis ever be covered by prescription insurance?","1","0.12"
"Will prisoners be set free for menial possesses ","1","0.12"
"Will the price of Cannabis come down when the whole US is legal?","1","0.12"
"WILL THE PRICES BE DIFFERENT FOR THE MEDICAL COMMUNITY VS RECREATION","1","0.12"
"with all the clinical research being done on this topic why are the really good effects of this plant not talked about more  and then there is the tax issue","1","0.12"
"With continual consumption, will you need to increase amount consumed to receive benefits","1","0.12"
"Would like to see mandatory cannabinoid and terpenoid profiles on products in order to improve efficacy","1","0.12"
"Would you like cannabis to be allowed in nursing homes and assisted living. For elderly ","1","0.12"
"Would you like more variety in strain6","1","0.12"
"Would you like the price lowered","1","0.12"
"Would you prefer to talk to your doctor instead of a bud tender? ","1","0.12"
"Would you want better testing for cannabis for DUI purposes? How should this testing be applied? (Blood, urine, mouth swab?)","1","0.12"
"Would you work in the cannabis industry?","1","0.12"
"You asked about what meds I'm trying to cut back on with cannabis use not what you have replaced with cannabis use. I am now on zero pharmaceuticals and used to be on up to 6 at a time. ","1","0.12"
"You asked them all ","1","0.12"
"You asked them all.","1","0.12"
"You covered everything very thoroughly!","1","0.12"
"You covered it all","1","0.12"
"You did a good job. ","1","0.12"
"You did good","1","0.12"
"You didn't ask if I've done political advocacy around cannabis consumption, legalization.","1","0.12"
"You didn’t ask why I am using medical cannabis. I have PTSD, anxiety and depression. ","1","0.12"
"You dont ask about the smell of the weed. for me is extremly important in my choise","1","0.12"
"You got it all that I can think of","1","0.12"
"You guys covered it pretty well","1","0.12"
"You hit everything I can think of right now ","1","0.12"
"You hit them all","1","0.12"
"you should put this question at the very end","1","0.12"
"you were very thorough. you asked everything.","1","0.12"
"You’ve done very well! ","1","0.12"
"Young people should be vaporizing, not smoking.  A great question would be:  Given the known consequences of smoking anything, would you recommend that the new wave of cannabis users, focus on vaporizing?","1","0.12"
