"q41","What features are missing from your sources of information that you would like to see included?","n =  420"
"More strains","1","0.24"
"more terpene info","1","0.24"
"More updated info at times","1","0.24"
"More user reviews","1","0.24"
"Nada","1","0.24"
"Needs better labeling of dosage amount / mg and in mls. I began with a micro dose and used the dropper as a measure! My dose was much lower good thing I’m a retired nurse because calculations were need and the worker didn’t have any knowledge of how much for me. He stated it was a 750mg 30ml bottle and I the consumer had to figure it ou. My dose was minuscule a calibrated syringe ie for diabetics would have been helpful","1","0.24"
"No idea ","1","0.24"
"Nome","1","0.24"
"NONE","1","0.24"
"None I can think of","1","0.24"
"None really ","1","0.24"
"None really; Leafly reviews are pretty thorough","1","0.24"
"None that I can tell","1","0.24"
"None that I can think of.","1","0.24"
"None.","1","0.24"
"None.  I rely on the advice of BASK Fairhaven.","1","0.24"
"Not 100% sure on that one at the moment ","1","0.24"
"Not all show the percentages of THC or CBD and would like to see more percentage wheels that show more of the cannabinoids in the strain by percent","1","0.24"
"not an issue","1","0.24"
"not really sure","1","0.24"
"not shure","1","0.24"
"Not Sure","1","0.24"
"Not sure ","1","0.24"
"Not sure?!?!? ","1","0.24"
"nothing i can think of right now","1","0.24"
"Nothing, I’m able find what I’m searching for ","1","0.24"
"online ordering, but that's long to come","1","0.24"
"Peer review","1","0.24"
"Peer reviewed scientific articles ","1","0.24"
"Percentage ","1","0.24"
"pesticides and fertilizers used on crop","1","0.24"
"Possibility of drug interactions","1","0.24"
"Potency","1","0.24"
"Prescription drug interactions.","1","0.24"
"Price ","1","0.24"
"Price comparison","1","0.24"
"Price comparison of area distributers, or Specials comparison in live time","1","0.24"
"Price comparisons","1","0.24"
"price reduction like Colorado ","1","0.24"
"prices","1","0.24"
"Prices","1","0.24"
"Prices ","1","0.24"
"Product prices at local dispensaries","1","0.24"
"Purchase locations near me- none listed for my area.","1","0.24"
"Quality","1","0.24"
"Quick reference print out of strains and properties","1","0.24"
"QUITE SATISFIED AS i DO RESEARCH AND COMPARE NOTES","1","0.24"
"recipes","1","0.24"
"Recipes","1","0.24"
"Recycling programs for small plastic containers. Not just bags. More distillate refills options for carts.","1","0.24"
"Regional information that is consistent.  What happens in CA isn't the same as CO, or MA.","1","0.24"
"Reliable sources and proven testing on products  ","1","0.24"
"Research","1","0.24"
"Research based info","1","0.24"
"research data","1","0.24"
"Results of scientific medical research","1","0.24"
"Reviews by patients","1","0.24"
"Sativa and indica ratios","1","0.24"
"Scholarly articles/reputable cited sources","1","0.24"
"Seed sources","1","0.24"
"Seed/clone availability","1","0.24"
"seed/plant  availability","1","0.24"
"Sheets of what it does and how much it is. And a check list for what you need it for and what would be best for you","1","0.24"
"some strains my dispensary have has no info in leafly","1","0.24"
"sometimes I go to Leafly & my strain is not shown, but I'll google it & one of the links will be Leafly!","1","0.24"
"specific dosing case histories & nurse/MD recommendations","1","0.24"
"specific reviews of clinics' products","1","0.24"
"Step by step instructions for maximizing medicinal use","1","0.24"
"strain info","1","0.24"
"Strain name on medical products frim dispensary","1","0.24"
"Strain parents","1","0.24"
"Symptoms relieved by strain","1","0.24"
"Symptoms treated","1","0.24"
"terp tests","1","0.24"
"Terpene % ","1","0.24"
"terpene info","1","0.24"
"Terpene profile","1","0.24"
"Terpene profiles","1","0.24"
"terpenes","1","0.24"
"Terpine content","1","0.24"
"Terprnes","1","0.24"
"THC levels on products","1","0.24"
"They claim that every single strain is the BEST","1","0.24"
"Thx and cbd treponema levels","1","0.24"
"trichure drops","1","0.24"
"Unsure, satisfied","1","0.24"
"Up to date menus","1","0.24"
"Updated menus on line","1","0.24"
"Ways  to vape flower.","1","0.24"
"were are discounts","1","0.24"
"What exactly works for certain chronic pain and exact doses.","1","0.24"
"What is available in my town","1","0.24"
"What its good for","1","0.24"
"What strains are best for health reason your using it for.   The place I go suggest stuff, but it has been a trial and error .  ","1","0.24"
"what the rso is made with ","1","0.24"
"when I'm reading and looking at these resources at the time I go ""these should have"" and now when I'm asked I can't think of them ","1","0.24"
"Where I can get certain products and cost","1","0.24"
"Where to buy","1","0.24"
"Where to find favorite strain","1","0.24"
"Where to get items not available locally to me ","1","0.24"
"Which products effectively treat my medical issues ","1","0.24"
