"q41","What features are missing from your sources of information that you would like to see included?","n =  794"
"Although most sites have a recommended dose for an ailment I would like to see more sites tell people to start with a low dose, 1mg. and slowly go up as symptoms inprove.","1","0.13"
"Any of dr Sulak’s resources are amazing ","1","0.13"
"Anything new","1","0.13"
"apps have all types of info,features are good","1","0.13"
"assistance in obtaining mmj card","1","0.13"
"avaiability","1","0.13"
"Availability","1","0.13"
"Average cost between the dispensaries across the state, and tips on the best way/place to grow for myself ","1","0.13"
"Average Price","1","0.13"
"Average price ","1","0.13"
"Be able to look up my medical condition and have recommendations for strains are reported to work best, not the hit and miss thing I've been doing for a year","1","0.13"
"beginner info","1","0.13"
"bette local information ","1","0.13"
"Better care for disabled and veterans who are low income","1","0.13"
"Better information about states other than CA, OR, WA, AZ, CO","1","0.13"
"Better inventory of what local dispensary has","1","0.13"
"Better menus ","1","0.13"
"Better quality","1","0.13"
"better strain genetics, average testing % and deeper info","1","0.13"
"better strain info","1","0.13"
"Better user based feedback.","1","0.13"
"Breakdown Comparison of one strain to another ","1","0.13"
"Bud history","1","0.13"
"Caffeine on edibles ","1","0.13"
"can't think of any","1","0.13"
"Can't think of any","1","0.13"
"Can't think of anything","1","0.13"
"Can’t think of any","1","0.13"
"Can’t think of any ","1","0.13"
"Cannabis as food/nutrition (not ""drug"", not ""medicine"")","1","0.13"
"Cannabis science: terpenes and cannabinoids for medicine","1","0.13"
"case studies, dosages for ailments and patient profiles","1","0.13"
"CBD related","1","0.13"
"CBD vs THC effects","1","0.13"
"CBG info","1","0.13"
"Charts showing mg to dose equivalents","1","0.13"
"Cheaper, faster, more reliable testing.","1","0.13"
"Clear thc, cbd cannanoids,terpenes, heritage charts","1","0.13"
"Clone availability","1","0.13"
"Coming soon products ","1","0.13"
"Comparison of legal cbd to medical cbd","1","0.13"
"Complete write up of strains","1","0.13"
"Comprehensiveness -- doesn't show everything they have","1","0.13"
"Consistency in package labeling.","1","0.13"
"Consistency with scientific studies and analyses ","1","0.13"
"Content related directly to my market and region ","1","0.13"
"Cooking with cannabis","1","0.13"
"Cost","1","0.13"
"Costs and availability","1","0.13"
"Coupon","1","0.13"
"Crohn's specific info","1","0.13"
"Current and Updated Information","1","0.13"
"current information","1","0.13"
"Current Information","1","0.13"
"Current menus and prices, promotions ","1","0.13"
"Current products","1","0.13"
"Data","1","0.13"
"date (of harvest,packaging, etc.)","1","0.13"
"Deals ","1","0.13"
"Delivery","1","0.13"
"Delivery ","1","0.13"
"Delivery option for leafly","1","0.13"
"Descriptions on some strains","1","0.13"
"Different strains genetics ","1","0.13"
"Dispensary ","1","0.13"
"Dispensary often doesn’t list breakdowns of ingredients on their websites so we can research at home before going to the dispensary.","1","0.13"
"Dispensary websites/menus do not always accurately reflect availability/inventory ","1","0.13"
"Distance  to dispensery","1","0.13"
"do not know","1","0.13"
"Doctors', scientists', and cultivators' information regarding cannabis products, strains and how it is grown/manufactured","1","0.13"
"Don't know","1","0.13"
"don't know - just trying to figure it all out on my own","1","0.13"
"Don't understand the question ","1","0.13"
"dont have good sources.  will try the ones you mentioned apps/websites","1","0.13"
"dont know","1","0.13"
"Dosage help","1","0.13"
"Dosage, testing information, safety details, loyalty, strain and product tracking/dosage logging.","1","0.13"
"Dosages ","1","0.13"
"Dosing and strains to use ","1","0.13"
"dosing for anti cancer","1","0.13"
"Dosing information","1","0.13"
"Each site has plus and minus.  Multiple sources are required to get a complete picture","1","0.13"
"easier correlation between dispensary menu and product reviews","1","0.13"
"Easier navigation of site on mobile ","1","0.13"
"Easier to find sources to back up claims","1","0.13"
"Easy access to comparisons ","1","0.13"
"everything","1","0.13"
"Extensive discussion of the effects of each and every active ingredient; more information on the content of those ""lesser"" ingredients for each strain.","1","0.13"
"Fact based truth in the medical community ","1","0.13"
"Features on how to obtain genetics","1","0.13"
"First time I have heard about this.","1","0.13"
"Flavor","1","0.13"
"Flowering time ","1","0.13"
"For Weedmaps, accurate in stock items and price","1","0.13"
"Free herb","1","0.13"
"Free samples","1","0.13"
"Free samples!","1","0.13"
"Growing help","1","0.13"
"Growing outdoors","1","0.13"
"Growth stages and more indepth strain specific growing journals for all strains ","1","0.13"
"hard to find the map of legal states","1","0.13"
"Harvesting ","1","0.13"
"have not thought about this","1","0.13"
"have not visited websites","1","0.13"
"Head Shop locator","1","0.13"
"heath benefits ","1","0.13"
"Heavy Metal/Pesticide and Terpine lab tests from certified labs","1","0.13"
"Helpful ways to afford ","1","0.13"
"History and Tradition","1","0.13"
"How exactly to use, as well as what to do if something unplanned for happens (like a coughing fit), for us neophytes!","1","0.13"
"How long effects last","1","0.13"
"how to enhance the healing effects of cannabis","1","0.13"
"How to figure formulation","1","0.13"
"how to grow","1","0.13"
"How to measure THC and CBD","1","0.13"
"How to save the most money ","1","0.13"
"I'd like a helpful newsletter from BASK.","1","0.13"
"I'd like to be able to research the local brands.","1","0.13"
"I'd like to see the same thc and turpene readout that comes with purchased products on the apps. ","1","0.13"
"I'd love to see a fuller chemical breakdown, more than just THC and CBD, but that's not even a big deal!","1","0.13"
"I'm not sure","1","0.13"
"I'm not sure.","1","0.13"
"I'm satisfied with the amount of features present","1","0.13"
"I'm very informed ","1","0.13"
"I am a caregiver and in 98 I did 1 yr in jail n now want to get in the cannabis biz but would need help","1","0.13"
"I am happy with the sources info","1","0.13"
"I can not think of anything","1","0.13"
"I don't feel that Recreational shops are keen on folks who do not want to be high. Most seniors feel intimidated to enter pot shops, because it is over whelming...among other things.","1","0.13"
"i don't know","1","0.13"
"I don’t know.","1","0.13"
"i dont know","1","0.13"
"I have a great dispensary","1","0.13"
"I have been an RN for 35 years. I hated pot. Tried it in High School. I was extremely reluctant to try it.  I had tried multiple pain meds including narcotics but they make me sick. I became so severely depressed that I had to be hospitalized. Marijuana has not only helped my pain,it has greatly improved my mood,my activity tolerance,and my sleep.","1","0.13"
"I never heard of any of the above until taking this survey!","1","0.13"
"I pretty much always find the information I am looking for...","1","0.13"
"I think this is just fine","1","0.13"
"I usually just go to the dispensary website about current products available.","1","0.13"
"I want to see more results from real unbiased scientific studies. We absolutely need more scientific research with and without the govt. And, it needs to be done ASAP.  ","1","0.13"
"I wish the dispensaries gave you a more accurate information.","1","0.13"
"I wish the online strain info had more feedback from medical users in addition to recreational users","1","0.13"
"I would like more specific medical info as related to cannabinoids and terpene profiles.  I would also like my Licences Providers (Canada) to be more knowledgeable in this area.  I have received better advice from non-Licensed dispensaries.","1","0.13"
"I would like to see a thirds party to select flower to send to testing.","1","0.13"
"I’m happy","1","0.13"
"Ideal strains for particular conditions ","1","0.13"
"If any chemicals have been used to grow product ","1","0.13"
"If edibles are available in a limited stock (i.e., the dispensary does not make their own edible products and must rely on another dispensary or distributor for products.","1","0.13"
"In stock strains fluctuate a lot, maybe a way to track","1","0.13"
"Incoming stains? Maybe something to look forward to. ","1","0.13"
"indepent labs","1","0.13"
"Info about my state ","1","0.13"
"Info not always applicable to state that I live in","1","0.13"
"Information on breastfeeding/pregnancy","1","0.13"
"ingredients in everything! including papers on pre-rolls, which can have corn and gluten in them. Severe food allergies. Also, list pesticide and chemicals used on the plants. The use of non organic practices must be transparent, and there is also a concern with allergies to these chemicals.","1","0.13"
"INSA isn’t included as a source on Leafly","1","0.13"
"Insa needs to put more info on menus","1","0.13"
"Jo","1","0.13"
"Job information ","1","0.13"
"Latest dispensary list","1","0.13"
"Leafly covers my needs very well","1","0.13"
"Legalities","1","0.13"
"Legitimate pictures, the ones on Leafly are uploaded by anyone and could be any strain. Detailed description of effects","1","0.13"
"less emphasis on strain name and more emphasis and transparency re terpene profile","1","0.13"
"Let me buy direct from them ","1","0.13"
"Lists of local doctors","1","0.13"
"Local caregivers that deliver ","1","0.13"
"local city by city news","1","0.13"
"Local grower information to keep up with new strains.","1","0.13"
"Local Growers not just Dispensary","1","0.13"
"Local prices","1","0.13"
"Local pricing and availability","1","0.13"
"Location of strain im looking for","1","0.13"
"Log journal entries","1","0.13"
"Long-term side effects if any","1","0.13"
"Lower weed prices","1","0.13"
"Mainstreaming ","1","0.13"
"Massachusetts Delivery Services","1","0.13"
"Medical benefits ","1","0.13"
"Medical doctor references","1","0.13"
"Medical indications and contraindications","1","0.13"
"Medical strain names differ from common names","1","0.13"
"Medical training in cannabis dosing and efficacy","1","0.13"
"Menus","1","0.13"
"More accurate lab results and higher TAC","1","0.13"
"More accurate search for strains, lifestyle stories, etc...","1","0.13"
"More advanced education for medical professionals","1","0.13"
"More ailments listed to pair with a strain. ","1","0.13"
"More articles on small time growing for your windows","1","0.13"
"More balanced research, broader research ","1","0.13"
"More cannabinoid detail","1","0.13"
"More concrete scientific information. ","1","0.13"
"more consistent information.  sometimes information about a strain can vary greatly depending on what website you look at.","1","0.13"
"more data","1","0.13"
"More detail on terpenes, genomics, science","1","0.13"
"More detailed info","1","0.13"
"More detailed info for new consumers","1","0.13"
"more detailed information on the effects of all the different strains","1","0.13"
"More detailed strain information ","1","0.13"
"more details on side effects","1","0.13"
"More direct brand patients education, facility tours and manufacturing processes, more education from testing labs","1","0.13"
"More dispensary ","1","0.13"
"more easy to read ingredients ","1","0.13"
"More explanation about the product. Web pages are very vague","1","0.13"
"more exposure on twitter","1","0.13"
"More fear nformation on benefits of cannabis","1","0.13"
"more grow tips","1","0.13"
"More growing and management information ","1","0.13"
"More in depth articles on deficiencies ","1","0.13"
"More info on CBD","1","0.13"
"More info on concentrates","1","0.13"
"more info on edibles","1","0.13"
"More info on extraction processes ","1","0.13"
"more info on growing specific strains","1","0.13"
"More info on tinctures and edible use ","1","0.13"
"more info on what strains work best for different ailments..and more info of you are sober","1","0.13"
"more info on what the strain is good for (anxiety, depression, etc)","1","0.13"
"More information about how the ECS really works and how different strain profiles will interact with it.","1","0.13"
"More information on becoming more politically involved in the legalization process.","1","0.13"
"More information on supporting cannabinoids and terpenes. Most seem to focus on THC content, and according to a recent study THC (like opiates) only distracts you from pain. ","1","0.13"
"More informed Cannabis specialists","1","0.13"
"more lab reports and analysis of cannabinoid profiles in every strain, the reliability of strains from state-to-state, some standardization of cannabinoid profiles and effects for treating various conditions","1","0.13"
"More local resources","1","0.13"
"More local reviews of product ","1","0.13"
"More local search results","1","0.13"
"More locally relevant information. Most don't update their menus often or prices. ","1","0.13"
"More medical info. Like the basic fact that CBD can interact with other drugs and meds. And how chemo patients have got to check with someone they know knows!","1","0.13"
"More medical information ","1","0.13"
"More news articles","1","0.13"
"More personal reviews ","1","0.13"
"More personal reviews and a legit dr help section with more factual medicinal based articles","1","0.13"
"More pictures ","1","0.13"
"More research","1","0.13"
"More Research","1","0.13"
"More research articles","1","0.13"
"More researched data on contraindications with other prescribed drugs and proven effectiveness with specific conditions such as IBS, arthritis, etc.","1","0.13"
"More samples","1","0.13"
"More science ","1","0.13"
"More scientific info regarding terpenoids ","1","0.13"
"more scientific research studies","1","0.13"
"more scientific sources","1","0.13"
"More specials listed menu  updates more frequently ","1","0.13"
"more specific dosing , more specific information for various illnessess","1","0.13"
"More specific information about which products work best for inflammation and anxiety ","1","0.13"
"More specific instructions on dosage","1","0.13"
"More specifics of what products are testing at","1","0.13"
"more strain specific indications (ie, Best Anxiety strains, etc)","1","0.13"
"More strains from my area","1","0.13"
"more studies and scientific findings and information on medical use of marijuana ","1","0.13"
"More substantial evidenced-based research","1","0.13"
"more terpene info","1","0.13"
"More up-to-date research on the enndocannabanoid system; more diesease/theraputic specific information (e.g., x, y, z strains are good at treating depression becuase of this specifc categoristic)","1","0.13"
"More updated info at times","1","0.13"
"More updated menu's","1","0.13"
"More user reviews","1","0.13"
"More workshops on site of dispensaries. Detailed in-depth information is often missing. I find a lot of articles that are dumbed down. That’s helpful when I was new but I’d like to learn more in-depth info that seems to lack. ","1","0.13"
"n.a","1","0.13"
"N.a","1","0.13"
"n\a","1","0.13"
"NA ","1","0.13"
"nada","1","0.13"
"Needs better labeling of dosage amount / mg and in mls. I began with a micro dose and used the dropper as a measure! My dose was much lower good thing I’m a retired nurse because calculations were need and the worker didn’t have any knowledge of how much for me. He stated it was a 750mg 30ml bottle and I the consumer had to figure it ou. My dose was minuscule a calibrated syringe ie for diabetics would have been helpful","1","0.13"
"New medical card not enough knowledge ","1","0.13"
"No opinion","1","0.13"
"Nome","1","0.13"
"Non","1","0.13"
"non that I can think of","1","0.13"
"NONE","1","0.13"
"none at the moment ","1","0.13"
"None I know of ","1","0.13"
"None really ","1","0.13"
"None really; Leafly reviews are pretty thorough","1","0.13"
"None that I cam currently think of.","1","0.13"
"None that I can tell","1","0.13"
"None that I can think of.","1","0.13"
"None.  ","1","0.13"
"None.  I rely on the advice of BASK Fairhaven.","1","0.13"
"Not 100% sure on that one at the moment ","1","0.13"
"Not all show the percentages of THC or CBD and would like to see more percentage wheels that show more of the cannabinoids in the strain by percent","1","0.13"
"not an issue","1","0.13"
"Not applicable","1","0.13"
"Not applicable ","1","0.13"
"not really sure","1","0.13"
"not shure","1","0.13"
"Not Sure","1","0.13"
"Not sure, I found a few products I like and generally stick to those products.","1","0.13"
"Not sure. ","1","0.13"
"Not sure?!?!? ","1","0.13"
"nothing I can think of","1","0.13"
"nothing i can think of right now","1","0.13"
"Nothing really.","1","0.13"
"Nothing, I’m able find what I’m searching for ","1","0.13"
"Nothing. I find it somehow! ","1","0.13"
"Nothing. They tell you everything you need to know","1","0.13"
"online ordering","1","0.13"
"online ordering, but that's long to come","1","0.13"
"Open-Ended Response","1","0.13"
"Other cannabinoids! CBG, THC-V","1","0.13"
"Peer review","1","0.13"
"Peer Reviewed studies","1","0.13"
"people pieces","1","0.13"
"Percentage ","1","0.13"
"Pet-safe products?","1","0.13"
"photos of plants","1","0.13"
"Places to buy clones and seeds","1","0.13"
"popular or not","1","0.13"
"Popularity ","1","0.13"
"Possibility of drug interactions","1","0.13"
"Prescription drug interactions.","1","0.13"
"Price comparison ","1","0.13"
"Price comparison feature","1","0.13"
"Price comparison of area distributers, or Specials comparison in live time","1","0.13"
"Price comparisons","1","0.13"
"Price range","1","0.13"
"Price ranges","1","0.13"
"price reduction like Colorado ","1","0.13"
"Prices ","1","0.13"
"Prices (some have it some don’t)","1","0.13"
"Prices and daily updated menus","1","0.13"
"Prices for different areas ","1","0.13"
"Prices, updated menu, reserve ahead options","1","0.13"
"Printable Strain Labels (ala CannaSOS)","1","0.13"
"Probably a lot, to be honest.","1","0.13"
"Product prices at local dispensaries","1","0.13"
"Product quality ","1","0.13"
"Purchase locations near me- none listed for my area.","1","0.13"
"Quality","1","0.13"
"Quality control information","1","0.13"
"real THC content","1","0.13"
"real unbiased inbfo","1","0.13"
"Recent research implications ","1","0.13"
"recipes","1","0.13"
"Regional information that is consistent.  What happens in CA isn't the same as CO, or MA.","1","0.13"
"related diet","1","0.13"
"Reliable menus","1","0.13"
"Research","1","0.13"
"research data","1","0.13"
"Research, stats","1","0.13"
"Reviews by patients","1","0.13"
"samples","1","0.13"
"Sativa and indica ratios","1","0.13"
"Scientific information ","1","0.13"
"searchability, dosing guidelines, and strain or chemical profile recommendations","1","0.13"
"Secret shopper testing lab values on dispensary products.","1","0.13"
"Seed / Clone purchase info","1","0.13"
"Seed sources","1","0.13"
"Seed/clone availability","1","0.13"
"seed/plant  availability","1","0.13"
"Select bud by region so i don't get teased with Cali weed","1","0.13"
"Sheets of what it does and how much it is. And a check list for what you need it for and what would be best for you","1","0.13"
"side effects ","1","0.13"
"smoke shop locator","1","0.13"
"Some dispensaries not listed, not updated menus ","1","0.13"
"Some strains are missing ","1","0.13"
"some strains my dispensary have has no info in leafly","1","0.13"
"sometimes I go to Leafly & my strain is not shown, but I'll google it & one of the links will be Leafly!","1","0.13"
"Sometimes lacks details of particular strains for places.","1","0.13"
"specific dosing case histories & nurse/MD recommendations","1","0.13"
"specific health issues","1","0.13"
"specific reviews of clinics' products","1","0.13"
"Step by step instructions for maximizing medicinal use","1","0.13"
"Strain growth metrics ","1","0.13"
"strain info","1","0.13"
"Strain name on medical products frim dispensary","1","0.13"
"Strain parents","1","0.13"
"Strain specific ID in all/ any products","1","0.13"
"Strain type by ratio","1","0.13"
"studies","1","0.13"
"Studies into terpenes","1","0.13"
"Suggested dosages for certain conditions based on previous patient experience","1","0.13"
"Symptoms relieved by strain","1","0.13"
"terp tests","1","0.13"
"Terpene % ","1","0.13"
"Terpene data","1","0.13"
"Terpene info","1","0.13"
"Terpene Profile!!! Cannabinoids profile.","1","0.13"
"terpene profiles","1","0.13"
"Terpene Profiles ","1","0.13"
"Terpene profiles and heritage / breeder information","1","0.13"
"Terpene profiles for strains","1","0.13"
"terpene profiles on leafly.  patient rates by condition ","1","0.13"
"Terpene results","1","0.13"
"Terpene testing","1","0.13"
"Terpene, THC and CBD, CBG, etc levels","1","0.13"
"Terpene/flavor profiles","1","0.13"
"terpenes","1","0.13"
"Terpenoid profiles","1","0.13"
"Terpine content","1","0.13"
"Terprnes","1","0.13"
"Testament","1","0.13"
"Testing criteria should be well known","1","0.13"
"Testing for pgr","1","0.13"
"THC amount consistently included. ","1","0.13"
"Thc content ","1","0.13"
"THC levels on products","1","0.13"
"The deals","1","0.13"
"The dispensary I got to the bud tenders just seem like sales people would be nice to sit with someone come up with a plan to treat a couple medical condition w each strain . Instead of just walking up to counter an just purchasing  any strain.","1","0.13"
"There is too much contradictory information.","1","0.13"
"They claim that every single strain is the BEST","1","0.13"
"Thx and cbd treponema levels","1","0.13"
"To make info more easily obtainable ","1","0.13"
"trichure drops","1","0.13"
"Trusted reviews","1","0.13"
"Unknown","1","0.13"
"Unsure","1","0.13"
"Up to date menus","1","0.13"
"Updated menu and pricing","1","0.13"
"Updated menus","1","0.13"
"Updated menus on line","1","0.13"
"Usage instructions","1","0.13"
"validated scientific studies","1","0.13"
"visual infographics and recommendations based on past likes/favorites + sale alerts :)","1","0.13"
"Ways  to vape flower.","1","0.13"
"We would like to have cannabis viewed as respectably as all medications.  Allowing us to speak freely about how much it has helped us.","1","0.13"
"well not all strains are listed. more on terpenes","1","0.13"
"were are discounts","1","0.13"
"What exactly works for certain chronic pain and exact doses.","1","0.13"
"What is available in my town","1","0.13"
"What its good for","1","0.13"
"What strains are best for health reason your using it for.   The place I go suggest stuff, but it has been a trial and error .  ","1","0.13"
"what the rso is made with ","1","0.13"
"What time of day to use cannabis because of strain","1","0.13"
"What to avoid","1","0.13"
"What type of ailments, diseases each strain treats","1","0.13"
"When a specific dispensary comes up with a name or one that is just from their company, they do not tell you about it on any website since it is specific to them","1","0.13"
"when I'm reading and looking at these resources at the time I go ""these should have"" and now when I'm asked I can't think of them ","1","0.13"
"When the flower that ran out. When it will be available again","1","0.13"
"Where I can get certain products and cost","1","0.13"
"Where it was grown? How is it grown differently for different effects? ","1","0.13"
"Where to buy","1","0.13"
"Where to find favorite strain","1","0.13"
"where to find specific strains","1","0.13"
"Where to get it nearby ","1","0.13"
"Where to get items not available locally to me ","1","0.13"
"Where to get recommended strains locally","1","0.13"
"Where to get the different strains that are reviewed","1","0.13"
"Which products effectively treat my medical issues ","1","0.13"
"Who has what in stock","1","0.13"
"Will company sell seeds of strains they sell?","1","0.13"
"wish we could purchase in retail facilities in Maine, but not yet....","1","0.13"
"word clouds from user reviews","1","0.13"
"Workplace ","1","0.13"
"would like all advertised product to include CBD and Terps percentage","1","0.13"
"Would like to move away from the silly strain names.","1","0.13"
"WOULD LIKE TO SEE ANN CBD AND THC % LISTED ON ALL WEBSITES","1","0.13"
