"q52","What questions regarding cannabis did we not ask that are important to you?","n =  794"
"Cannabis is calorie free compared to alcohol. Although many feel that cannabis increases appetite, do you feel that cannabis has actually helped you maintain a healthy body weight? (I do not feel that cannabis increases my appetite, and if anything, I feel I eat less since I have been enjoying the benefits of cannabis.","1","0.13"
"Cannabis is not required to be re-tested after extended periods of time at dispensaries. ","1","0.13"
"Consider specifying differences in patterns of use related to medicinal use vs. recreation use. ","1","0.13"
"consistency of vape cartridges  ","1","0.13"
"Continued availability of educational materials or events to educate medical patients. ","1","0.13"
"Cost pricing","1","0.13"
"Cost....no one pays more for cannabis than Massachusetts mmj patients. Frustrating knowing the western part of the country pays just a fraction of the $ we do for the same product","1","0.13"
"Country wide pricing structure, the west Coast is 1/2 price of East Coast at this present time.","1","0.13"
"Covered everything ","1","0.13"
"Current Legal ramifications ","1","0.13"
"Demographic information if people want to share- it's good to get a cross section of what type of people are using cannabis now, what careers they have, are they parents/students/ professionals etc.","1","0.13"
"Did you ever consumed cannabis prior, illegally? and Where you still a regular pot smoker before discovering it as a medicinal tool?","1","0.13"
"Dispensary employees need to understand which terpenes are good for different ailments.  ","1","0.13"
"do  you feel cannabis is more or less safe than alcohol. & i  would answer alcohol is far more dangerous & is the gateway drug to be concerned with. not cannabis","1","0.13"
"Do I prefer cannabis over pharmaceuticals?   Hell yes!","1","0.13"
"Do you feel any symptoms of addiction?  Do you regularly mix cannabis with alcohol or other drugs.  What recreational drugs do you take?","1","0.13"
"Do you grow your own medical marijuana?","1","0.13"
"Do you know anyone else with a medical card ","1","0.13"
"Do you know the difference between indica & sativa?","1","0.13"
"Do you know the dosage recommended to treat patient ailment based on patient profile and symptoms. (NO).  Is cannabis treatment resolving the targetted medical issue? (Not yet, small glimmer of resolution, but too much trial and error on dosing and no real answers from previous practices to follow).","1","0.13"
"Do you make any cannabis products for yourself?","1","0.13"
"Do you think cannabis has different effects on females vs. males ?","1","0.13"
"Do you think Medical Doctors need education related to marijuana ","1","0.13"
"Do you think that it’s unfair to have to worry about traveling with this medicine. It’s ok to have those opioids in your daily pill box or benzodiazepines but that cannabis is a issue when flying or traveling in general. ","1","0.13"
"Do you think the individual states with legalized cannabis will get over their greed and cut taxes?","1","0.13"
"Does cannabis affect your medical condition?","1","0.13"
"Does it matter to you if it’s grown organically ","1","0.13"
"Does my spouse use cannabis? She doesn't. And anecdotally, I've come across a number of others in the community where this is also the case. ","1","0.13"
"Don't have any","1","0.13"
"Don't have any feedback. ","1","0.13"
"Don't have any right now","1","0.13"
"Don’t know","1","0.13"
"Don’t know ","1","0.13"
"Dont know","1","0.13"
"Dosage and type of cannabis for lung cancer that is NED ( no evidence detected)","1","0.13"
"dose of cbd separate from thc.  expirience with terpenes.  condition specific info.  ","1","0.13"
"Dosing schedules ","1","0.13"
"drug/drug interactions and more about testing and cultivation parameters","1","0.13"
"ease of getting license","1","0.13"
"Education is important.  What are some areas that new patients require to be able to make their own medications?","1","0.13"
"educational resources to continue education & support groups","1","0.13"
"effect on mood","1","0.13"
"effect on prices and illegal pot vs pharma","1","0.13"
"Effects of job scrutiny for disabled persons that ""use"" cannabis throughout the day to numb the daily pain levels enough to function at a more ""normal "" acceptable level. ","1","0.13"
"Federal legalization, and the education of the masses.","1","0.13"
"Flavor importance","1","0.13"
"For those who have come off of opiates and other drugs, there were only questions about present use, not past use. More questions about policies and knowledge of staff at dispensaries","1","0.13"
"Future of medical marijuana","1","0.13"
"Getting into the biz","1","0.13"
"Good job. Thanks ","1","0.13"
"Has cannabis usage lowered my physical pain?","1","0.13"
"Have anyone in the history of cannabis use ever overdose. ","1","0.13"
"Have i or anyone i know been disproportionately affected by cannabis related crimes prior to the recreational release","1","0.13"
"Have you been impacted by criminalization, & how that effects current ability to use. ","1","0.13"
"Help us to be aware of legislation that needs our attention for cannabis legalization.","1","0.13"
"Hemp relation","1","0.13"
"Home test cheap enough to use","1","0.13"
"How are people with MS, Parkinson’s, etc being taught how to use","1","0.13"
"How are you concerned about negative health risks associated with cannabis?","1","0.13"
"How can it be made available to people of less means? I work inner city, and come across many poor people who would benefit but cannot due to cost.","1","0.13"
"How can we end the war on the poor and the war on drugs? How can we help those who have been abused by the justice system because of a plant?","1","0.13"
"How can we get the cost defrayed the government saves $4000 a month on my meds alone and I’m destitute ","1","0.13"
"How can we move from stigma to real science and mainstream medicine?","1","0.13"
"How comfortable are you with the quality of the bud you are receiving?","1","0.13"
"How do I feel about jobs still testing for marijuana use regardless if you have a medical license or not?","1","0.13"
"HOW DO I FEEL ABOUT PAYING SO MUCH!!!!!","1","0.13"
"How do the people you live with feel about your cannabis use?","1","0.13"
"How do we think the state is doing implementing leagl canabis","1","0.13"
"how does cannabis impact your relations with other people?","1","0.13"
"How does cannabis improve healing beyond just consuming it.","1","0.13"
"How does indica and sativa affect you differently? Do you know the difference in strains and why they are different? ","1","0.13"
"How does using cannabis make you feel and how does it help in your daily life?","1","0.13"
"How happy it makes me :)","1","0.13"
"How I feel about pricing and whether insurance companies should be forced to cover cost","1","0.13"
"How important is it that you have consistent access to your favorite strain?","1","0.13"
"How long Cannabis are really still fresh?","1","0.13"
"How long does effects last.","1","0.13"
"How long have been using","1","0.13"
"How long have I been using marijuana? ","1","0.13"
"how long have i used?","1","0.13"
"How long it takes to get to a dispensary. Do you have a dispensary in your neighborhhood. ","1","0.13"
"How much more cannabis would you use if you could afford it?","1","0.13"
"How much should cannabis cost.","1","0.13"
"How often and how much","1","0.13"
"how often do you consume cannabis with recreational users?","1","0.13"
"How old when you first started using cannabis?","1","0.13"
"how people can trust varying test results from different labs and are dispensaries properly labeling products.","1","0.13"
"How this would affect pharmaceutical companies if pass fedderly.","1","0.13"
"How to determine mg of product and how much to take","1","0.13"
"how to dose","1","0.13"
"How to grow in home and where to get seeds and starter plants","1","0.13"
"how to improve the dosage to improve the health benefits","1","0.13"
"How to keep away from children","1","0.13"
"How to maintain supply of favorite strains.","1","0.13"
"How to make delivery more convenient.dispenseries have different strains, maybe to far to travel to","1","0.13"
"how to obtain grow license","1","0.13"
"How to talk to your kids so you aren't worried about what they say to others.","1","0.13"
"How we felt about the need for credible research to be done, so that we would have a better idea of proper dosages and administration.   (I feel this is incredibly important!)","1","0.13"
"How well canvas works for you","1","0.13"
"How will adult use legalization affect the medical market?","1","0.13"
"How will you flush out those who are taking advantage of the market with crap product","1","0.13"
"Hybrid strain info","1","0.13"
"I'm good ","1","0.13"
"I'm not sure","1","0.13"
"I'm pretty satisfied with the questions asked so far","1","0.13"
"I am curious about the best time to consume edibles- before, after or during meals.","1","0.13"
"I am really concerned that there is insufficient training among Clinic and Licensed Provider staff to adequately coach patients about which products will work best for their condition.  Here, we are offered (oils) CBD, THC, 1:1 ; without looking at terpenes.  I have found a vast difference from one LP to another.  One CBD product worked beautifully and the other, not at all.","1","0.13"
"I am very interested in how dispensaries will handle medical and recreational. For example I have heard of separate lines and guaranteed inventory for medical card holders. So I am interested in how recreational legalization will affect my experience as a medical card holder.","1","0.13"
"I can't think of any","1","0.13"
"I can't think of any at the moment.","1","0.13"
"I can't think of any at this time","1","0.13"
"I can't think of anything","1","0.13"
"I can't think of one","1","0.13"
"I can’t think of any ","1","0.13"
"I can’t think of anything, at this time.","1","0.13"
"I can’t tolerate THC, I have hallucinations, anxiety, it’s horrible. In the 70’s I tried smoking pot and I came to conclusion that it wasn’t for me.","1","0.13"
"I cant think of any","1","0.13"
"I don’t have any questions .","1","0.13"
"I have none at this time","1","0.13"
"I have none!","1","0.13"
"I honestly have no idea.","1","0.13"
"I smoked recreationally when I was younger. Now, I'd like to see more newbie education","1","0.13"
"I think the medical card should last more than a year. I have gotten off Fentanyl with the use of CBD and THC. I do have belly pain though from the Whipple Surgery","1","0.13"
"I think you covered it","1","0.13"
"I think you covered it well.","1","0.13"
"I think you covered it.","1","0.13"
"I think you covered them all.","1","0.13"
"I would like more info on dosing to achieve maximum results for different conditions. ","1","0.13"
"I would like to get more specific about the prices, availability, and certain dispensories.","1","0.13"
"I would like to see questions regarding how long it took to get to a therapeutic level and also if people are using it for their pets and what effect it has had.","1","0.13"
"I would love to know a thorough, non-biased view of how risky smoking flower is for things such as lung cancer. I also would love to know more about vape cartridge risk, particularly if it's okay to use within plastic cartridges, how to know if the distillate is breaking down, negative potential effects, etc. ","1","0.13"
"I’m good ","1","0.13"
"I’m not sure","1","0.13"
"idk","1","0.13"
"Idk","1","0.13"
"If cannabis is a medical thing, why isn't it covered by insurance?","1","0.13"
"If I can afford to pay for the only thing that helps my pain and if I can or can't afford it","1","0.13"
"If I know what specific strains treat for medical needs ","1","0.13"
"If legal - is there an age limit?  What about teens in other states?  ","1","0.13"
"If there will ever be federally recognized as medically needed form of treatment covered under insurances. Would love to see more affordable pricing at dispensary for those with conditions as states move forward to legalizing use for all. ","1","0.13"
"If you've felt the need to stop using marijuana and couldn't","1","0.13"
"Im not sure ","1","0.13"
"In many of the multiple choice questions, there were separate answers for THC and THCa, as well as for CBD and CBDa - and I thought this was getting into a misleading detail because in these answers you could not choose more than one.","1","0.13"
"Inquiring about knowledge about proper approach to edibles in terms of dosage and maximizing bioavailability for people who might have issues getting consistent effects from oral ingestion of THC and CBD.","1","0.13"
"Insurance coverage of cannabis  Medical benefits from cannabis","1","0.13"
"Interstate use amongst medical patients. State reciprocation","1","0.13"
"Is cannabis over regulated?","1","0.13"
"Is it natural","1","0.13"
"is medical cannabis tax deductible?  Dosing and entourage effect?","1","0.13"
"Is there a limit of time to use Medical Cannabis. ","1","0.13"
"Is there any way to add to the list of MA qualifying conditions? Dysmenorrhea/PMS/PMDD are not on the list, but cannabis absolutely is a great treatment! The list needs to be updated. ","1","0.13"
"Is your favorite strain always in stock?","1","0.13"
"It's not a question, but I would love instructional workshops on site about the growing and cultivation process. The employees are brilliant, but a guided tour to see the seed to harvest process could dispel a lot of misinformation. ","1","0.13"
"It's not which questions, it's just that some of you multiple choice didn't have a correct choice among the selections for my situation. I am a disabled semi-shut in with little use experience. ","1","0.13"
"It should be cheaper","1","0.13"
"It would be nice that more dispensaries ask if you need to sit with an advisor or someone that can spend a lot of time with you to answer questions you may have and cater your consumption to your medical problems","1","0.13"
"Jdndnd","1","0.13"
"Lab testing for pesticides. Why did the majority of dispensaries in California they all their pesticide testing? How many dispensaries in Massachusetts would feel their pesticide testing? We are told there are no pesticides on the cannabis. Yet, my allergies flare up severely after medicating sometimes.","1","0.13"
"Law","1","0.13"
"Long term effects from smoking ","1","0.13"
"long term effects on using cannabis on a regular basis","1","0.13"
"medical use by minors","1","0.13"
"Microdosing  Non psychoactive treatment of symptoms   ","1","0.13"
"More about terpenes and their benefits","1","0.13"
"More emphasis on relationship between the person recommending what to use and the consumer.","1","0.13"
"More information on how to take edibles like how much and how to use some types of edible cannibus that I'm not familiar with. ","1","0.13"
"More nuanced questions about stigma from family and friends","1","0.13"
"My doctor had already answered all the key questions. He's very good. We need more doctors in pain management.","1","0.13"
"My tolerance level. ","1","0.13"
"N.a","1","0.13"
"N/A  ","1","0.13"
"n/a   you did a good job","1","0.13"
"NA    ","1","0.13"
"Nada ","1","0.13"
"Need more info on specific strains. Need more info on strains used in tinctures. More feedback from users or studies on all products","1","0.13"
"negative long term effects","1","0.13"
"No ","1","0.13"
"No  ","1","0.13"
"No clue","1","0.13"
"No e","1","0.13"
"No question ","1","0.13"
"No questions geared towards Caregivers","1","0.13"
"noen","1","0.13"
"Non that I can think of","1","0.13"
"None at the moment!","1","0.13"
"None come to mind","1","0.13"
"None come to mind ","1","0.13"
"none I can think of at this time","1","0.13"
"None I love to learn as much as I can","1","0.13"
"none so far ","1","0.13"
"None thanks ","1","0.13"
"none that I can think of","1","0.13"
"None that I can think of ","1","0.13"
"none that I can think of at this time","1","0.13"
"None, that I can think of.","1","0.13"
"None, this was a pretty comprehensive survey","1","0.13"
"None.  I'm no expert.","1","0.13"
"none. I need to do some research on my own","1","0.13"
"None. My biggest concern is young kids access to cannabis","1","0.13"
"nono","1","0.13"
"nonw","1","0.13"
"not any i can think of right now ","1","0.13"
"not applicable","1","0.13"
"Not applicable","1","0.13"
"Not applicable ","1","0.13"
"Not at this time","1","0.13"
"Not e","1","0.13"
"Not really  ","1","0.13"
"Not Sure","1","0.13"
"Not sure if anything is missing","1","0.13"
"Not sure?!?!?","1","0.13"
"Nothing  ","1","0.13"
"nothing comes to mind at the moment.","1","0.13"
"Nothing comes to mind. ","1","0.13"
"Nothing I can think of.","1","0.13"
"Nothing.","1","0.13"
"Open-Ended Response","1","0.13"
"Organic cultivation is important","1","0.13"
"Pass","1","0.13"
"Patient privacy ","1","0.13"
"perhaps what other clever marketing ideas could we come up with to expose the safety and health benefits of this plant. My passion is veterans/PTSD, and Autism.  The public wants to jump on the Hemp CBD oil bandwagon they completely miss the fact we need to focus on legalizing THC medically and permanently. ","1","0.13"
"Pesticides and such. Not just organic. I came from California. There is so much info about your product. Here, a warning that it may be unsafe!","1","0.13"
"Possibly, what positive and negative affects indica sativa and hybrids have on the persons taking the survey","1","0.13"
"Potential harmful ingredients in vape cartridges","1","0.13"
"Pretty much covered everything. I am happy to see that there is research being done on the use & benefits of cannabis :) ","1","0.13"
"purchasing not in dispensary what are the rules ","1","0.13"
"Quality ","1","0.13"
"Quantification of the many factors listed above. I realize that it would take large, expensive clinical trials to get precise estimates of the effects, but maybe a survey like this could be a start.","1","0.13"
"Questions about CBD:THC ratio.    ","1","0.13"
"Regarding cannabis use as neither ""social"" or ""medicinal"" but rather ""nutritional"" (as God intended).  Plus many of your answer sets are not appropriate for micro-dosers.","1","0.13"
"Relief of pain profile","1","0.13"
"Reporting of terpene profiles.","1","0.13"
"Retroactive amnesty for convicted marijuana offenders.","1","0.13"
"Safety, storing it and children at home etc. ","1","0.13"
"separation of medical sales and recreational sales","1","0.13"
"Should dispensaries have to list every ingredient in every product they sell?  The answer is yes.","1","0.13"
"Should the Federal Government reclassify marijuana? Yes ","1","0.13"
"Since cannabis is legal what about the offenders in jail for crimes related to Marijuana?","1","0.13"
"Social consumption issues are very important.","1","0.13"
"solvent or solvent-less","1","0.13"
"Some of my daily usage is taking edible CBD.  Perhaps some differentiating between CBD and THC use.","1","0.13"
"Stats on use in general  Public","1","0.13"
"Stigma","1","0.13"
"Storage...and cooking help","1","0.13"
"Strain frequencies ","1","0.13"
"Strain types","1","0.13"
"Taste","1","0.13"
"Taxing ","1","0.13"
"Terpine content","1","0.13"
"Testing regulations. Offering Certificate of Authenticity and safety","1","0.13"
"Testing, to assure clean, safe product.  Knowledge of exactly what is in strain, terpine profile.","1","0.13"
"the bases were pretty much covered","1","0.13"
"The benefits of vape vs. Smoking cannabis","1","0.13"
"The cost of treating yourself with it is a huge issue","1","0.13"
"the difference between fear of stigma from loved ones and fear of stigma from society at large","1","0.13"
"The importance of decarboxilation of weed prior to making oil/butter.","1","0.13"
"The importance of terpenes ","1","0.13"
"The survey isnt done yet so im not sure ","1","0.13"
"There needs to be science based research on the efficacy of cannabis and pain relief, so dosing and strain choices can be made intelligently. ","1","0.13"
"There should have been a response in the ""work"" section that would indicate ""retirement""; I couldn't answer those questions accurately due to being retired.","1","0.13"
"These are good. ","1","0.13"
"Think you covered everything ","1","0.13"
"This survey didn't ask as many questions about access to cannabis education in the areas of personal cultivation as I would have liked. I'm interested in the growing culture around home grows and how things like heirloom strains and breeding and small-batch strains and the communities around home grows are doing.","1","0.13"
"Those currently incarcerated for marijuana. ","1","0.13"
"Too many questions ","1","0.13"
"Training...how important is it to be certified as a cannabis consultant.","1","0.13"
"True strain and product reviews and descriptions are really important.  Most sites use generic descriptions that are not accurate at all.  We want guidance on the actual product we are consuming if it is safe, and what people are saying about it.  ","1","0.13"
"US can’t classify an illegal substance organic so that conversation seems irrelevant as it doesn’t currently exist. Ya know? ","1","0.13"
"Use before medical marijuana became legal in my state.","1","0.13"
"Using cannabis for working out","1","0.13"
"Very clear questions ","1","0.13"
"Ways to smoke flower ","1","0.13"
"We need better discounts for the medically disabled","1","0.13"
"Well covered","1","0.13"
"What's your tolerance? How did you start? ","1","0.13"
"What actions can citizens using medicinal marijuana products do to improve access to products?","1","0.13"
"What are the long-term affects of medical marijuana?","1","0.13"
"What are the long term affects of using?","1","0.13"
"What are you doing to legalize cannabis on a national level?","1","0.13"
"What effects have helped and from which product. (medical).","1","0.13"
"what I'm trying to achieve ","1","0.13"
"What is being done to educate medical students?","1","0.13"
"what is healthiest ingestion technique","1","0.13"
"What is your favorite and least favorite part of cannabis?","1","0.13"
"What is your opinion of pharmaceutical companies developing medications based on cannabis molecules?    Are you concerned that big business could negatively impact the cannabis industry or community through unfair business practices or patenting of medicine?","1","0.13"
"What kind of new strains would you like to see in dispensary?","1","0.13"
"What method is best to start using if you’ve never used cannabis ","1","0.13"
"What new types of medical cannabis products would people like to see? ","1","0.13"
"What options are available for those living in non legal states","1","0.13"
"What THC/CBD ratio do you feel is more suited to treating your disease?  ","1","0.13"
"What types of degrees would be beneficial to have for someone who is interested in the cannabis industry?","1","0.13"
"When did I first use marijuana ","1","0.13"
"When did I start smoking cannabis? also, when did I start recreationally vs medically?? ","1","0.13"
"When did I start using cannabis?","1","0.13"
"When did I start using it","1","0.13"
"When is the medical industry going to accept this so we can have insurance cover it and not pay retail the rest of our life?","1","0.13"
"When will Medicare and medicaid cover the cost?","1","0.13"
"When will recreational use of marijuana, happen. Talk about dragging feet","1","0.13"
"When will the prices drop for hardship","1","0.13"
"WHENS PRICE COMING DOWN ONLY PROBLEM I HAVE!!!","1","0.13"
"Where can I reliably get feminized seeds?  Will they be carried at a dispensary?","1","0.13"
"Where the money should go in the states that make taxes off recreational marijuana?","1","0.13"
"Whether I feel that it has harmed me in any way (it definitely hasn't!)","1","0.13"
"Which kind of legalization you support","1","0.13"
"Why are pain patients told they must choose between MMJ and opioids? There doesn’t seem to be tons of research indicating they can’t be used together, and in fact MMJ has been the only treatment modality that has allowed me to significantly reduce the amount of opioids I take.","1","0.13"
"Why does Massachusetts take so long in opening medical and recreational dispensaries?","1","0.13"
"Why does my drivers license get scanned as a medical user? I believe that a database is being built to give probable cause to search my vehicle in any future traffic stops. Hippa ","1","0.13"
"Why don’t more doctors promote Cannabis use for pain relief especially with the opiate crisis?","1","0.13"
"Why is buying on the street more cost effective than a dispensary ","1","0.13"
"Why is there not more regulations in dispenceries regarding strength, and better use of oral syringe to calibrate dose. It’s a crap shoot now","1","0.13"
"Why isnt pesticide testing more open for patients. On every label it says it may not meet pesticide standards, gives me more paranoia","1","0.13"
"Will a medical card holder be considered a recreational user?","1","0.13"
"Will prisoners be set free for menial possesses ","1","0.13"
"Will the price of Cannabis come down when the whole US is legal?","1","0.13"
"WILL THE PRICES BE DIFFERENT FOR THE MEDICAL COMMUNITY VS RECREATION","1","0.13"
"Will workshops or info groups be held to provide better explanation of exactly how each component of strains works- lots of us “older” patients really need some help understanding how to pick best strains","1","0.13"
"with all the clinical research being done on this topic why are the really good effects of this plant not talked about more  and then there is the tax issue","1","0.13"
"With continual consumption, will you need to increase amount consumed to receive benefits","1","0.13"
"Would I frequent or use a cannabis cafe? How often would I frequent or use a cannabis cafe?","1","0.13"
"Would I like to be involved in cannabis professionally, because yes I would.","1","0.13"
"Would like to see mandatory cannabinoid and terpenoid profiles on products in order to improve efficacy","1","0.13"
"Would you like more variety in strain6","1","0.13"
"Would you like the price lowered","1","0.13"
"would you like to see more mainstream research studies about the benefits of cannabis?     yes I would","1","0.13"
"Would you prefer to talk to your doctor instead of a bud tender? ","1","0.13"
"You asked about what meds I'm trying to cut back on with cannabis use not what you have replaced with cannabis use. I am now on zero pharmaceuticals and used to be on up to 6 at a time. ","1","0.13"
"You asked them all ","1","0.13"
"You asked them all.","1","0.13"
"You covered everything very thoroughly!","1","0.13"
"You covered it all","1","0.13"
"You didn't ask us about scientific research and how important it is for us to see this on all the cannabis sites and dispensary sites. The results of these studies should be available so we can all learn the facts and dispel the rumors.  ","1","0.13"
"You didn’t ask why I am using medical cannabis. I have PTSD, anxiety and depression. ","1","0.13"
"You got it all that I can think of","1","0.13"
"You guys covered it pretty well","1","0.13"
"You hit everything I can think of right now ","1","0.13"
"you were very thorough. you asked everything.","1","0.13"
"You’ve done very well! ","1","0.13"
