"q67","Which VA do you go to?","n =  299"
"I dont","1","0.33"
"I go to Civilian healthcare","1","0.33"
"I have private insurance. ","1","0.33"
"I still have to check in to the Las Cruces VA, I just moved here a year ago.","1","0.33"
"Indianapolis ","1","0.33"
"Jacksonville FL ","1","0.33"
"Jamaica Plain","1","0.33"
"Jamaica Plain Boston MA","1","0.33"
"Jamaica plains","1","0.33"
"Jamaica Plains","1","0.33"
"James A Haley","1","0.33"
"James A Haley ","1","0.33"
"Jefferson barracks ","1","0.33"
"Jefferson Barracks, MO","1","0.33"
"Jonathan Wainwright VAMC Walla Walla, WA","1","0.33"
"Kalispell","1","0.33"
"Kerrville, TX","1","0.33"
"La Jolla VAMC","1","0.33"
"Lakeland ","1","0.33"
"Leavenworth KS","1","0.33"
"leeds","1","0.33"
"Leeds ","1","0.33"
"LEEDS MA","1","0.33"
"LITTLE ROCK","1","0.33"
"Loma 6","1","0.33"
"Loma linda","1","0.33"
"Long Beach ","1","0.33"
"Maine","1","0.33"
"Malcolm Randall Gainesville Florida ","1","0.33"
"Manchester NH","1","0.33"
"Marion","1","0.33"
"martinsburg","1","0.33"
"Martinsburg, West Virginia","1","0.33"
"Massachusetts VA hospital and clinics ","1","0.33"
"MCGUIRE VA MEDICAL CENTER","1","0.33"
"Minneapolis ","1","0.33"
"Mountain Home","1","0.33"
"Mountain Home TN","1","0.33"
"Mt. Vernon, WA","1","0.33"
"N/a","1","0.33"
"Naples Fl","1","0.33"
"Nashville ","1","0.33"
"Nashville and Mather ","1","0.33"
"Nellis AFB","1","0.33"
"New Philadelphia, Ohio","1","0.33"
"nj","1","0.33"
"None now previously Springfield outpatient","1","0.33"
"None, never explored option","1","0.33"
"Northampton","1","0.33"
"Northampton va medical center ","1","0.33"
"Northampton/Leeds, MA","1","0.33"
"Northhampton, Ma","1","0.33"
"Not sure but it’s in Washington state","1","0.33"
"Oahu","1","0.33"
"OKC ","1","0.33"
"Oklahoma","1","0.33"
"Oklahoma City ","1","0.33"
"Orlando regional","1","0.33"
"Orlando, FL","1","0.33"
"Overton Brooks VA Medical Center ","1","0.33"
"Panama City Beach ","1","0.33"
"Pensacola","1","0.33"
"Pensacola FL ","1","0.33"
"Phoenix","1","0.33"
"Phoenix Va Medical Center","1","0.33"
"Pittsburgh PA","1","0.33"
"Portland","1","0.33"
"Portland ","1","0.33"
"Portland VAMC","1","0.33"
"prefer not to answer","1","0.33"
"Prefer not to answer","1","0.33"
"Prefer not to say","1","0.33"
"Prescott VA Hospital ","1","0.33"
"Prescott, AZ","1","0.33"
"providence","1","0.33"
"Providence ","1","0.33"
"Providence RI","1","0.33"
"Providence, RI","1","0.33"
"Pueblo Colorado","1","0.33"
"Pueblo, CO","1","0.33"
"quincy","1","0.33"
"Rather not answer.","1","0.33"
"Raymond g murphey","1","0.33"
"RI","1","0.33"
"Richmond ","1","0.33"
"Richmond VA","1","0.33"
"Rocky Mountain VAMC","1","0.33"
"Rodabusch Indianapolis Indiana ","1","0.33"
"Saco","1","0.33"
"Saginaw","1","0.33"
"Saginaw Michigan","1","0.33"
"San Francisco","1","0.33"
"Savannah ","1","0.33"
"Seattle ","1","0.33"
"Springfield IL","1","0.33"
"Springfield Massachusetts","1","0.33"
"Stratton","1","0.33"
"Stratton VAMC Albany,  NY","1","0.33"
"test test test test","1","0.33"
"Togus VS in Maine","1","0.33"
"Travis Air Force Base, CA","1","0.33"
"Tripler Hawaii","1","0.33"
"Tulare,CA","1","0.33"
"VA  BostonJamaica Plain","1","0.33"
"VA Bond st Springfield, MA","1","0.33"
"VA Central Western MA","1","0.33"
"VA Jamaica Plain","1","0.33"
"VA Medical Center Boston Jamaica Plain","1","0.33"
"VA Outpatient Clinic, 25 Bond St, Springfield, MA 01104","1","0.33"
"Vegas","1","0.33"
"Viera OPC, Viera FL","1","0.33"
"Vierra, Fl","1","0.33"
"Waco TX","1","0.33"
"Watertown ","1","0.33"
"West Haven, CT","1","0.33"
"West Palm","1","0.33"
"West Palm Beach FL","1","0.33"
"West Roxbury ","1","0.33"
"West Roxbury , Boston, Mass","1","0.33"
"West Roxbury Boston ma","1","0.33"
"West Roxbury, ma","1","0.33"
"West Roxbury, Ma","1","0.33"
"West Virginia ","1","0.33"
"White City, OR (SORCC)","1","0.33"
"Wilmington va","1","0.33"
"worcester","1","0.33"
"Worcester ","1","0.33"
"Worcester CBOC","1","0.33"
"Worcester Ma. outpatient ","1","0.33"
"Worcester VA Clinic","1","0.33"
"yuba city","1","0.33"
"Yuba City, CA Clinic","1","0.33"
