"q67","Which VA do you go to?","n =  515"
"Florence,MA","1","0.19"
"Fort Myers Florida","1","0.19"
"Fredericksburg ","1","0.19"
"Fresno, CA","1","0.19"
"Fresno.. which I will never return to adter they broke my rt collar bone 2 years ago and have covered it up since","1","0.19"
"Ft Worth,  tx","1","0.19"
"Ft. Harrison, MT","1","0.19"
"Ha ha","1","0.19"
"Hammond, La.","1","0.19"
"Hampton, Virginia","1","0.19"
"Harry S Truman VAMC Columbia, MO","1","0.19"
"Havent been in 5 years due to them not doing their jobs. refuse to go back","1","0.19"
"Heavy","1","0.19"
"Hershell Woody. Huntington, va","1","0.19"
"Hilo Hawaii ","1","0.19"
"Hilo, Hawai’i ","1","0.19"
"hospital","1","0.19"
"Houston ","1","0.19"
"HOUSTON ","1","0.19"
"Huntington WV ","1","0.19"
"Huntsville AL","1","0.19"
"Hyannis","1","0.19"
"Hyannis CBOC","1","0.19"
"I'm currently in using a VA","1","0.19"
"I avoid the VA. ","1","0.19"
"I do not go to the VA","1","0.19"
"I do not use the va","1","0.19"
"i don't","1","0.19"
"I don't ","1","0.19"
"I don't and wont","1","0.19"
"I don't use the VA","1","0.19"
"I don't. ","1","0.19"
"I don’t ","1","0.19"
"I don’t go to the va anymore","1","0.19"
"I go to Civilian healthcare","1","0.19"
"I have private insurance. ","1","0.19"
"I still have to check in to the Las Cruces VA, I just moved here a year ago.","1","0.19"
"Jacksonville FL ","1","0.19"
"Jamaica Plain","1","0.19"
"Jamaica Plain ","1","0.19"
"Jamaica Plain and West Roxbury","1","0.19"
"Jamaica Plain Boston MA","1","0.19"
"Jamaica plains","1","0.19"
"Jamaica Plains","1","0.19"
"Jamaica plian","1","0.19"
"James A Haley","1","0.19"
"James A Haley ","1","0.19"
"James Haley","1","0.19"
"Jefferson barracks ","1","0.19"
"Jefferson Barracks, MO","1","0.19"
"Jonathan Wainwright VAMC Walla Walla, WA","1","0.19"
"Jp","1","0.19"
"Juneau He does not approve","1","0.19"
"Kalispell","1","0.19"
"Kerrville, TX","1","0.19"
"La Jolla VAMC","1","0.19"
"Lakeland ","1","0.19"
"Las Vegas","1","0.19"
"Lawton, Ok","1","0.19"
"Leavenworth KS","1","0.19"
"Leed's Northampton MA","1","0.19"
"Leeds ","1","0.19"
"LEEDS MA","1","0.19"
"Leeds Massachusetts ","1","0.19"
"Leeds VA Northampton, Ma","1","0.19"
"Leeds, Springfield OPC","1","0.19"
"LITTLE ROCK","1","0.19"
"Little Rock  AR ","1","0.19"
"Livermore,Palo alto,modesto","1","0.19"
"Loma 6","1","0.19"
"Loma linda","1","0.19"
"Loma Linda","1","0.19"
"Long Beach ","1","0.19"
"Louis Stokes","1","0.19"
"Lynn VA clinic","1","0.19"
"MA","1","0.19"
"Maine","1","0.19"
"Malcolm Randall Gainesville Florida ","1","0.19"
"Manchester NH","1","0.19"
"Manhattan ","1","0.19"
"Marion","1","0.19"
"martinsburg","1","0.19"
"Martinsburg, West Virginia","1","0.19"
"Massachusetts VA hospital and clinics ","1","0.19"
"MCGUIRE VA MEDICAL CENTER","1","0.19"
"Minneapolis","1","0.19"
"Minneapolis ","1","0.19"
"Mountain Home","1","0.19"
"Mountain Home TN","1","0.19"
"MT","1","0.19"
"mt. vernon wa.","1","0.19"
"Mt. Vernon, WA","1","0.19"
"Naples Fl","1","0.19"
"Nashville ","1","0.19"
"Nashville and Mather ","1","0.19"
"Nellis AFB","1","0.19"
"Nevada","1","0.19"
"Never been","1","0.19"
"New Bedford and Providence ","1","0.19"
"New Philadelphia, Ohio","1","0.19"
"Newington ct.","1","0.19"
"Nine","1","0.19"
"NONE","1","0.19"
"None ","1","0.19"
"None now previously Springfield outpatient","1","0.19"
"None, never explored option","1","0.19"
"Nope","1","0.19"
"north carolina","1","0.19"
"North Hampton MA","1","0.19"
"Northampton va medical center ","1","0.19"
"Northampton/Leeds   ","1","0.19"
"Northampton/Leeds, MA","1","0.19"
"Northhampton, Ma","1","0.19"
"Not sure but it’s in Washington state","1","0.19"
"Oahu","1","0.19"
"OKC","1","0.19"
"OKC ","1","0.19"
"Oklahoma","1","0.19"
"Oklahoma City ","1","0.19"
"Orlando regional","1","0.19"
"Orlando, FL","1","0.19"
"Overton Brooks VA Medical Center ","1","0.19"
"Palo alto","1","0.19"
"Panama City Beach ","1","0.19"
"Pensacola","1","0.19"
"Pensacola FL ","1","0.19"
"Philadelphia ","1","0.19"
"Phoenix","1","0.19"
"Phoenix Va Medical Center","1","0.19"
"Phoenix, AZ","1","0.19"
"Pittsburgh ","1","0.19"
"Pittsburgh PA","1","0.19"
"Plymouth, MA Clinic ","1","0.19"
"Portland ","1","0.19"
"Portland VAMC","1","0.19"
"prefer not to answer","1","0.19"
"Prefer not to answer","1","0.19"
"Prefer not to say","1","0.19"
"Prescott VA Hospital ","1","0.19"
"Prescott, AZ","1","0.19"
"Private","1","0.19"
"private dr","1","0.19"
"providence","1","0.19"
"Providence Ri","1","0.19"
"PROVIDENCE RI","1","0.19"
"Providence RI ","1","0.19"
"Providence, RI","1","0.19"
"Pueblo Colorado","1","0.19"
"Pueblo, CO","1","0.19"
"quincy","1","0.19"
"Rather not answer.","1","0.19"
"Raymond g murphey","1","0.19"
"Redding California","1","0.19"
"RI","1","0.19"
"Richmond ","1","0.19"
"Richmond VA","1","0.19"
"Rock Hill","1","0.19"
"Rocky Mountain VAMC","1","0.19"
"Rodabusch Indianapolis Indiana ","1","0.19"
"Rumford","1","0.19"
"Saco","1","0.19"
"Saginaw","1","0.19"
"Saginaw Michigan","1","0.19"
"Salt lake city","1","0.19"
"Salt Lake City","1","0.19"
"San Diego","1","0.19"
"san diego ","1","0.19"
"San Francisco","1","0.19"
"SAVAHCS","1","0.19"
"SE VA in Gilbert,AZ","1","0.19"
"Seattle ","1","0.19"
"Show Low Arizona Clinic","1","0.19"
"Southern Nevada","1","0.19"
"Spokane WA","1","0.19"
"Spokane, WA","1","0.19"
"Springfield","1","0.19"
"Springfield - Bond St","1","0.19"
"Springfield IL","1","0.19"
"Springfield MA","1","0.19"
"Springfield Massachusetts","1","0.19"
"Springfield, Massachusetts","1","0.19"
"Stratton","1","0.19"
"Stratton VAMC Albany,  NY","1","0.19"
"Syracuse ","1","0.19"
"Tampa, FL","1","0.19"
"Tavares Florida","1","0.19"
"Temple Tx","1","0.19"
"test test test test","1","0.19"
"Texas","1","0.19"
"togas","1","0.19"
"Togus VS in Maine","1","0.19"
"Togus/(Caribou is closer)","1","0.19"
"Togus/Bangor","1","0.19"
"Travis Air Force Base, CA","1","0.19"
"Tripler Hawaii","1","0.19"
"Tulare,CA","1","0.19"
"VA  BostonJamaica Plain","1","0.19"
"VA Bond st Springfield, MA","1","0.19"
"VA Central Western MA","1","0.19"
"VA Central Western Massachusetts Healthcare System","1","0.19"
"VA Clinic, North Quincy, MA","1","0.19"
"VA Jamaica Plain","1","0.19"
"VA Leeds/ Vet Center West Springfield, MA","1","0.19"
"VA Medical Center Boston Jamaica Plain","1","0.19"
"VA Nashville ","1","0.19"
"VA Outpatient Clinic, 25 Bond St, Springfield, MA 01104","1","0.19"
"VAMC OKC","1","0.19"
"Vegas","1","0.19"
"Viera OPC, Viera FL","1","0.19"
"Vierra, Fl","1","0.19"
"Waco TX","1","0.19"
"Watertown ","1","0.19"
"West Haven, CT","1","0.19"
"West Los Angeles","1","0.19"
"West Palm","1","0.19"
"West Palm Beach FL","1","0.19"
"west roxbury","1","0.19"
"West Roxbury , Boston, Mass","1","0.19"
"West Roxbury Boston ma","1","0.19"
"West Roxbury VA ","1","0.19"
"West Roxbury VAMC  Massachusetts","1","0.19"
"West Roxbury, ma","1","0.19"
"West Roxbury, Ma","1","0.19"
"West Virginia ","1","0.19"
"Western MA, Leeds and Springfield","1","0.19"
"White City, OR (SORCC)","1","0.19"
"White river junction ","1","0.19"
"Wilkes-Barre Pennsylvania ","1","0.19"
"Wilkes Barre , Pa.","1","0.19"
"Wilmington va","1","0.19"
"Worcester CBOC","1","0.19"
"Worcester Ma.","1","0.19"
"Worcester Ma. outpatient ","1","0.19"
"Worcester VA Clinic","1","0.19"
"Worcester, Boston","1","0.19"
"Yeah, right","1","0.19"
"yuba city","1","0.19"
"Yuba City, CA Clinic","1","0.19"
