"q41","What features are missing from your sources of information that you would like to see included?","n =  877"
"THC amount consistently included. ","1","0.11"
"Thc content ","1","0.11"
"thc level","1","0.11"
"THC levels on products","1","0.11"
"The deals","1","0.11"
"The dispensary I got to the bud tenders just seem like sales people would be nice to sit with someone come up with a plan to treat a couple medical condition w each strain . Instead of just walking up to counter an just purchasing  any strain.","1","0.11"
"There is SO much information out there hard to say","1","0.11"
"There is too much contradictory information.","1","0.11"
"They claim that every single strain is the BEST","1","0.11"
"tours of your grow shop","1","0.11"
"trichure drops","1","0.11"
"Trusted reviews","1","0.11"
"Type of buds in product ","1","0.11"
"unkown","1","0.11"
"Unsure","1","0.11"
"Up to date menus","1","0.11"
"Upcoming technologies and smoking methods","1","0.11"
"Updated menu and pricing","1","0.11"
"Updated menus","1","0.11"
"Updated menus on line","1","0.11"
"Usage instructions","1","0.11"
"Use of pesticides ","1","0.11"
"visual infographics and recommendations based on past likes/favorites + sale alerts :)","1","0.11"
"Ways  to vape flower.","1","0.11"
"were are discounts","1","0.11"
"What exactly works for certain chronic pain and exact doses.","1","0.11"
"What its good for","1","0.11"
"what the rso is made with ","1","0.11"
"What time of day to use cannabis because of strain","1","0.11"
"What to avoid","1","0.11"
"What type of ailments, diseases each strain treats","1","0.11"
"When a specific dispensary comes up with a name or one that is just from their company, they do not tell you about it on any website since it is specific to them","1","0.11"
"When the flower that ran out. When it will be available again","1","0.11"
"Where I can get certain products and cost","1","0.11"
"Where it comes from. ","1","0.11"
"Where it was grown? How is it grown differently for different effects? ","1","0.11"
"Where to buy","1","0.11"
"Where to buy isn’t always updated or available","1","0.11"
"Where to find the strain most liked","1","0.11"
"Where to get items not available locally to me ","1","0.11"
"Where to get the different strains that are reviewed","1","0.11"
"Who has what in stock","1","0.11"
"why is the dry and cure process not documented anywhere?","1","0.11"
"Will company sell seeds of strains they sell?","1","0.11"
"word clouds from user reviews","1","0.11"
"Workplace ","1","0.11"
"would like all advertised product to include CBD and Terps percentage","1","0.11"
"Would like to move away from the silly strain names.","1","0.11"
"WOULD LIKE TO SEE ANN CBD AND THC % LISTED ON ALL WEBSITES","1","0.11"
