"q52","What questions regarding cannabis did we not ask that are important to you?","n =  538"
"Did you ask about terpene testing or was I just on my soapbox? If you want to gather more good information, add more fill-in boxes. ie. #53-54. I used recreationally when younger, but not much at all as a parent. Then I 'recreated' one evening after developing fibromyalgia and realized this is medicine! Now I use medicinally, and recreate on the occasional weekend. Much prefer cannabis to alcohol. I've done a lot of research & experimentation on it, and enjoy sharing that knowledge with friends and family. Taught a mature friend to smoke for the first time in her life. She now legally consumes regularly to significantly improve her fibro symptoms so she can keep working. Thank you for allowing me to participate in a medicinal cannabis survey without the prerequisite of medicating legally!","1","0.19"
"Dispensary employees need to understand which terpenes are good for different ailments.  ","1","0.19"
"Do I prefer cannabis over pharmaceuticals?   Hell yes!","1","0.19"
"Do you know the dosage recommended to treat patient ailment based on patient profile and symptoms. (NO).  Is cannabis treatment resolving the targetted medical issue? (Not yet, small glimmer of resolution, but too much trial and error on dosing and no real answers from previous practices to follow).","1","0.19"
"Do you think Medical Doctors need education related to marijuana ","1","0.19"
"Do you think the individual states with legalized cannabis will get over their greed and cut taxes?","1","0.19"
"Does cannabis affect your medical condition?","1","0.19"
"Does it matter to you if it’s grown organically ","1","0.19"
"Does your local dispensary provide currant lab test results including mold and pesticide levels ","1","0.19"
"Don't have any right now","1","0.19"
"Don't have any.","1","0.19"
"Don’t know ","1","0.19"
"Dont know","1","0.19"
"Dosage and type of cannabis for lung cancer that is NED ( no evidence detected)","1","0.19"
"dosing","1","0.19"
"Dosing schedules ","1","0.19"
"dunno, like I said earlier, I'm just exploring this","1","0.19"
"Ease of access. I smoke whatever is easiest for me to access","1","0.19"
"ease of getting license","1","0.19"
"Education is important.  What are some areas that new patients require to be able to make their own medications?","1","0.19"
"Education programs on growing and juicing. ","1","0.19"
"effect on mood","1","0.19"
"effect on prices and illegal pot vs pharma","1","0.19"
"Federal vs State law issues, including banking","1","0.19"
"Feeling about legalisation ","1","0.19"
"Financial burden having to pay out of pocket for my medicine","1","0.19"
"Flavor importance","1","0.19"
"Future of medical marijuana","1","0.19"
"Good job. Thanks ","1","0.19"
"Has cannabis usage lowered my physical pain?","1","0.19"
"Have you mentioned cannabis to your doctor and if so what was the response.  OR  What are you thoughts on talking to your healthcare provider about using medical cannabis as a treatment option?","1","0.19"
"Help us to be aware of legislation that needs our attention for cannabis legalization.","1","0.19"
"Hemp relation","1","0.19"
"Home test cheap enough to use","1","0.19"
"How are people with MS, Parkinson’s, etc being taught how to use","1","0.19"
"How are we going to make cannabis available to everyone for medicine, not just those with money. It seems like the industry is getting just as greedy as big pharma with lots of people out for a buck","1","0.19"
"How are you concerned about negative health risks associated with cannabis?","1","0.19"
"how can I grow clean plants for my own use when I don't have a green thumb?","1","0.19"
"How can it be made available to people of less means? I work inner city, and come across many poor people who would benefit but cannot due to cost.","1","0.19"
"How can one know they will not get bad pot? Meaning pot laced w something dangerous and deadly. ","1","0.19"
"How can we move from stigma to real science and mainstream medicine?","1","0.19"
"How can we promote more scientific research into the use and effects of cannabis?","1","0.19"
"How difficult (or easy) is it to find a medical health professional who can advise / prescribe medical cannabis?  ","1","0.19"
"How do I determine the correct dosage to cure my chemo related nausea.","1","0.19"
"HOW DO I FEEL ABOUT PAYING SO MUCH!!!!!","1","0.19"
"How do I get my cannabis product:  If I do not get my cannabis in the dispensary, how and where do I get it.   How many online dispensaries do I get my cannabis from.  do I have it shipped from out of state.","1","0.19"
"How do you feel about legalizing marijuana for recreational use","1","0.19"
"How does cannabis improve healing beyond just consuming it.","1","0.19"
"How easy is it to access cannabis in your area?","1","0.19"
"How easy is it to get a Green Card for use of marijuana?","1","0.19"
"How happy it makes me :)","1","0.19"
"How important is cannabis in terms of quality of life","1","0.19"
"How important is it that you have consistent access to your favorite strain?","1","0.19"
"how important is it to have a physician/care giver monitor and prescribe cannabis for your treatment.","1","0.19"
"How long does effects last.","1","0.19"
"How long have been using","1","0.19"
"how long have I smoked cannabis","1","0.19"
"How many years have you had your mmj certification for?","1","0.19"
"How much is the right price","1","0.19"
"How often and how much","1","0.19"
"How old are you? When did you receive your mmj certification?","1","0.19"
"how people can trust varying test results from different labs and are dispensaries properly labeling products.","1","0.19"
"How this would affect pharmaceutical companies if pass fedderly.","1","0.19"
"How to determine mg of product and how much to take","1","0.19"
"How to grow in home and where to get seeds and starter plants","1","0.19"
"how to improve the dosage to improve the health benefits","1","0.19"
"How to keep away from children","1","0.19"
"How to maintain supply of favorite strains.","1","0.19"
"How to make delivery more convenient.dispenseries have different strains, maybe to far to travel to","1","0.19"
"How we felt about the need for credible research to be done, so that we would have a better idea of proper dosages and administration.   (I feel this is incredibly important!)","1","0.19"
"How well canvas works for you","1","0.19"
"How will the money that the pot industry is projected to generate, which is billions of dollars, affect the quality of the product, the quality of the individuals providing it and the product's availability?","1","0.19"
"How will this survey help with the stigma of cannabis; how will this assist with cannabis being recognized as an alternative to opioids for pain medication. ","1","0.19"
"How will you flush out those who are taking advantage of the market with crap product","1","0.19"
"How would I like to see central testing and certification of cannabis products.","1","0.19"
"Hybrid strain info","1","0.19"
"I'd like to know about what age people think it is best to start use on a regular basis","1","0.19"
"I'm good ","1","0.19"
"I am curious about the best time to consume edibles- before, after or during meals.","1","0.19"
"I am really concerned that there is insufficient training among Clinic and Licensed Provider staff to adequately coach patients about which products will work best for their condition.  Here, we are offered (oils) CBD, THC, 1:1 ; without looking at terpenes.  I have found a vast difference from one LP to another.  One CBD product worked beautifully and the other, not at all.","1","0.19"
"I am very interested in how dispensaries will handle medical and recreational. For example I have heard of separate lines and guaranteed inventory for medical card holders. So I am interested in how recreational legalization will affect my experience as a medical card holder.","1","0.19"
"I can't think of any at this time","1","0.19"
"I can't think of anything","1","0.19"
"I can't think of one at the moment.","1","0.19"
"I can’t think of anything, at this time.","1","0.19"
"I can’t tolerate THC, I have hallucinations, anxiety, it’s horrible. In the 70’s I tried smoking pot and I came to conclusion that it wasn’t for me.","1","0.19"
"I don't know. It should not be a crime anywhere to use the only medicine that is known to help your condition, like Alzheimer's. It's terribly scary to not know where you are.","1","0.19"
"I don’t have any questions .","1","0.19"
"I don’t have more?","1","0.19"
"I don’t know. ","1","0.19"
"I have none at this time","1","0.19"
"I smoked recreationally when I was younger. Now, I'd like to see more newbie education","1","0.19"
"I think the medical card should last more than a year. I have gotten off Fentanyl with the use of CBD and THC. I do have belly pain though from the Whipple Surgery","1","0.19"
"I think you've got it","1","0.19"
"I think you covered it well.","1","0.19"
"I think you covered them","1","0.19"
"I think you covered them all.","1","0.19"
"I would like more info on dosing to achieve maximum results for different conditions. ","1","0.19"
"I would like to get more specific about the prices, availability, and certain dispensories.","1","0.19"
"I would like to know how we can lower the price enough to allow me to not have to ration it. I might be able to lower my opiods if I could actually afford to buy the amount I really need.","1","0.19"
"I would like to see questions regarding how long it took to get to a therapeutic level and also if people are using it for their pets and what effect it has had.","1","0.19"
"I would love to know how to refine dosing and strains for my particular issues. ","1","0.19"
"I’m good ","1","0.19"
"If legal - is there an age limit?  What about teens in other states?  ","1","0.19"
"If there will ever be federally recognized as medically needed form of treatment covered under insurances. Would love to see more affordable pricing at dispensary for those with conditions as states move forward to legalizing use for all. ","1","0.19"
"im good","1","0.19"
"Insurance coverage of cannabis  Medical benefits from cannabis","1","0.19"
"Interstate use amongst medical patients. State reciprocation","1","0.19"
"Is it a legal State","1","0.19"
"is medical cannabis tax deductible?  Dosing and entourage effect?","1","0.19"
"Is there a limit of time to use Medical Cannabis. ","1","0.19"
"Issues concerning home growing including buying seeds, landlord restrictions, regulations, etc","1","0.19"
"it's important to be able discuss use with MD and get advice, most are either judgmental or don't know about interactions or how to avoid them with other meds","1","0.19"
"It's not which questions, it's just that some of you multiple choice didn't have a correct choice among the selections for my situation. I am a disabled semi-shut in with little use experience. ","1","0.19"
"It wasn't asked but I would like to know about efforts to increase quality of products available.","1","0.19"
"Lab testing for pesticides. Why did the majority of dispensaries in California they all their pesticide testing? How many dispensaries in Massachusetts would feel their pesticide testing? We are told there are no pesticides on the cannabis. Yet, my allergies flare up severely after medicating sometimes.","1","0.19"
"Law","1","0.19"
"Laws and legality","1","0.19"
"Long term Brain health in cannabis users","1","0.19"
"Long term effects from smoking ","1","0.19"
"medical use by minors","1","0.19"
"More emphasis on relationship between the person recommending what to use and the consumer.","1","0.19"
"More information on how to take edibles like how much and how to use some types of edible cannibus that I'm not familiar with. ","1","0.19"
"More self medication, outside controlled use.","1","0.19"
"My doctor had already answered all the key questions. He's very good. We need more doctors in pain management.","1","0.19"
"My dosage is so low that it doesn't interfere with normal life in any way. How many people use it like that?","1","0.19"
"n/a   you did a good job","1","0.19"
"n\a","1","0.19"
"na","1","0.19"
"NC","1","0.19"
"Need more info on specific strains. Need more info on strains used in tinctures. More feedback from users or studies on all products","1","0.19"
"New methods for producing better concentrated ","1","0.19"
"No clue","1","0.19"
"No e","1","0.19"
"No idea","1","0.19"
"no questions at this time","1","0.19"
"noen","1","0.19"
"Non that I can think of","1","0.19"
"none ","1","0.19"
"none  ","1","0.19"
"None  ","1","0.19"
"None come to mind ","1","0.19"
"None I can see.","1","0.19"
"none I can think of at this time","1","0.19"
"None I love to learn as much as I can","1","0.19"
"None thanks ","1","0.19"
"none that I can think of","1","0.19"
"none that I can think of at this time","1","0.19"
"None that I can think of.","1","0.19"
"None that I can think of. Came back to redo answer. In the questions that follow, under education, you ask only about high school and college, but not trade school.","1","0.19"
"None, covered all bases","1","0.19"
"None, thank you for conducting this research","1","0.19"
"None, that I can think of.","1","0.19"
"None.  I'm no expert.","1","0.19"
"none. I need to do some research on my own","1","0.19"
"None. My biggest concern is young kids access to cannabis","1","0.19"
"nonw","1","0.19"
"Not at this time","1","0.19"
"Not really  ","1","0.19"
"not sure ","1","0.19"
"Not sure ","1","0.19"
"Not sure if anything is missing","1","0.19"
"not sure.","1","0.19"
"Not sure.","1","0.19"
"nothing comes to mind at the moment.","1","0.19"
"Nothing I can think of, thanks","1","0.19"
"Nothing,you covered everything..more or less i think.","1","0.19"
"Nothing.","1","0.19"
"perhaps what other clever marketing ideas could we come up with to expose the safety and health benefits of this plant. My passion is veterans/PTSD, and Autism.  The public wants to jump on the Hemp CBD oil bandwagon they completely miss the fact we need to focus on legalizing THC medically and permanently. ","1","0.19"
"Price","1","0.19"
"purchasing not in dispensary what are the rules ","1","0.19"
"Quantification of the many factors listed above. I realize that it would take large, expensive clinical trials to get precise estimates of the effects, but maybe a survey like this could be a start.","1","0.19"
"Questions about CBD:THC ratio.    ","1","0.19"
"Real data that will provide info on specific strains for various chronic medical conditions","1","0.19"
"Regarding cannabis use as neither ""social"" or ""medicinal"" but rather ""nutritional"" (as God intended).  Plus many of your answer sets are not appropriate for micro-dosers.","1","0.19"
"Regarding research","1","0.19"
"Relief of pain profile","1","0.19"
"Reporting of terpene profiles.","1","0.19"
"Risk involved","1","0.19"
"separation of medical sales and recreational sales","1","0.19"
"Should cannabis be made legal nationally.","1","0.19"
"Should the Federal Government reclassify marijuana? Yes ","1","0.19"
"Social consumption issues are very important.","1","0.19"
"Some of my daily usage is taking edible CBD.  Perhaps some differentiating between CBD and THC use.","1","0.19"
"Stigma","1","0.19"
"Still waiting for shops to open ","1","0.19"
"Strain types","1","0.19"
"Taste","1","0.19"
"taxes and pricing and classification news","1","0.19"
"Testing regulations. Offering Certificate of Authenticity and safety","1","0.19"
"Testing, to assure clean, safe product.  Knowledge of exactly what is in strain, terpine profile.","1","0.19"
"that I make my own brownies and candies ","1","0.19"
"the bases were pretty much covered","1","0.19"
"The benefits of vape vs. Smoking cannabis","1","0.19"
"The different ways to cook with cannabis","1","0.19"
"The importance of decarboxilation of weed prior to making oil/butter.","1","0.19"
"The problem with survey is many questions are not applicable for someone who grows their own. You need to add a ""not applicable"" option to many questions.","1","0.19"
"There did not seem to be a category for short term use.  I am using it for post surgical recovery as has several of my friends.  ","1","0.19"
"There needs to be science based research on the efficacy of cannabis and pain relief, so dosing and strain choices can be made intelligently. ","1","0.19"
"There should have been a response in the ""work"" section that would indicate ""retirement""; I couldn't answer those questions accurately due to being retired.","1","0.19"
"These are good. ","1","0.19"
"These questions are made for those in states where cannabis is legal.  There should have been answer-choices for those of us to who do not have dispensaries or bud tenders","1","0.19"
"thought you wanted to know more about my smoking","1","0.19"
"To new","1","0.19"
"Too many questions ","1","0.19"
"Training...how important is it to be certified as a cannabis consultant.","1","0.19"
"Unknown ","1","0.19"
"US can’t classify an illegal substance organic so that conversation seems irrelevant as it doesn’t currently exist. Ya know? ","1","0.19"
"Use before medical marijuana became legal in my state.","1","0.19"
"Very clear questions ","1","0.19"
"We do not have dispensaries in the uk  I rely on a good source to buy it illegally ","1","0.19"
"We need better discounts for the medically disabled","1","0.19"
"What actions can citizens using medicinal marijuana products do to improve access to products?","1","0.19"
"What are the 3-5 most helpful questions to ask a cannabis sales person when first getting started using cannabis?","1","0.19"
"What are the long-term affects of medical marijuana?","1","0.19"
"What are the long term affects of using?","1","0.19"
"What are you doing to legalize cannabis on a national level?","1","0.19"
"What do I think about how federal legalization of medical cannabis will affect pharmacutical companies? The medical community says there's no value, but have a CBD seizure med coming out on the market. Isn't that ironic?","1","0.19"
"What do people do when they travel or live in other countries with respect to Cannabis.","1","0.19"
"what effects does it have on cancer","1","0.19"
"What effects have helped and from which product. (medical).","1","0.19"
"What I have used to heal certain medical conditions","1","0.19"
"What is being done to educate medical students?","1","0.19"
"what is healthiest ingestion technique","1","0.19"
"What options are available for those living in non legal states","1","0.19"
"What state I'm in.  Not legal here.","1","0.19"
"When did I start using it","1","0.19"
"When is the medical industry going to accept this so we can have insurance cover it and not pay retail the rest of our life?","1","0.19"
"When were you introduced?","1","0.19"
"when will it be rec legal in NY","1","0.19"
"When will Medicare and medicaid cover the cost?","1","0.19"
"WHENS PRICE COMING DOWN ONLY PROBLEM I HAVE!!!","1","0.19"
"Where can I reliably get feminized seeds?  Will they be carried at a dispensary?","1","0.19"
"Where can one find a reliable expert to prescribe cannabis for specific ailments.","1","0.19"
"Where is best place to buy!","1","0.19"
"Why do I use the strains I prefer?","1","0.19"
"Why do we not have the same laws for alcohol that we do for marijuana","1","0.19"
"Why does my drivers license get scanned as a medical user? I believe that a database is being built to give probable cause to search my vehicle in any future traffic stops. Hippa ","1","0.19"
"why is it taking so long for stores to open- it was voted on","1","0.19"
"Why is the state taking so long","1","0.19"
"Why is there not more regulations in dispenceries regarding strength, and better use of oral syringe to calibrate dose. It’s a crap shoot now","1","0.19"
"WHY IS THIS ONLY USA RELATED","1","0.19"
"Will a medical card holder be considered a recreational user?","1","0.19"
"Will I purchase cannabis at a retail site when there are long-established means to purchase via other means?  ","1","0.19"
"Will medical cannabis ever be covered by prescription insurance?","1","0.19"
"Will prisoners be set free for menial possesses ","1","0.19"
"Will the price of Cannabis come down when the whole US is legal?","1","0.19"
"WILL THE PRICES BE DIFFERENT FOR THE MEDICAL COMMUNITY VS RECREATION","1","0.19"
"Will workshops or info groups be held to provide better explanation of exactly how each component of strains works- lots of us “older” patients really need some help understanding how to pick best strains","1","0.19"
"with all the clinical research being done on this topic why are the really good effects of this plant not talked about more  and then there is the tax issue","1","0.19"
"Would I like to be involved in cannabis professionally, because yes I would.","1","0.19"
"Would you like cannabis to be allowed in nursing homes and assisted living. For elderly ","1","0.19"
"would you like to see more mainstream research studies about the benefits of cannabis?     yes I would","1","0.19"
"Would you prefer to talk to your doctor instead of a bud tender? ","1","0.19"
"you asked them all","1","0.19"
"You did good","1","0.19"
"You didn't ask us about scientific research and how important it is for us to see this on all the cannabis sites and dispensary sites. The results of these studies should be available so we can all learn the facts and dispel the rumors.  ","1","0.19"
"You got it all that I can think of","1","0.19"
"you got them all","1","0.19"
