"q67","Which VA do you go to?","n =  371"
"Corpus Christi, Texas ","1","0.27"
"Davenport, IA ","1","0.27"
"Dayton VAMC","1","0.27"
"DC VAMC","1","0.27"
"Denver & Golden","1","0.27"
"Detroit","1","0.27"
"do not go to va","1","0.27"
"Do not go to va","1","0.27"
"do not use va","1","0.27"
"don't","1","0.27"
"Don't ","1","0.27"
"Don't go to VA","1","0.27"
"Don’t ","1","0.27"
"Dorn VA - Columbia, SC","1","0.27"
"Dorn VA in Columbia, SC","1","0.27"
"Downtown Los Angeles ","1","0.27"
"Dublin, Ga.","1","0.27"
"Durham and Raleigh NC","1","0.27"
"Edith Nourse Hospital, Bedford, MA","1","0.27"
"El Paso","1","0.27"
"El Paso, TX","1","0.27"
"Evansville ","1","0.27"
"Fayetteville AR","1","0.27"
"Fitchburg","1","0.27"
"Fitchburg Outpatient Clinic","1","0.27"
"Florence,MA","1","0.27"
"Fort Myers Florida","1","0.27"
"Fredericksburg ","1","0.27"
"Fresno, CA","1","0.27"
"Fresno.. which I will never return to adter they broke my rt collar bone 2 years ago and have covered it up since","1","0.27"
"Ft Worth,  tx","1","0.27"
"Ft. Harrison, MT","1","0.27"
"Hammond, La.","1","0.27"
"Hampton, Virginia","1","0.27"
"Havent been in 5 years due to them not doing their jobs. refuse to go back","1","0.27"
"Hershell Woody. Huntington, va","1","0.27"
"Hilo, Hawai’i ","1","0.27"
"Houston ","1","0.27"
"HOUSTON ","1","0.27"
"Hyannis","1","0.27"
"Hyannis CBOC","1","0.27"
"I'm currently in using a VA","1","0.27"
"I do not go to the VA","1","0.27"
"I do not use the va","1","0.27"
"I don't","1","0.27"
"I don't ","1","0.27"
"I don't and wont","1","0.27"
"I don't use the VA","1","0.27"
"I don't. ","1","0.27"
"I don’t ","1","0.27"
"I don’t go to the va anymore","1","0.27"
"I have private insurance. ","1","0.27"
"I still have to check in to the Las Cruces VA, I just moved here a year ago.","1","0.27"
"Indianapolis ","1","0.27"
"Jacksonville FL ","1","0.27"
"Jamaica Plain","1","0.27"
"Jamaica Plain ","1","0.27"
"Jamaica Plain and West Roxbury","1","0.27"
"Jamaica Plains","1","0.27"
"Jamaica plian","1","0.27"
"James A Haley","1","0.27"
"James Haley","1","0.27"
"Jefferson Barracks, MO","1","0.27"
"Jonathan Wainwright VAMC Walla Walla, WA","1","0.27"
"Jp","1","0.27"
"Juneau He does not approve","1","0.27"
"Kalispell","1","0.27"
"Kerrville, TX","1","0.27"
"La Jolla VAMC","1","0.27"
"Lawton, Ok","1","0.27"
"Leed's Northampton MA","1","0.27"
"Leeds ","1","0.27"
"LEEDS MA","1","0.27"
"Leeds Massachusetts ","1","0.27"
"Leeds VA Northampton, Ma","1","0.27"
"Leeds, MA","1","0.27"
"Leeds, Springfield OPC","1","0.27"
"LITTLE ROCK","1","0.27"
"Loma linda","1","0.27"
"Loma Linda","1","0.27"
"Long Beach ","1","0.27"
"Louis Stokes","1","0.27"
"Lynn VA clinic","1","0.27"
"MA","1","0.27"
"Maine","1","0.27"
"Manchester","1","0.27"
"Manchester, NH","1","0.27"
"martinsburg","1","0.27"
"Martinsburg, West Virginia","1","0.27"
"Massachusetts VA hospital and clinics ","1","0.27"
"MCGUIRE VA MEDICAL CENTER","1","0.27"
"Minneapolis","1","0.27"
"Minneapolis ","1","0.27"
"Mountain Home","1","0.27"
"Mountain Home TN","1","0.27"
"MT","1","0.27"
"mt. vernon wa.","1","0.27"
"Mt. Vernon, WA","1","0.27"
"N/a","1","0.27"
"Nashville ","1","0.27"
"Nellis AFB","1","0.27"
"Nevada","1","0.27"
"New Bedford and Providence ","1","0.27"
"New Philadelphia, Ohio","1","0.27"
"Newington ct.","1","0.27"
"Newington, CT","1","0.27"
"Nine","1","0.27"
"NONE","1","0.27"
"None ","1","0.27"
"None now previously Springfield outpatient","1","0.27"
"Nope","1","0.27"
"north carolina","1","0.27"
"Northampton/Leeds, MA","1","0.27"
"Northhampton, Ma","1","0.27"
"Not sure but it’s in Washington state","1","0.27"
"OKC ","1","0.27"
"Oklahoma","1","0.27"
"Oklahoma City ","1","0.27"
"Orlando regional","1","0.27"
"Orlando, FL","1","0.27"
"Overton Brooks VA Medical Center ","1","0.27"
"Palo alto","1","0.27"
"Pensacola","1","0.27"
"Pensacola FL ","1","0.27"
"Philadelphia ","1","0.27"
"Phoenix","1","0.27"
"Phoenix Va Medical Center","1","0.27"
"Phoenix, AZ","1","0.27"
"Pittsburgh ","1","0.27"
"Pittsburgh PA","1","0.27"
"Plymouth, MA Clinic ","1","0.27"
"Portland ","1","0.27"
"Portland VAMC","1","0.27"
"prefer not to answer","1","0.27"
"Prefer not to answer","1","0.27"
"Prefer not to say","1","0.27"
"Prescott VA Hospital ","1","0.27"
"Private","1","0.27"
"providence","1","0.27"
"Providence Ri","1","0.27"
"Providence RI ","1","0.27"
"Providence, RI","1","0.27"
"Pueblo Colorado","1","0.27"
"Pueblo, CO","1","0.27"
"quincy","1","0.27"
"Rather not answer.","1","0.27"
"Redding California","1","0.27"
"RI","1","0.27"
"Richmond ","1","0.27"
"Richmond VA","1","0.27"
"Saco","1","0.27"
"Saginaw","1","0.27"
"Saginaw Michigan","1","0.27"
"San Diego","1","0.27"
"San Francisco","1","0.27"
"SAVAHCS","1","0.27"
"SE VA in Gilbert,AZ","1","0.27"
"Show Low Arizona Clinic","1","0.27"
"Southern Nevada","1","0.27"
"Spokane WA","1","0.27"
"Spokane, WA","1","0.27"
"Springfield","1","0.27"
"Springfield - Bond St","1","0.27"
"Springfield Ma","1","0.27"
"Springfield Massachusetts","1","0.27"
"Springfield, Massachusetts","1","0.27"
"Stratton","1","0.27"
"Stratton VAMC Albany,  NY","1","0.27"
"Syracuse ","1","0.27"
"Tampa, FL","1","0.27"
"Temple Tx","1","0.27"
"Texas","1","0.27"
"togas","1","0.27"
"Togus VS in Maine","1","0.27"
"Togus/(Caribou is closer)","1","0.27"
"Togus/Bangor","1","0.27"
"Tripler Hawaii","1","0.27"
"Tulare,CA","1","0.27"
"VA  BostonJamaica Plain","1","0.27"
"VA Bond st Springfield, MA","1","0.27"
"VA Central Western MA","1","0.27"
"VA Central Western Massachusetts Healthcare System","1","0.27"
"VA Jamaica Plain","1","0.27"
"VA Leeds/ Vet Center West Springfield, MA","1","0.27"
"VA Medical Center Boston Jamaica Plain","1","0.27"
"VA Nashville ","1","0.27"
"VA Outpatient Clinic, 25 Bond St, Springfield, MA 01104","1","0.27"
"VAMC OKC","1","0.27"
"Vierra, Fl","1","0.27"
"Watertown ","1","0.27"
"West Haven, CT","1","0.27"
"West Los Angeles","1","0.27"
"West Palm","1","0.27"
"West Palm Beach FL","1","0.27"
"west roxbury","1","0.27"
"West Roxbury","1","0.27"
"West Roxbury, Ma","1","0.27"
"Western MA, Leeds and Springfield","1","0.27"
"White City, OR (SORCC)","1","0.27"
"White river junction ","1","0.27"
"Wilkes-Barre Pennsylvania ","1","0.27"
"Wilkes Barre , Pa.","1","0.27"
"worcester","1","0.27"
"Worcester ","1","0.27"
"Worcester CBOC","1","0.27"
"Worcester MA","1","0.27"
"Worcester VA Clinic","1","0.27"
"Worcester, Boston","1","0.27"
"Worcester, MA","1","0.27"
"Yeah, right","1","0.27"
"Yuba City, CA Clinic","1","0.27"
