"q41","What features are missing from your sources of information that you would like to see included?","n =  702"
"information about other cannabinoids ","1","0.14"
"Information on breastfeeding/pregnancy","1","0.14"
"ingredients in everything! including papers on pre-rolls, which can have corn and gluten in them. Severe food allergies. Also, list pesticide and chemicals used on the plants. The use of non organic practices must be transparent, and there is also a concern with allergies to these chemicals.","1","0.14"
"Jo","1","0.14"
"Lab test results for various producers","1","0.14"
"Latest dispensary list","1","0.14"
"Leafly covers my needs very well","1","0.14"
"Legality!!!","1","0.14"
"Legitimate pictures, the ones on Leafly are uploaded by anyone and could be any strain. Detailed description of effects","1","0.14"
"Length of store operation ","1","0.14"
"less emphasis on strain name and more emphasis and transparency re terpene profile","1","0.14"
"Let me buy direct from them ","1","0.14"
"Lists of local doctors","1","0.14"
"Local Cannabis news","1","0.14"
"Local caregivers ancillary businesses social clubs community host agreements ","1","0.14"
"local city by city news","1","0.14"
"Local grower information to keep up with new strains.","1","0.14"
"Local prices","1","0.14"
"Local pricing and availability","1","0.14"
"locally specific","1","0.14"
"Log journal entries","1","0.14"
"Lower weed prices","1","0.14"
"Massachusetts Delivery Services","1","0.14"
"medical applications of strains","1","0.14"
"Medical benefits ","1","0.14"
"medical benefits of each strain","1","0.14"
"Medical indications and contraindications","1","0.14"
"medical info and attributes, chemical breakdown of strain","1","0.14"
"Menu and sometimes prices","1","0.14"
"Molecular break down. ","1","0.14"
"More about wellness","1","0.14"
"More accurate lab results and higher TAC","1","0.14"
"More accurate search for strains, lifestyle stories, etc...","1","0.14"
"More advanced education for medical professionals","1","0.14"
"More ailments listed to pair with a strain. ","1","0.14"
"More articles on small time growing for your windows","1","0.14"
"More balanced research, broader research ","1","0.14"
"More cannabinoid detail","1","0.14"
"More clinical studies","1","0.14"
"More clinical study links","1","0.14"
"More comprehensive reviews, locations to obtain","1","0.14"
"More concrete scientific information. ","1","0.14"
"more consumer input","1","0.14"
"More detail on terpenes, genomics, science","1","0.14"
"more detailed information on the effects of all the different strains","1","0.14"
"More detailed strain information ","1","0.14"
"More direct brand patients education, facility tours and manufacturing processes, more education from testing labs","1","0.14"
"More explanation about the product. Web pages are very vague","1","0.14"
"more exposure on twitter","1","0.14"
"More fear nformation on benefits of cannabis","1","0.14"
"more grow tips","1","0.14"
"More growing and management information ","1","0.14"
"More impartial science","1","0.14"
"More info on concentrates","1","0.14"
"more info on growing specific strains","1","0.14"
"More info on how different cannabinoids interact with one another.","1","0.14"
"More info on individual terpenes","1","0.14"
"More info on tinctures and edible use ","1","0.14"
"more info on what the strain is good for (anxiety, depression, etc)","1","0.14"
"More information about how the ECS really works and how different strain profiles will interact with it.","1","0.14"
"More information on becoming more politically involved in the legalization process.","1","0.14"
"more information on cost","1","0.14"
"More information on supporting cannabinoids and terpenes. Most seem to focus on THC content, and according to a recent study THC (like opiates) only distracts you from pain. ","1","0.14"
"More information on what works best for specific medical issues/diagnosis from survey of other patients","1","0.14"
"more lab reports and analysis of cannabinoid profiles in every strain, the reliability of strains from state-to-state, some standardization of cannabinoid profiles and effects for treating various conditions","1","0.14"
"More local resources","1","0.14"
"More local reviews of product ","1","0.14"
"More local search results","1","0.14"
"More locally relevant information. Most don't update their menus often or prices. ","1","0.14"
"More medical info. Like the basic fact that CBD can interact with other drugs and meds. And how chemo patients have got to check with someone they know knows!","1","0.14"
"More medical research results info","1","0.14"
"More news articles","1","0.14"
"More personal reviews ","1","0.14"
"More personal reviews and a legit dr help section with more factual medicinal based articles","1","0.14"
"More personal stories from patients about their experiences treating certain ailments with certain products","1","0.14"
"More pictures ","1","0.14"
"More scientific info regarding terpenoids ","1","0.14"
"More scientific literature, reliable sources ","1","0.14"
"more scientific research studies","1","0.14"
"more scientific sources","1","0.14"
"More specials listed menu  updates more frequently ","1","0.14"
"More specifics of what products are testing at","1","0.14"
"More strain variety and more cannabinoid information.","1","0.14"
"More strains from my area","1","0.14"
"more studies and scientific findings and information on medical use of marijuana ","1","0.14"
"More up-to-date research on the enndocannabanoid system; more diesease/theraputic specific information (e.g., x, y, z strains are good at treating depression becuase of this specifc categoristic)","1","0.14"
"More updated info at times","1","0.14"
"More updated information","1","0.14"
"More updated menu's","1","0.14"
"More user reviews","1","0.14"
"More workshops on site of dispensaries. Detailed in-depth information is often missing. I find a lot of articles that are dumbed down. That’s helpful when I was new but I’d like to learn more in-depth info that seems to lack. ","1","0.14"
"n.a","1","0.14"
"N.a","1","0.14"
"N/a I don't read much on strain information","1","0.14"
"N/A, Just waiting for the government to catch up.","1","0.14"
"n\a","1","0.14"
"NA ","1","0.14"
"No idea ","1","0.14"
"No one","1","0.14"
"Nome","1","0.14"
"Non","1","0.14"
"NONE","1","0.14"
"None - again, this question shouldn't be required. I don't have a bud tender or whatever either. I really don't dig into it that much. ","1","0.14"
"none at the moment ","1","0.14"
"None I know of ","1","0.14"
"None identified","1","0.14"
"None really ","1","0.14"
"None really; Leafly reviews are pretty thorough","1","0.14"
"None that I can tell","1","0.14"
"none that I can think of","1","0.14"
"Not 100% sure on that one at the moment ","1","0.14"
"not all strains present","1","0.14"
"Not applicable","1","0.14"
"Not applicable ","1","0.14"
"Not Sure","1","0.14"
"Not sure, I found a few products I like and generally stick to those products.","1","0.14"
"not sure. ","1","0.14"
"Not sure. ","1","0.14"
"Not sure?!?!? ","1","0.14"
"nothing I can think of","1","0.14"
"nothing i can think of right now","1","0.14"
"Nothing really.","1","0.14"
"Nothing. I find it somehow! ","1","0.14"
"Nothing. They tell you everything you need to know","1","0.14"
"Often times then not, thc % and strain background info is not always available","1","0.14"
"online ordering","1","0.14"
"online ordering, but that's long to come","1","0.14"
"Online store","1","0.14"
"Order online","1","0.14"
"Organic?","1","0.14"
"Other cannabinoids! CBG, THC-V","1","0.14"
"Other names products may be listed under ","1","0.14"
"Peer review","1","0.14"
"Peer reviewed scientific articles ","1","0.14"
"people pieces","1","0.14"
"Percentage ","1","0.14"
"Pet-safe products?","1","0.14"
"photos of plants","1","0.14"
"Pictures of fully mature plants, with the look of the bud","1","0.14"
"Places to buy clones and seeds","1","0.14"
"Political commentary and activism","1","0.14"
"popular or not","1","0.14"
"Popularity ","1","0.14"
"Price and lineage","1","0.14"
"Price comparison feature","1","0.14"
"Price comparison of area distributers, or Specials comparison in live time","1","0.14"
"Price range","1","0.14"
"Prices (some have it some don’t)","1","0.14"
"Prices and daily updated menus","1","0.14"
"Prices for different areas ","1","0.14"
"Prices, updated menu, reserve ahead options","1","0.14"
"Probably a lot, to be honest.","1","0.14"
"product reviews","1","0.14"
"Quality","1","0.14"
"Quality control information","1","0.14"
"Ratios of CBD:THC","1","0.14"
"real patient reviews","1","0.14"
"recipes","1","0.14"
"Recreational use ","1","0.14"
"Recycling programs for small plastic containers. Not just bags. More distillate refills options for carts.","1","0.14"
"Regional information that is consistent.  What happens in CA isn't the same as CO, or MA.","1","0.14"
"Regular updates sometime","1","0.14"
"related diet","1","0.14"
"Relative terpenes, other elements ","1","0.14"
"Reliable menus","1","0.14"
"Reliable sources and proven testing on products  ","1","0.14"
"research data","1","0.14"
"Research needing funding","1","0.14"
"Research studying phytochemical differences between cultivation methods, medium, environment, etc. ","1","0.14"
"reviews","1","0.14"
"reviews of the strains, explanations of THC levels","1","0.14"
"Safety testing information (pesticides, metals, etc.)","1","0.14"
"Sativa and indica ratios","1","0.14"
"Scholarly articles/reputable cited sources","1","0.14"
"Science","1","0.14"
"Scientific evidence and readable articles on the scientific evidence","1","0.14"
"scientific journals","1","0.14"
"Scientific studies like this one that support positive cannibis research. ","1","0.14"
"searchability, dosing guidelines, and strain or chemical profile recommendations","1","0.14"
"Secret shopper testing lab values on dispensary products.","1","0.14"
"Seed / Clone purchase info","1","0.14"
"Seed sources","1","0.14"
"Seed/clone availability","1","0.14"
"Select bud by region so i don't get teased with Cali weed","1","0.14"
"smoke shop locator","1","0.14"
"Some dispensaries not listed, not updated menus ","1","0.14"
"Some strains are missing ","1","0.14"
"Sometimes lacks details of particular strains for places.","1","0.14"
"Sometimes menu content is missing THC details ","1","0.14"
"specific lab that did the testing and their 3rd party certification","1","0.14"
"specific reviews of clinics' products","1","0.14"
"Specific studies (and outlines of their methods) about Terpenes.","1","0.14"
"Step by step instructions for maximizing medicinal use","1","0.14"
"Strain name on medical products frim dispensary","1","0.14"
"Strain parents","1","0.14"
"Strain type by ratio","1","0.14"
"Studies into terpenes","1","0.14"
"Suggested dosages for certain conditions based on previous patient experience","1","0.14"
"Surveys","1","0.14"
"Symptoms relieved by strain","1","0.14"
"Symptoms treated","1","0.14"
"terp tests","1","0.14"
"Terpene % ","1","0.14"
"Terpene information","1","0.14"
"Terpene profile","1","0.14"
"Terpene Profile!!! Cannabinoids profile.","1","0.14"
"Terpene profiles","1","0.14"
"Terpene Profiles ","1","0.14"
"Terpene profiles and heritage / breeder information","1","0.14"
"Terpene profiles for strains","1","0.14"
"terpene profiles on leafly.  patient rates by condition ","1","0.14"
"Terpene results","1","0.14"
"Terpene testing","1","0.14"
"Terpene/flavor profiles","1","0.14"
"terpenes","1","0.14"
"Terpenoid profiles","1","0.14"
"Testament","1","0.14"
"Testing criteria should be well known","1","0.14"
"Testing for pgr","1","0.14"
"THC amount consistently included. ","1","0.14"
"THC CONTENT","1","0.14"
"Thc content ","1","0.14"
"THC/CBD ranges ","1","0.14"
"The deals","1","0.14"
"The dispensary I got to the bud tenders just seem like sales people would be nice to sit with someone come up with a plan to treat a couple medical condition w each strain . Instead of just walking up to counter an just purchasing  any strain.","1","0.14"
"There is too much contradictory information.","1","0.14"
"Thx and cbd treponema levels","1","0.14"
"trichure drops","1","0.14"
"True, batch specific efficacy data via consumer reviews ","1","0.14"
"Trusted reviews","1","0.14"
"Unknown","1","0.14"
"Unsure, satisfied","1","0.14"
"up to date lists of whats in stock","1","0.14"
"Upcoming technologies and smoking methods","1","0.14"
"Updated menu and pricing","1","0.14"
"Updated menus","1","0.14"
"Usage instructions","1","0.14"
"Use of pesticides ","1","0.14"
"visual infographics and recommendations based on past likes/favorites + sale alerts :)","1","0.14"
"What its good for","1","0.14"
"what the rso is made with ","1","0.14"
"What type of ailments, diseases each strain treats","1","0.14"
"When a specific dispensary comes up with a name or one that is just from their company, they do not tell you about it on any website since it is specific to them","1","0.14"
"When the flower that ran out. When it will be available again","1","0.14"
"Where it comes from. ","1","0.14"
"Where it was grown? How is it grown differently for different effects? ","1","0.14"
"Where to buy","1","0.14"
"Where to buy isn’t always updated or available","1","0.14"
"where to find specific strains","1","0.14"
"Where to find the strain most liked","1","0.14"
"Where to get it nearby ","1","0.14"
"Where to get items not available locally to me ","1","0.14"
"Who has what in stock","1","0.14"
"Will company sell seeds of strains they sell?","1","0.14"
"word clouds from user reviews","1","0.14"
"Workplace ","1","0.14"
"Would like to move away from the silly strain names.","1","0.14"
