"q10","In your own words, why are you voting for or against adult use cannabis legalization?","n =  239"
"I'm voting for it because I believe the legalization of cannabis will provide legislation to expunge wrongfully issued and harsh criminal charges, especially for minorities, create a more competitive market for medical marijuana, thus helping those using it to avoid using opioids, thereby helping to combat the opioid crisis the state (and country) is facing, as well as providing an additional source of income for the state that can help to lower or eliminate other taxes (like the gas tax) to help benefit those who reside in the state. With that said, I do believe consumption should not start until age 25, as that is when the brain has stopped it's development. ","1","0.42"
"I've always thought it should be legal, with reasons including 1. how much the plant helps people with certain disease states and 2. the disparity in arrests of POC vs caucasions","1","0.42"
"I am a nurse, I've seen chronic pain patients benefit, medical marijuana is costly, out of pocket, it would make it more affordable for patients, more accessible, ","1","0.42"
"I am a person who could not take any pain killers for my bone on bone knee which was vso painful it kept me up at night...the only thing that gave me a goodnight sleep was to smoke some weed..","1","0.42"
"I am all for the legalization of adult-use cannabis along with re-evaluating those imprisoned for infractions for the use of cannabis.  I would prefer cannabis consumption in all forms other than smoke inhalation.    I strongly believe in the use of medicinal marijuana and a health benefit.","1","0.42"
"I am an advocate for medical marijuana and hope one day it's federally legal. ","1","0.42"
"I am because it has benefits. ","1","0.42"
"I am currently not eligible to vote but if I were, I would for adult-use cannabis legislation because the data and research from other states that have legalized cannabis demonstrate economic stimulation. Additionally, cannabis has many positive uses such as to treat anxiety and seizure disorders, among other things.","1","0.42"
"I am extremely concerned with the carelessness and lack of clarity associated with drug usage.  Driving while high is very disturbing to me.","1","0.42"
"I am not sure ","1","0.42"
"I AM NOT VOTING FOR LEGALIZATION","1","0.42"
"I am sick of this insanity trying to keep this plant illegal. It is absolutely ridiculous!!!! ","1","0.42"
"I am voting against if","1","0.42"
"I am voting for adult-use cannabis legalization because I believe it is time. I think that, when weighing the consequences of marijuana use and other controlled substances, marijuana poses a lower risk. Also, I am voting for adult-use cannabis legalization because I think it may serve as a stepping stone to decriminalize marijuana usage and possession.  This, hopefully, can allow men and women who are serving outlandish mandatory minimum sentences for minimal marijuana charges, to have their records expunged. ","1","0.42"
"I am voting for adult-use cannabis legalization because I feel it is unjust to criminalize something so small and natural. ","1","0.42"
"i am voting for adult-use cannabis legalization because it will diminish the marijuana arrest on black people and hopefully lower the bias crime against african americans  as well as make a drug most people use regularly finally legal. ","1","0.42"
"I am voting for Cannabis Legalization because I don’t believe it is right to put people in jail for using cannabis or dealing it. Firstly we have alcohol in this world, which is known to have actual effects of harming your health. Yet it is “socially acceptable”. So why are we allowed to drink alcohol which can eventually kill you, but can’t use cannabis? Legalizing cannabis would be good because we could actually get more research on how cannabis effects the body, etc. Cannabis use will still happen even if it’s illegal or not, so why not make it safer and legal to use cannabis? It’s a medical option for treating certain medical conditions. it only makes sense to legalize cannabis. Also cannabis is great and that is why I’m voting to legalize adult use of cannabis. ","1","0.42"
"I am voting for it based on the fact that of all substances, this has the least amount of negative effects on the populous, even when compared to alcohol it seems to be less.","1","0.42"
"i am voting for it because i feel like if alcohol is legal why can’t cannabis be! some people it’s helps with pain and anxiety and it being legal would much less stress for them .","1","0.42"
"I am voting in this legalization as I strongly am against this. I think legalizing marijuana will have negative impacts in many ways. ","1","0.42"
"I am voting to end prohibition of a substance that is safer than alcohol and has been demonized by the government for far too long.","1","0.42"
"I believe cannabis use should be legalized because it would benefit not only the state bringing in more money, but it will also help the racial disparity and the problems facing people of color being arrested far more likely than non poc.","1","0.42"
"I believe it should be a legal substance because it will bring in much needed revenue to the state and it will take the stigma off of cannabis use as well as stopping arrests for it’s use. ","1","0.42"
"I believe it will be a great revenue source and if restricted like alcohol would not have a negative impact on the state.","1","0.42"
"I believe it will greatly help the economy with taxing it... ","1","0.42"
"I believe it will help decrease crime rates associated with marijuana.","1","0.42"
"I believe it will help normalize the use of cannabis in both a recreational use and more importantly, medicinal use.","1","0.42"
"I believe it would free up the police and judicial system, as well as the prisons.","1","0.42"
"I believe that cannabis shouod be treated as alcohol and tobacco products - legal for of-age individuals.","1","0.42"
"I believe that it should be legal. If smoking and drinking are legal this should be as well. There are many health benefits as well. ","1","0.42"
"I believe the criminalization of Marijuana is ridiculous. And NJ could certainly use a boost in revenue.","1","0.42"
"I believe the representation is misunderstood because it a drug. However that’s a misconception. Adults use daily medicine everyday to survive for multiple reasons. Marijuana has many helping benefits to each person.","1","0.42"
"I do believe legalizing cannabis for recreational use will lead to more widespread deterioration of the family unit, much like alcohol and gambling.","1","0.42"
"I don't believe cannabis is any more or less harmful than alcohol or cigarettes.   I believe the revenue stimulated by the legalization of cannabis will have a huge benefit for the state and the taxpayers. ","1","0.42"
"I don't like the smell of marijuana and I think it would be a problem with people driving while under the influence going forward.","1","0.42"
"I don’t believe cannabis is as dangerous as previously thought and the prohibition of it has lead to a underground market and too much incarceration. I think legalization will generate tax revenue, cut down on drug dealing, and ease the burden/cost on our legal system.","1","0.42"
"I don’t use cannabis but believe so be equivalent to alcohol in terms of social harm.  Can’t justify the disparate treatment.","1","0.42"
"I feel if alcohol can be legal, so should cannabis ","1","0.42"
"I feel it gives some medical pain relief. It will help law enforcement & courts focus on larger drug crimes. Drugs that kill!","1","0.42"
"I feel it should be legal and will not only help the economy but will help eliminate arrests for this matter. ","1","0.42"
"I feel like this will provide more money for our town and for people struggling due to COVID 19, the money will provide funds that we are not capable of achieving without the legalization. I personally struggle with anxiety and sleep disorders myself. If cannabis was legal in New Jersey I would be able to cope with my anxiety. ","1","0.42"
"I feel that it should be more up to the person to decide and if they get it legally it will result in similar uses like alcohol. People would have to abide by laws and such so there also is regulations if people where to misuse it. I feel like this can help the safety of people and also keep people out of trouble. ","1","0.42"
"I have a severe allergy which sends me to the hospital if I even smell marijuana. If it was being legalized in only private settings, I would vote for it. If I walk by someone on the street doing it, I will go into anaphylactic shock. ","1","0.42"
"I have been a cannabis user for many years and I believe it should be legal","1","0.42"
"I have never partaken in cannabis use, but its benefits are undeniable. Health benefits are incredible, and the option to make it widely available, without thc or otherwise, is important to the population. If the tax benefits are utilized well by New Jersey, it could truly help our infrastructure, schools, and hopefully many other areas. I also hope that legalization will retroactively help those with offenses on their records and those who are currently incarcerated. ","1","0.42"
"I know a lot of professional, successful individuals who 55 plus years of age who smoked since they were in College and still do. Several now have a medical reason and are using to relieve pain. My husband has been fighting cancer for over 2 years. He had 2/3 of his tongue rebuilt. Glad he stoped RX narcotics and chose medical marijuana to relieve pain. It helped him during chemo and radiation too","1","0.42"
"I lived in WA state when cannabis was legalized. There was a process that took time, going slowly to make sure all i’s were dotted and t’s were crossed, to include safety and public safety. Tax payments  increased to many communities and rarely had increased in unsafe behavior. ","1","0.42"
"I personally believe that the stigma is a false narrative and there is much to gain by federally researching and charting the results for many.","1","0.42"
"I personally do not enjoy Marijuana  from my experiences with it, but I know that other people enjoy it and it helps them, so I think it would be good","1","0.42"
"I see it as less threatening than alcohol. Decriminalizing it and putting it to market could have positive financial opportunities for the state.","1","0.42"
"I see no reason for it not to be legal. There is also tax revenue streams.","1","0.42"
"I think it can help dissolve some racial disparities within our justice system ","1","0.42"
"I think it will have a positive affect on the economy and racial relations in the criminal justice system.","1","0.42"
"I think it will have a positive effect on the state! ","1","0.42"
"I think it will help others, either from illegal activities or medical.","1","0.42"
"I think it would benefit the economy of NJ by making it a taxable good. I also believe it would minimize some of the harsh sentences for racial minorities in the state.","1","0.42"
"I think its time that be legalized both for medical and recreational uses.","1","0.42"
"I think legalizing cannabis could increase tax revenue for the state and decrease the amount of legal issues surrounding small amounts of marijuana during misdemeanor encounters with law enforcement. ","1","0.42"
"I think that cannabis is a great alternative for people especially when it comes to medication for mental illness. Rather than taking a man-made drug, I would much rather take a more natural remedy which is why I would want it to be legalized. In addition, there are so many people charged with possession of weed and end up doing time longer than a person who SHOULD be in jail for committing a more heinous crime. Also because it is portrayed negatively and attached with a negative connotation. ","1","0.42"
"I think that people should be able to use it as long as they are over 21. I think there are a lot of people in prison right now for this that don’t need to be, so in the future it can lessen the strain on our prison systems.","1","0.42"
"I think there are way more benefits than people realize","1","0.42"
"I think there s a place for legalized cannabis. I think that it would be a positive economic decision and I also think that those who use it for medicinal purposes would have monitored access to it as opposed to getting it off the street.","1","0.42"
"I would be in favor of the legalization of marijuana in NJ on the simple basis that it is less harmful than alcohol.  ","1","0.42"
"I’m in favor of legalization because if NJ taxed it imagine the funds that we could collect ","1","0.42"
"I’m voting for adult-use cannabis legalization, because marijuana isn’t hurting anyone. ","1","0.42"
"I’m voting for because marijuana isn’t as bad as the government makes it out to be ","1","0.42"
"I’m voting for it for many reasons. Decriminalize society for over crowded jail cells. Use for mental illness. Use for many other illnesses. It will also boost NJ economically. ","1","0.42"
"I’m voting for it not only because I feel people shouldn’t be punished for using a drug that has been proven to help them but also because it’s unfair that treatment on this topic varies depending on where you are. Keeping it legal & people in jail for selling it is racist. ","1","0.42"
"I’m voting for the legalization of cannabis because first and for most there hasn’t been any reported deaths due to cannabis and also cannabis is a relaxer drug and in my opinion it will never be a gateway drug.","1","0.42"
"If I vote yes, it would be because I would like its medical benefits of it available for more people","1","0.42"
"If legally sold it would be better","1","0.42"
"Im voting for the adult use of cannabis because it will help the incarceration rate drop. Also almost everyone I met has smoked cannabis, so I believe that it should be treated like alcohol and not like a drug.","1","0.42"
"In moderation, this is fine.  I only worry about overuse.  I want it decriminalized. ","1","0.42"
"In my opinion, not different than alcohol. ","1","0.42"
"It's a harmless and beneficial plant","1","0.42"
"It's no worse than alcohol, and in many ways better. And it will be a boom to the state's economy. ","1","0.42"
"It's ridiculous that's it's been illegal for so long. It's fairly harmless. The powers that be have ruined lives over a plant. Now they can tax it. It.","1","0.42"
"It as much safer than heroin and alcohol and provides excellent physical and mental relief ","1","0.42"
"It doesn’t hurt anyone!","1","0.42"
"It has a lot of beneficial effects","1","0.42"
"It has been shown in other states where it has been legalized, to have huge revenue for the states. That money going to be used for school funding, veterans programs, helping the homeless. They have also not had an increase in crime due the legalization. ","1","0.42"
"It is a safer substance that alcohol. The reason it was made illegal was really not legitimate in the first place. It will be a tremendous source of revenue for the state. ","1","0.42"
"It is about time...we legalized alcohol so long ago","1","0.42"
"It is not a dangerous drug and legalization will make it safer for those who use it. If it is not legal it is not regulated and it could be laced with harmful drugs.","1","0.42"
"It is the right thing to do","1","0.42"
"It is the right thing to do.","1","0.42"
"it needs to be legalized for medicinal use already","1","0.42"
"It overcrowds the court system. Also, people use it everyday for anxiety. Ptsd. Pain. Etc and are functional productive members of society. No reason why it should be illegal. I’ve been to Denver where it is legal and they tax it and make money off of it as well. ","1","0.42"
"It should have never been illegal. Alcohol isn’t bad that very bad for you. Cannabis has many positive effects for many different ailments ","1","0.42"
"it should never have been a law.","1","0.42"
"It should never have been illegal. Be that as it may, legalize it and tax it for good NJ causes, like lowering our PTax. ","1","0.42"
"It should never have been made illegal in the first place. Possession is used to unfairly target minorities.  People will sell illegally anyway without paying taxes, this way the state gets fair share for social programs.","1","0.42"
"It will boost the economy. It is regulated for consumer safety, which is a really good thing because the people that are buying it off the street have no way of knowing   how safe those products really are. It helps decrease organized crime. It will help people of color because many people of color are disproportionately impacted and treated unfairly. They get harsher punishments. ","1","0.42"
"It will free up police to fight more serious crime ","1","0.42"
"It would make a huge impact on our states revenue and there is NO reason why it should not be legal. ","1","0.42"
"It’s a good money for the state","1","0.42"
"It’s about time","1","0.42"
"It’s on the same level as drinking for me. If drinking is legal, so should cannabis. ","1","0.42"
"It’s the smart thing to do. There are many positive reasons to legalize recreational use of cannabis.","1","0.42"
"It’s time! (I wrote a merchandising paper on this in 1979) There are therapeutic benefits. When you buy on the black market you have no idea of the source , how it’s been processed and what other “ingredients’ may have been used  There are so many different strains that work differently on your mind and body. There would be on hand staff with knowledge to guide the consumer in a safe environment   It would boost the economy     ","1","0.42"
"It’s way overdue, the current criminalization of pot is discriminatory. It’s not a potent enough drug to require criminal/legal enforcement. Regulations and education are all that is needed","1","0.42"
"Its not just about my personal life, but there are many lives who are in prison due to use of/ or possession of marijuana. I don’t think most of those individuals deserve the time. ","1","0.42"
"Its safer the alcohol and will open up more freedom for hemp farms.","1","0.42"
"Legalization for adult use will inevitably increase underage use as well, no matter that it will be regulated (see how well alcohol is regulated and the amount of underage drinking that is prevalent?)  This drug still has many unknowns and should not be legalized for recreational use -- PERIOD!","1","0.42"
"Legalization will bring positive social and economic changes to this state.","1","0.42"
"Legalization with taxation will help the economy.  It will also stop the discrimination against blacks vs. whites when caught with and arrested with weed. ","1","0.42"
"Legalizing cannabis in NJ can potentially improve the economy by raising taxes. Marijuana can kill cancer cells, the US government has confirmed. Cannabis could actually be the safest drug available, after a study found it is actually 114 times less deadly than alcohol. This will also increase job opportunities as many people would start working in the cannabis industry, if legalized. ","1","0.42"
"legalizing recreational marijuana will 110% add billions to the economy, create hundreds of thousands of jobs, and stop the racial disparities in cannabis enforcement. It is said to be safer and less harmful than alcohol, which says a lot in its own why cannabis should be legal. ","1","0.42"
"Legalizing the use of cannabis by adults would provide an opportunity for economic growth as well as lower the number of arrests for non-violent drug charges. ","1","0.42"
"Makes Economic sense, eases criminal Racial disparity in enforcement, recreational use would make it easier for people to use it medicinally without the hurdles of the medicinal program ","1","0.42"
"Many health benefits will no side effects. ","1","0.42"
"Many people do it, make it legal","1","0.42"
"Marijuana has a unfair stigma in comparison to other legal substances like alcohol. Decriminalizing will hurt illegal drug trade, reduce incarceration , reduce burden on police and benefit tax revenue for social programs and education. ","1","0.42"
"Marijuana is inappropriately categorized as a schedule 1 drug, leading to harsh, unfair and unnecessary criminalization. The drug is no more addictive or dangerous than tobacco or alcohol and is only linked to overdoses when taken with other, more dangerous drugs. In addition to potentially having a positive impact on state economy, and hopefully a reduction in race based discrimination in the criminalization of marijuana use, legalization would also make marijuana safer to use because it can be more easily regulated to make sure it has not been tampered with, meaning there would be fewer instances of overdoses linked to marijuana. ","1","0.42"
"Marijuana is proven to have therapeutic effect and is used by many to decrease anxiety stress and pain. People who go to jail over possession of marijuana are much more likely to POC than white. Legalizing marijuana would help reduce this discrepancy and would all everyone to benefit from the therapeutic effects of marijuana.","1","0.42"
"Medical and taxation benefits outweigh cons","1","0.42"
"Medical use to lower costs and for the economy. ","1","0.42"
"Medically and psychologically it can be very helpful! ","1","0.42"
"Medicinal","1","0.42"
"MMJ has made my battle with MS, aniexty, adhd, etc... easier. It helps w sleep, pain, spasms, headaches","1","0.42"
"My own personal use and i positively think it will help the economy ","1","0.42"
"N/A","1","0.42"
"New form of tax revenue for the state","1","0.42"
"No different than alcohol ","1","0.42"
"Not as harmful as alcohol  It will be good for the economy   It’s long overdue","1","0.42"
"Not sure yet. ","1","0.42"
"Nothing wrong with marijuana use","1","0.42"
"People are using Cannabis so why shouldn't New Jersey benefit from the tax of Cannabis.","1","0.42"
"People are using it anyway, some are getting arrested etc. so why not get some tax revenue from cannabis. It's safer than alcohol too.","1","0.42"
"People should not be in jail for smoking marijuana. It’s time to make space for real criminals ","1","0.42"
"People use it anyway...may as well make tax money on it.  Also medical cards are given out like candy,but the price of medical marijuana is obscene","1","0.42"
"People who want to use cannabis are using it.  I see potential economic opportunity","1","0.42"
"Perhaps our government can control it .   Except for Murphy!!!","1","0.42"
"Person reasons","1","0.42"
"Personal use","1","0.42"
"Politics ","1","0.42"
"Positive Impact on NJ","1","0.42"
"Positive impact on racial disparity, economic conditions of the state, physical and psychological medical benefit to adults, catch-up to other states.","1","0.42"
"Presently a medical user and some people could benefit but can't afford docs and get crap from the street ","1","0.42"
"Primary because there is too much red tape to use the drug for medicinal purposes and because our criminal justice system has abused people with our current drug laws. ","1","0.42"
"Profitability for the state ","1","0.42"
"Recreationally, cannabis is much safer than alcohol. Medicinally, cannabis helps control pain, seizures, muscle spasms, anxiety, and more. It is not addictive and regular users are generally more relaxed and happy. And legalizing cannabis and expunging the records of people currently or previously incarcerated for marijuana violations will be the first step in reforming our justice system that disproportionately arrests and convicts black people for these “crimes.”","1","0.42"
"Shouldn’t be illegal. Will reduce arrests for smaller amounts","1","0.42"
"Slippery slope to legalizing harder drugs. ","1","0.42"
"State is loosing money on illegal Cannabis. It can be taxed also people with health condition can have access to cannabis for medical reason.","1","0.42"
"The crime statute punishes a user, punish perhaps the seller and treat the user ","1","0.42"
"The economic and social benefits from legalization of cannabis outweigh the negatives.","1","0.42"
"The high from Marijuana is the same as having alcoholic beverages. In my opinion I think with marijuana useYou are more aware of your surroundings. Like any other mind altering substance, you have to know your limits and stay within them","1","0.42"
"The impact to the states debt and economy will be helped by the legalization as well as potentially driving down violent crimes.","1","0.42"
"The science is sound and we need to decriminalize and reap the benefits of legal weed. ","1","0.42"
"The time has come to move forward","1","0.42"
"There are many medicinal uses, and we need to end the disparity of minority arrests/incarceration for weed compared to Caucasian arrests/incarceration for weed. Legalize it and regulate it - build profits for our state and end the unneeded shame for those who use it","1","0.42"
"There are more criminal acts than cannabis use.  It has medical advantages and should be more readily available to those that need it.  The revenue could help the state as well","1","0.42"
"There are proven benefits from the utilization of cannabis for medical needs plus you never hear about two cannabis users getting into a fight, only alcohol induced fights. It’s not a dangerous substance, legalizing could help with any budget deficits and reduce/remove sentences for folks that shouldn’t be in jail for cannabis. ","1","0.42"
"There are so many positive uses of cannabis. I believe it is safer than alcohol. ","1","0.42"
"There has never been a real proven basis for outlawing it. It's about time.","1","0.42"
"There hasn’t been any actual problems with people using marijuana. It’s mostly the racist and ethical disparities that are the problem, people get into more problems with it more than marijuana gives them problems. ","1","0.42"
"There is no reason adults should be penalized for using cannabis. By legalizing, we not only save on enforcement costs, the state also gets additional tax revenue that doesn't have to come from elsewhere (property tax, etc.).","1","0.42"
"There will be more consumption and leads to addiction","1","0.42"
"There’s already a lot of cannabis usage  despite it not being legal. However, the legalization of adult-use cannabis can have a positive impact on the community.","1","0.42"
"This is an outdated law against cannabis use that needs to be changed. The medical uses alone prove to be a benefit to people and I do not feel that safe recreational use will cause negative effects on society.","1","0.42"
"This will make it more accessible for those suffering conditions that do not get covered by current medical use of cannabis or those who can not afford to get medical clearances. It will be good if it is monitored like alcohol so those using it recklessly will need to be accountable but overall those who have been punished for having it on their person will no longer be treated as criminals as long as they are using correctly.","1","0.42"
"To decriminalize marijuana is to end unnecessary jail and prison terms, as well as bring a much needed source or income to our state along with jobs.","1","0.42"
"To fight racial disparities within the criminal justice system","1","0.42"
"To help decriminalize offenders who are spending longer in prisons than others who commit violent crimes. ","1","0.42"
"To help get rid of overcrowding in prisons from cannabis charges ","1","0.42"
"To help the economy ","1","0.42"
"To lessen the systematic racism when it comes to charging people of color to extreme sentences because of marijuana.","1","0.42"
"to stop criminalization of a pleasant and harmless  substance","1","0.42"
"Typically money has been sent by states towards public programs, such as housing initiatives and parks and rec centers","1","0.42"
"Uhmm... I am voting no. ","1","0.42"
"Unsure how to vote; legalizing marijuana is opening the gate for other drugs to be laced with cannabis use.","1","0.42"
"Voting for legalization ","1","0.42"
"Voting for, because if alcohol and tobacco are legal so should this.","1","0.42"
"War on drugs has largely been a failure and is a drain on our law enforcement resources and court system. ","1","0.42"
"We are jailing people for a ""drug"" that is no worse for you than alcohol.  Most of those people are people of color, which is wrong.  Legalizing marijuana can possibly give police something better to do with their time, rather than chasing down people with a bit of weed on them.      Additionally, cannabis could provide pain relief in lieu of using prescription pain medication that is far more harmful for people than cannabis.      It's a no brainer to legalize it.  ","1","0.42"
"Weed is cool. ","1","0.42"
"When not abused, as with alcohol use, I don't think it is a problem.","1","0.42"
"While I like the fact it will niko get be criminal the side affects of legalization is unknown","1","0.42"
"While I oppose incarcerating people for marijuana usage, I also oppose outright legalization of a mind-altering drug. There will be many more people driving under the influence resulting in more accidents, injuries, and deaths. It will be harder for employers to maintain drug-free workplaces. Marijuana is not a harmless substance. Street-level product often has impurities and other substances added including ones that are far more dangerous, like PCP. Just because it is legalized doesn't mean everyone will start buying it at their local dispensary where prices are way higher.","1","0.42"
"While I personally do not agree with smoking marijuana in public where anyone can be exposed to it, I do not feel it is harmful enough for the government to ban it.  I also feel it is a waste and unjust strain on law enforcement trying to enforce prohibition of such an already vastly available substance. ","1","0.42"
"While it makes me uncomfortable as I am fairly conservative, I do believe in the end it will be better for our economy. ","1","0.42"
"Why not","1","0.42"
"Words","1","0.42"
