"q41","What features are missing from your sources of information that you would like to see included?","n =  267"
"more info on what strains work best for different ailments..and more info of you are sober","1","0.37"
"More information on what works best for specific medical issues/diagnosis from survey of other patients","1","0.37"
"More personal reviews ","1","0.37"
"More personal stories from patients about their experiences treating certain ailments with certain products","1","0.37"
"More pictures ","1","0.37"
"More science ","1","0.37"
"More specials listed menu  updates more frequently ","1","0.37"
"More specific information about which products work best for inflammation and anxiety ","1","0.37"
"more strain specific indications (ie, Best Anxiety strains, etc)","1","0.37"
"More strains from my area","1","0.37"
"more studies and scientific findings and information on medical use of marijuana ","1","0.37"
"More updated menu's","1","0.37"
"More workshops on site of dispensaries. Detailed in-depth information is often missing. I find a lot of articles that are dumbed down. That’s helpful when I was new but I’d like to learn more in-depth info that seems to lack. ","1","0.37"
"N.a","1","0.37"
"No idea","1","0.37"
"Nome","1","0.37"
"none at the moment ","1","0.37"
"None I can think of","1","0.37"
"Not 100% sure on that one at the moment ","1","0.37"
"nothing i can think of right now","1","0.37"
"Nothing. I find it somehow! ","1","0.37"
"Nothing. They tell you everything you need to know","1","0.37"
"Order online","1","0.37"
"Peer reviewed scientific articles ","1","0.37"
"Percentage ","1","0.37"
"Price range","1","0.37"
"Price ranges","1","0.37"
"Prices","1","0.37"
"Prices (some have it some don’t)","1","0.37"
"Product prices at local dispensaries","1","0.37"
"Product quality ","1","0.37"
"real patient reviews","1","0.37"
"recipes","1","0.37"
"Recipes","1","0.37"
"Recycling programs for small plastic containers. Not just bags. More distillate refills options for carts.","1","0.37"
"Regular updates sometime","1","0.37"
"Sativa and indica ratios","1","0.37"
"searchability, dosing guidelines, and strain or chemical profile recommendations","1","0.37"
"Secret shopper testing lab values on dispensary products.","1","0.37"
"Seed / Clone purchase info","1","0.37"
"Select bud by region so i don't get teased with Cali weed","1","0.37"
"Some dispensaries not listed, not updated menus ","1","0.37"
"some strains my dispensary have has no info in leafly","1","0.37"
"specific reviews of clinics' products","1","0.37"
"Step by step instructions for maximizing medicinal use","1","0.37"
"Strain name on medical products frim dispensary","1","0.37"
"Strain type by ratio","1","0.37"
"Symptoms relieved by strain","1","0.37"
"Terpene Profiles ","1","0.37"
"Terpene profiles and heritage / breeder information","1","0.37"
"Terpene profiles for strains","1","0.37"
"terpene profiles on leafly.  patient rates by condition ","1","0.37"
"Terpene, THC and CBD, CBG, etc levels","1","0.37"
"Terpene/flavor profiles","1","0.37"
"THC/CBD ranges ","1","0.37"
"The dispensary I got to the bud tenders just seem like sales people would be nice to sit with someone come up with a plan to treat a couple medical condition w each strain . Instead of just walking up to counter an just purchasing  any strain.","1","0.37"
"There are no budtenders here, so please ignore my answers to those Q's.","1","0.37"
"There is SO much information out there hard to say","1","0.37"
"Thx and cbd treponema levels","1","0.37"
"trichure drops","1","0.37"
"Unknown","1","0.37"
"Up to date menus","1","0.37"
"validated scientific studies","1","0.37"
"Ways  to vape flower.","1","0.37"
"What type of ailments, diseases each strain treats","1","0.37"
"when I'm reading and looking at these resources at the time I go ""these should have"" and now when I'm asked I can't think of them ","1","0.37"
"Where it comes from. ","1","0.37"
"Where it was grown? How is it grown differently for different effects? ","1","0.37"
"Where to buy","1","0.37"
"Where to get it nearby ","1","0.37"
"Where to get items not available locally to me ","1","0.37"
"why is the dry and cure process not documented anywhere?","1","0.37"
"WOULD LIKE TO SEE ANN CBD AND THC % LISTED ON ALL WEBSITES","1","0.37"
